# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

00EA          ; allowed ; recommended #      (ê)  LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB          ; allowed ; recommended #      (ë)  LATIN SMALL LETTER E WITH DIAERESIS
00EC          ; allowed ; recommended #      (ì)  LATIN SMALL LETTER I WITH GRAVE
00ED          ; allowed ; recommended #      (í)  LATIN SMALL LETTER I WITH ACUTE
00EE          ; allowed ; recommended #      (î)  LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF          ; allowed ; recommended #      (ï)  LATIN SMALL LETTER I WITH DIAERESIS
00F0          ; allowed ; recommended #      (ð)  LATIN SMALL LETTER ETH
00F1          ; allowed ; recommended #      (ñ)  LATIN SMALL LETTER N WITH TILDE
00F2          ; allowed ; recommended #      (ò)  LATIN SMALL LETTER O WITH GRAVE
00F3          ; allowed ; recommended #      (ó)  LATIN SMALL LETTER O WITH ACUTE
00F4          ; allowed ; recommended #      (ô)  LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5          ; allowed ; recommended #      (õ)  LATIN SMALL LETTER O WITH TILDE
00F6          ; allowed ; recommended #      (ö)  LATIN SMALL LETTER O WITH DIAERESIS
00F8          ; allowed ; recommended #      (ø)  LATIN SMALL LETTER O WITH STROKE
00F9          ; allowed ; recommended #      (ù)  LATIN SMALL LETTER U WITH GRAVE
00FA          ; allowed ; recommended #      (ú)  LATIN SMALL LETTER U WITH ACUTE
00FB          ; allowed ; recommended #      (û)  LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC          ; allowed ; recommended #      (ü)  LATIN SMALL LETTER U WITH DIAERESIS
00FD          ; allowed ; recommended #      (ý)  LATIN SMALL LETTER Y WITH ACUTE
00FE          ; allowed ; recommended #      (þ)  LATIN SMALL LETTER THORN
00FF          ; allowed ; recommended #      (ÿ)  LATIN SMALL LETTER Y WITH DIAERESIS
0100          ; allowed ; recommended #      (Ā)  LATIN CAPITAL LETTER A WITH MACRON
0101          ; allowed ; recommended #      (ā)  LATIN SMALL LETTER A WITH MACRON
0102          ; allowed ; recommended #      (Ă)  LATIN CAPITAL LETTER A WITH BREVE
0103          ; allowed ; recommended #      (ă)  LATIN SMALL LETTER A WITH BREVE
0104          ; allowed ; recommended #      (Ą)  LATIN CAPITAL LETTER A WITH OGONEK
0105          ; allowed ; recommended #      (ą)  LATIN SMALL LETTER A WITH OGONEK
0106          ; allowed ; recommended #      (Ć)  LATIN CAPITAL LETTER C WITH ACUTE
0107          ; allowed ; recommended #      (ć)  LATIN SMALL LETTER C WITH ACUTE
0108          ; allowed ; recommended #      (Ĉ)  LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0109          ; allowed ; recommended #      (ĉ)  LATIN SMALL LETTER C WITH CIRCUMFLEX
010A          ; allowed ; recommended #      (Ċ)  LATIN CAPITAL LETTER C WITH DOT ABOVE
010B          ; allowed ; recommended #      (ċ)  LATIN SMALL LETTER C WITH DOT ABOVE
010C          ; allowed ; recommended #      (Č)  LATIN CAPITAL LETTER C WITH CARON
010D          ; allowed ; recommended #      (č)  LATIN SMALL LETTER C WITH CARON
010E          ; allowed ; recommended #      (Ď)  LATIN CAPITAL LETTER D WITH CARON
010F          ; allowed ; recommended #      (ď)  LATIN SMALL LETTER D WITH CARON
0110          ; allowed ; recommended #      (Đ)  LATIN CAPITAL LETTER D WITH STROKE
0111          ; allowed ; recommended #      (đ)  LATIN SMALL LETTER D WITH STROKE
0112          ; allowed ; recommended #      (Ē)  LATIN CAPITAL LETTER E WITH MACRON
0113          ; allowed ; recommended #      (ē)  LATIN SMALL LETTER E WITH MACRON
0114          ; allowed ; recommended #      (Ĕ)  LATIN CAPITAL LETTER E WITH BREVE
0115          ; allowed ; recommended #      (ĕ)  LATIN SMALL LETTER E WITH BREVE
0116          ; allowed ; recommended #      (Ė)  LATIN CAPITAL LETTER E WITH DOT ABOVE
0117          ; allowed ; recommended #      (ė)  LATIN SMALL LETTER E WITH DOT ABOVE
0118          ; allowed ; recommended #      (Ę)  LATIN CAPITAL LETTER E WITH OGONEK
