#Code	Version	Default	Labels	Char	Names
U+2747	V1.1	text		❇	SPARKLE
U+2764	V1.1	text		❤	HEAVY BLACK HEART
U+27A1	V1.1	text		➡	BLACK RIGHTWARDS ARROW
U+3297	V1.1	text		㊗	CIRCLED IDEOGRAPH CONGRATULATION
U+3299	V1.1	text		㊙	CIRCLED IDEOGRAPH SECRET
U+2049	V3.0	text		⁉	EXCLAMATION QUESTION MARK
U+2139	V3.0	text		ℹ	INFORMATION SOURCE
U+2619	V3.0	text		☙	REVERSED ROTATED FLORAL HEART BULLET
U+0023 U+20E3	V3.0	text		#⃣	keycap NUMBER SIGN
U+0030 U+20E3	V3.0	text		0⃣	keycap DIGIT ZERO
U+0031 U+20E3	V3.0	text		1⃣	keycap DIGIT ONE
U+0032 U+20E3	V3.0	text		2⃣	keycap DIGIT TWO
U+0033 U+20E3	V3.0	text		3⃣	keycap DIGIT THREE
U+0034 U+20E3	V3.0	text		4⃣	keycap DIGIT FOUR
U+0035 U+20E3	V3.0	text		5⃣	keycap DIGIT FIVE
U+0036 U+20E3	V3.0	text		6⃣	keycap DIGIT SIX
U+0037 U+20E3	V3.0	text		7⃣	keycap DIGIT SEVEN
U+0038 U+20E3	V3.0	text		8⃣	keycap DIGIT EIGHT
U+0039 U+20E3	V3.0	text		9⃣	keycap DIGIT NINE
U+25FB	V3.2	text		◻	WHITE MEDIUM SQUARE
U+25FC	V3.2	text		◼	BLACK MEDIUM SQUARE
U+25FD	V3.2	emoji		◽	WHITE MEDIUM SMALL SQUARE
U+25FE	V3.2	emoji		◾	BLACK MEDIUM SMALL SQUARE
U+2616	V3.2	text	games	☖	WHITE SHOGI PIECE
U+2617	V3.2	text	games	☗	BLACK SHOGI PIECE
U+2672	V3.2	text		♲	UNIVERSAL RECYCLING SYMBOL
U+267B	V3.2	text		♻	BLACK UNIVERSAL RECYCLING SYMBOL
U+2680	V3.2	text	games	⚀	DIE FACE-1
U+2681	V3.2	text	games	⚁	DIE FACE-2
U+2682	V3.2	text	games	⚂	DIE FACE-3
U+2683	V3.2	text	games	⚃	DIE FACE-4
U+2684	V3.2	text	games	⚄	DIE FACE-5
U+2685	V3.2	text	games	⚅	DIE FACE-6
U+2934	V3.2	text	arrows	⤴	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
U+2935	V3.2	text	arrows	⤵	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
U+2614	V4.0	emoji	weather	☔	UMBRELLA WITH RAIN DROPS
U+2615	V4.0	emoji		☕	HOT BEVERAGE
U+2690	V4.0	text	flags	⚐	WHITE FLAG
U+2691	V4.0	text	flags	⚑	BLACK FLAG
U+26A0	V4.0	text		⚠	WARNING SIGN
U+26A1	V4.0	emoji		⚡	HIGH VOLTAGE SIGN
U+2B05	V4.0	text	arrows	⬅	LEFTWARDS BLACK ARROW
U+2B06	V4.0	text	arrows	⬆	UPWARDS BLACK ARROW
U+2B07	V4.0	text	arrows	⬇	DOWNWARDS BLACK ARROW
U+2618	V4.1	text	nature	☘	SHAMROCK
U+267E	V4.1	text		♾	PERMANENT PAPER SIGN
U+267F	V4.1	emoji		♿	WHEELCHAIR SYMBOL
U+2692	V4.1	text		⚒	HAMMER AND PICK
U+2693	V4.1	emoji		⚓	ANCHOR
U+2694	V4.1	text		⚔	CROSSED SWORDS
U+2695	V4.1	text		⚕	STAFF OF AESCULAPIUS
U+2696	V4.1	text		⚖	SCALES
U+2697	V4.1	text		⚗	ALEMBIC
U+2698	V4.1	text		⚘	FLOWER
U+2699	V4.1	text		⚙	GEAR
U+269A	V4.1	text		⚚	STAFF OF HERMES
U+269B	V4.1	text		⚛	ATOM SYMBOL
U+269C	V4.1	text		⚜	FLEUR-DE-LIS
U+26AA	V4.1	emoji		⚪	MEDIUM WHITE CIRCLE
U+26AB	V4.1	emoji		⚫	MEDIUM BLACK CIRCLE
U+26B0	V4.1	text		⚰	COFFIN
U+26B1	V4.1	text		⚱	FUNERAL URN
U+269D	V5.1	text		⚝	OUTLINED WHITE STAR
U+26C0	V5.1	text	games	⛀	WHITE DRAUGHTS MAN
U+26C1	V5.1	text	games	⛁	WHITE DRAUGHTS KING
U+26C2	V5.1	text	games	⛂	BLACK DRAUGHTS MAN
