# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
1F408 ;	emoji ;	203 ;	animal, cat, nature, nature-android, nature-apple ;	w 	# V6.0 (🐈) cat
1F42F ;	emoji ;	204 ;	animal, face, nature, nature-android, nature-apple, tiger ;	j 	# V6.0 (🐯) tiger face
1F405 ;	emoji ;	205 ;	animal, nature, nature-apple, other-android, tiger ;	x 	# V6.0 (🐅) tiger
1F406 ;	emoji ;	206 ;	animal, leopard, nature, nature-android, nature-apple ;	x 	# V6.0 (🐆) leopard
1F434 ;	emoji ;	207 ;	animal, face, horse, nature, nature-android, nature-apple ;	j 	# V6.0 (🐴) horse face
1F40E ;	emoji ;	208 ;	animal, horse, nature, nature-apple, places-android, racehorse ;	j 	# V6.0 (🐎) horse
1F42E ;	emoji ;	209 ;	animal, cow, face, nature, nature-android, nature-apple ;	j 	# V6.0 (🐮) cow face
1F402 ;	emoji ;	210 ;	animal, nature, nature-android, nature-apple, ox ;	x 	# V6.0 (🐂) ox
1F403 ;	emoji ;	211 ;	animal, buffalo, nature, nature-android, nature-apple, water ;	x 	# V6.0 (🐃) water buffalo
1F404 ;	emoji ;	212 ;	animal, cow, nature, nature-android, nature-apple ;	x 	# V6.0 (🐄) cow
1F437 ;	emoji ;	213 ;	animal, face, nature, nature-android, nature-apple, pig ;	j 	# V6.0 (🐷) pig face
1F416 ;	emoji ;	214 ;	animal, nature, nature-android, nature-apple, pig ;	x 	# V6.0 (🐖) pig
1F417 ;	emoji ;	215 ;	animal, boar, nature, nature-android, nature-apple ;	j 	# V6.0 (🐗) boar
1F43D ;	emoji ;	216 ;	animal, face, nature, nature-android, nature-apple, nose, pig ;	j 	# V6.0 (🐽) pig nose
1F40F ;	emoji ;	217 ;	animal, nature, nature-android, nature-apple, ram, sheep ;	x 	# V6.0 (🐏) ram
1F411 ;	emoji ;	218 ;	animal, nature, nature-android, nature-apple, sheep ;	j 	# V6.0 (🐑) sheep
1F410 ;	emoji ;	219 ;	animal, goat, nature, nature-android, nature-apple ;	x 	# V6.0 (🐐) goat
1F42A ;	emoji ;	220 ;	animal, camel, dromedary, hump, nature, nature-android, nature-apple ;	x 	# V6.0 (🐪) dromedary camel
1F42B ;	emoji ;	221 ;	animal, bactrian, camel, hump, nature, nature-android, nature-apple ;	j 	# V6.0 (🐫) bactrian camel
1F418 ;	emoji ;	222 ;	animal, elephant, nature, nature-android, nature-apple ;	j 	# V6.0 (🐘) elephant
1F42D ;	emoji ;	223 ;	animal, face, mouse, nature, nature-android, nature-apple ;	j 	# V6.0 (🐭) mouse face
1F401 ;	emoji ;	224 ;	animal, mouse, nature, nature-android, nature-apple ;	x 	# V6.0 (🐁) mouse
1F400 ;	emoji ;	225 ;	animal, nature, nature-android, nature-apple, rat ;	x 	# V6.0 (🐀) rat
1F439 ;	emoji ;	226 ;	animal, face, hamster, nature, nature-android, nature-apple ;	j 	# V6.0 (🐹) hamster face
1F430 ;	emoji ;	227 ;	animal, bunny, face, nature, nature-android, nature-apple, rabbit ;	j 	# V6.0 (🐰) rabbit face
1F407 ;	emoji ;	228 ;	animal, bunny, nature, nature-android, nature-apple, rabbit ;	x 	# V6.0 (🐇) rabbit
1F43F ;	text ;	229 ;	animal, chipmunk, nature ;	w 	# V7.0 (🐿) chipmunk
1F43B ;	emoji ;	230 ;	animal, bear, face, nature, nature-android, nature-apple ;	j 	# V6.0 (🐻) bear face
1F428 ;	emoji ;	231 ;	animal, bear, koala, nature, nature-android, nature-apple ;	j 	# V6.0 (🐨) koala
1F43C ;	emoji ;	232 ;	animal, face, nature, nature-android, nature-apple, panda ;	j 	# V6.0 (🐼) panda face
1F43E ;	emoji ;	233 ;	animal, feet, nature, nature-android, nature-apple, paw, print ;	j 	# V6.0 (🐾) paw prints
1F414 ;	emoji ;	234 ;	animal, chicken, nature, nature-android, nature-apple ;	j 	# V6.0 (🐔) chicken
1F413 ;	emoji ;	235 ;	animal, nature, nature-android, nature-apple, rooster ;	x 	# V6.0 (🐓) rooster
1F423 ;	emoji ;	236 ;	animal, baby, chick, hatching, nature, nature-android, nature-apple ;	j 	# V6.0 (🐣) hatching chick
1F424 ;	emoji ;	237 ;	animal, baby, chick, nature, nature-android, nature-apple ;	j 	# V6.0 (🐤) baby chick
1F425 ;	emoji ;	238 ;	animal, baby, chick, nature, nature-android, nature-apple ;	j 	# V6.0 (🐥) front-facing baby chick
1F426 ;	emoji ;	239 ;	animal, bird, nature, nature-android, nature-apple ;	j w 	# V6.0 (🐦) bird
1F427 ;	emoji ;	240 ;	animal, nature, nature-android, nature-apple, penguin ;	j 	# V6.0 (🐧) penguin
1F54A ;	text ;	241 ;	animal, dove, flying, nature, peace ;	w 	# V7.0 (🕊) dove of peace
1F438 ;	emoji ;	242 ;	animal, face, frog, nature, nature-android, nature-apple ;	j 	# V6.0 (🐸) frog face
1F40A ;	emoji ;	243 ;	animal, crocodile, nature, nature-android, nature-apple ;	x 	# V6.0 (🐊) crocodile
1F40D ;	emoji ;	244 ;	animal, nature, nature-android, nature-apple, snake ;	j 	# V6.0 (🐍) snake
1F422 ;	emoji ;	245 ;	animal, nature, nature-android, nature-apple, turtle ;	j 	# V6.0 (🐢) turtle
1F432 ;	emoji ;	246 ;	animal, dragon, face, nature, nature-android, nature-apple ;	j 	# V6.0 (🐲) dragon face
1F409 ;	emoji ;	247 ;	animal, dragon, nature, nature-android, nature-apple ;	x 	# V6.0 (🐉) dragon
1F433 ;	emoji ;	248 ;	animal, face, nature, nature-android, nature-apple, spouting, whale ;	j 	# V6.0 (🐳) spouting whale
1F40B ;	emoji ;	249 ;	animal, nature, nature-android, nature-apple, whale ;	x 	# V6.0 (🐋) whale
1F42C ;	emoji ;	250 ;	animal, dolphin, flipper, nature, nature-android, nature-apple ;	j 	# V6.0 (🐬) dolphin
1F41F ;	emoji ;	251 ;	animal, fish, nature, nature-android, nature-apple ;	j w 	# V6.0 (🐟) fish
1F420 ;	emoji ;	252 ;	animal, fish, nature, nature-android, nature-apple, tropical ;	j 	# V6.0 (🐠) tropical fish
1F421 ;	emoji ;	253 ;	animal, blowfish, nature, nature-android, nature-apple ;	j 	# V6.0 (🐡) blowfish
1F419 ;	emoji ;	254 ;	animal, nature, nature-android, nature-apple, octopus ;	j 	# V6.0 (🐙) octopus
1F41A ;	emoji ;	255 ;	animal, nature, nature-android, nature-apple, shell, spiral ;	j 	# V6.0 (🐚) spiral shell
1F40C ;	emoji ;	256 ;	animal, nature, nature-android, nature-apple, snail ;	j 	# V6.0 (🐌) snail
1F41B ;	emoji ;	257 ;	animal, bug, nature, nature-android, nature-apple ;	j 	# V6.0 (🐛) bug
1F41C ;	emoji ;	258 ;	animal, ant, nature, nature-android, nature-apple ;	j 	# V6.0 (🐜) ant
1F41D ;	emoji ;	259 ;	animal, bee, honeybee, nature, nature-android, nature-apple ;	j 	# V6.0 (🐝) honeybee
1F41E ;	emoji ;	260 ;	animal, beetle, lady, nature, nature-android, nature-apple ;	j 	# V6.0 (🐞) lady beetle
1F577 ;	text ;	261 ;	animal, object, spider ;	w 	# V7.0 (🕷) spider
1F578 ;	text ;	262 ;	animal, object, spider, web ;	w 	# V7.0 (🕸) spider web
1F4A9 ;	emoji ;	263 ;	comic, dung, emotion, hankey, nature, object, people-android, people-apple, pile, poo, poop ;	j 	# V6.0 (💩) pile of poo
1F479 ;	emoji ;	264 ;	creature, face, fairy tale, fantasy, japanese, ogre, people-android, people-apple ;	j 	# V6.0 (👹) japanese ogre
1F47A ;	emoji ;	265 ;	creature, face, fairy tale, fantasy, goblin, japanese, people-android, people-apple ;	j 	# V6.0 (👺) japanese goblin
1F47B ;	emoji ;	266 ;	creature, face, fairy tale, fantasy, ghost, objects-apple, people-android ;	j 	# V6.0 (👻) ghost
1F47D ;	emoji ;	267 ;	alien, animal, creature, extraterrestrial, face, fairy tale, fantasy, nature, people-android, people-apple, ufo ;	j w 	# V6.0 (👽) extraterrestrial alien
1F47E ;	emoji ;	268 ;	alien, animal, creature, face, fairy tale, fantasy, monster, nature, objects-apple, people-android, ufo ;	j 	# V6.0 (👾) alien monster
1F490 ;	emoji ;	269 ;	animal, bouquet, flower, nature, nature-apple, object, places-android, romance ;	j 	# V6.0 (💐) bouquet
1F395 ;	text ;	270 ;	bouquet, celebration, emotion, flower, nature, plant ;	w 	# V7.0 (🎕) bouquet of flowers
2698 ;	text ;	271 ;	flower, object ;	x 	# V4.1 (⚘) flower
1F338 ;	emoji ;	272 ;	blossom, cherry, flower, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌸) cherry blossom
1F4AE ;	emoji ;	273 ;	flower, object, symbols-android, symbols-apple ;	j 	# V6.0 (💮) white flower
1F3F5 ;	text ;	274 ;	nature, rosette ;	w 	# V7.0 (🏵) rosette
1F339 ;	emoji ;	275 ;	flower, nature, nature-android, nature-apple, plant, rose ;	j 	# V6.0 (🌹) rose
1F33A ;	emoji ;	276 ;	flower, hibiscus, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌺) hibiscus
1F33B ;	emoji ;	277 ;	flower, nature, nature-android, nature-apple, plant, sun, sunflower, weather ;	j 	# V6.0 (🌻) sunflower
1F33C ;	emoji ;	278 ;	blossom, flower, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌼) blossom
1F337 ;	emoji ;	279 ;	flower, nature, nature-android, nature-apple, plant, tulip ;	j 	# V6.0 (🌷) tulip
2E19 ;	text ;	280 ;	branch, nature, palm, plant ;	x 	# V5.1 (⸙) palm branch
2618 ;	text ;	281 ;	nature, plant, shamrock ;	x 	# V4.1 (☘) shamrock
1F331 ;	emoji ;	282 ;	nature, nature-android, nature-apple, plant, seedling, young ;	j 	# V6.0 (🌱) seedling
1F332 ;	emoji ;	283 ;	evergreen, nature, nature-android, nature-apple, plant, tree ;	x 	# V6.0 (🌲) evergreen tree
1F333 ;	emoji ;	284 ;	deciduous, nature, nature-android, nature-apple, plant, shedding, tree ;	x 	# V6.0 (🌳) deciduous tree
1F334 ;	emoji ;	285 ;	nature, nature-android, nature-apple, palm, plant, tree ;	j 	# V6.0 (🌴) palm tree
1F335 ;	emoji ;	286 ;	cactus, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌵) cactus
1F33E ;	emoji ;	287 ;	ear, nature, nature-android, nature-apple, plant, rice ;	j 	# V6.0 (🌾) ear of rice
1F33F ;	emoji ;	288 ;	herb, leaf, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌿) herb
1F340 ;	emoji ;	289 ;	4, clover, four, leaf, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🍀) four leaf clover
1F341 ;	emoji ;	290 ;	fallen, leaf, maple, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🍁) maple leaf
1F342 ;	emoji ;	291 ;	fallen, falling, leaf, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🍂) fallen leaf
1F343 ;	emoji ;	292 ;	blow, fluttering, leaf, leaves, nature, nature-android, nature-apple, plant, wind ;	j 	# V6.0 (🍃) leaf fluttering in wind
1F347 ;	emoji ;	293 ;	food, fruit, grapes, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🍇) grapes
1F348 ;	emoji ;	294 ;	food, fruit, melon, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🍈) melon
1F349 ;	emoji ;	295 ;	food, fruit, nature, nature-android, objects-apple, plant, watermelon ;	j 	# V6.0 (🍉) watermelon
1F34A ;	emoji ;	296 ;	food, fruit, nature, nature-android, objects-apple, orange, plant, tangerine ;	j 	# V6.0 (🍊) tangerine
1F34B ;	emoji ;	297 ;	citrus, food, fruit, lemon, nature, nature-android, objects-apple, plant ;	x 	# V6.0 (🍋) lemon
1F34C ;	emoji ;	298 ;	banana, food, fruit, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🍌) banana
1F34D ;	emoji ;	299 ;	food, fruit, nature, nature-android, objects-apple, pineapple, plant ;	j 	# V6.0 (🍍) pineapple
1F34E ;	emoji ;	300 ;	apple, food, fruit, nature, nature-android, objects-apple, plant, red ;	j 	# V6.0 (🍎) red apple
1F34F ;	emoji ;	301 ;	apple, food, fruit, green, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🍏) green apple
1F350 ;	emoji ;	302 ;	food, fruit, nature, nature-android, objects-apple, pear, plant ;	x 	# V6.0 (🍐) pear
1F351 ;	emoji ;	303 ;	food, fruit, nature, nature-android, objects-apple, peach, plant ;	j 	# V6.0 (🍑) peach
1F352 ;	emoji ;	304 ;	cherries, cherry, food, fruit, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🍒) cherries
1F353 ;	emoji ;	305 ;	berry, food, fruit, nature, nature-android, objects-apple, plant, strawberry ;	j 	# V6.0 (🍓) strawberry
1F345 ;	emoji ;	306 ;	food, nature, nature-android, objects-apple, plant, tomato, vegetable ;	j 	# V6.0 (🍅) tomato
1F346 ;	emoji ;	307 ;	aubergine, eggplant, food, nature, nature-android, objects-apple, plant, vegetable ;	j 	# V6.0 (🍆) aubergine
1F33D ;	emoji ;	308 ;	corn, ear, maize, maze, nature, nature-android, objects-apple, plant ;	j 	# V6.0 (🌽) ear of maize
1F336 ;	text ;	309 ;	food, hot, nature, pepper, plant ;	w 	# V7.0 (🌶) hot pepper
1F344 ;	emoji ;	310 ;	mushroom, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🍄) mushroom
1F330 ;	emoji ;	311 ;	chestnut, nature, nature-android, nature-apple, plant ;	j 	# V6.0 (🌰) chestnut
1F35E ;	emoji ;	312 ;	bread, food, loaf, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍞) bread
1F356 ;	emoji ;	313 ;	bone, food, meat, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍖) meat on bone
1F357 ;	emoji ;	314 ;	chicken, food, leg, nature-android, objects-apple, poultry, restaurant ;	j 	# V6.0 (🍗) poultry leg
1F354 ;	emoji ;	315 ;	burger, food, hamburger, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍔) hamburger
1F35F ;	emoji ;	316 ;	food, french, fries, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍟) french fries
1F355 ;	emoji ;	317 ;	food, nature-android, objects-apple, pizza, restaurant, slice ;	j 	# V6.0 (🍕) slice of pizza
1F372 ;	emoji ;	318 ;	food, nature-android, objects-apple, pot, restaurant, stew ;	j 	# V6.0 (🍲) pot of food
1F371 ;	emoji ;	319 ;	bento, box, food, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍱) bento box
1F358 ;	emoji ;	320 ;	cracker, food, nature-android, objects-apple, restaurant, rice ;	j 	# V6.0 (🍘) rice cracker
1F359 ;	emoji ;	321 ;	ball, food, japanese, nature-android, objects-apple, restaurant, rice ;	j 	# V6.0 (🍙) rice ball
1F35A ;	emoji ;	322 ;	cooked, food, nature-android, objects-apple, restaurant, rice ;	j 	# V6.0 (🍚) cooked rice
1F35B ;	emoji ;	323 ;	curry, food, nature-android, objects-apple, restaurant, rice ;	j 	# V6.0 (🍛) curry and rice
1F35C ;	emoji ;	324 ;	bowl, food, nature-android, noodle, objects-apple, ramen, restaurant, steaming ;	j 	# V6.0 (🍜) steaming bowl
1F35D ;	emoji ;	325 ;	food, nature-android, objects-apple, pasta, restaurant, spaghetti ;	j 	# V6.0 (🍝) spaghetti
1F360 ;	emoji ;	326 ;	food, nature-android, objects-apple, potato, restaurant, roasted, sweet ;	j 	# V6.0 (🍠) roasted sweet potato
1F362 ;	emoji ;	327 ;	food, kebab, nature-android, objects-apple, oden, restaurant, seafood, skewer, stick ;	j 	# V6.0 (🍢) oden
1F363 ;	emoji ;	328 ;	food, nature-android, objects-apple, restaurant, sushi ;	j 	# V6.0 (🍣) sushi
1F364 ;	emoji ;	329 ;	food, fried, nature-android, objects-apple, prawn, restaurant, shrimp ;	j 	# V6.0 (🍤) fried shrimp
1F365 ;	emoji ;	330 ;	cake, fish, food, nature-android, objects-apple, restaurant, swirl ;	j 	# V6.0 (🍥) fish cake with swirl design
1F361 ;	emoji ;	331 ;	dango, dessert, food, japanese, nature-android, objects-apple, restaurant, skewer, stick, sweet ;	j 	# V6.0 (🍡) dango
1F366 ;	emoji ;	332 ;	cream, dessert, food, ice, icecream, nature-android, objects-apple, restaurant, soft, sweet ;	j 	# V6.0 (🍦) soft ice cream
1F367 ;	emoji ;	333 ;	dessert, food, ice, nature-android, objects-apple, restaurant, shaved, sweet ;	j 	# V6.0 (🍧) shaved ice
1F368 ;	emoji ;	334 ;	cream, dessert, food, ice, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍨) ice cream
1F369 ;	emoji ;	335 ;	dessert, donut, doughnut, food, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍩) doughnut
1F36A ;	emoji ;	336 ;	cookie, dessert, food, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍪) cookie
1F382 ;	emoji ;	337 ;	birthday, cake, celebration, dessert, food, objects-android, objects-apple, sweet ;	j 	# V6.0 (🎂) birthday cake
1F370 ;	emoji ;	338 ;	cake, dessert, food, nature-android, objects-apple, restaurant, shortcake, sliced, sweet ;	j 	# V6.0 (🍰) shortcake
1F36B ;	emoji ;	339 ;	bar, chocolate, dessert, food, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍫) chocolate bar
1F36C ;	emoji ;	340 ;	candy, dessert, food, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍬) candy
1F36D ;	emoji ;	341 ;	candy, dessert, food, lollipop, nature-android, objects-apple, restaurant, sweet ;	j 	# V6.0 (🍭) lollipop
1F36E ;	emoji ;	342 ;	custard, dessert, food, nature-android, objects-apple, pudding, restaurant, sweet ;	j 	# V6.0 (🍮) custard
1F36F ;	emoji ;	343 ;	food, honey, honeypot, nature-android, objects-apple, pot, restaurant, sweet ;	j 	# V6.0 (🍯) honey pot
2615 ;	emoji ;	344 ;	beverage, coffee, drink, food, hot, nature-android, objects-apple, tea ;	j 	# V4.0 (☕) hot beverage
1F375 ;	emoji ;	345 ;	cup, drink, food, nature-android, objects-apple, tea, teacup ;	j 	# V6.0 (🍵) teacup without handle
1F376 ;	emoji ;	346 ;	bar, bottle, cup, drink, food, nature-android, objects-apple, restaurant, sake ;	j 	# V6.0 (🍶) sake bottle and cup
1F377 ;	emoji ;	347 ;	bar, drink, food, glass, nature-android, objects-apple, restaurant, wine ;	j 	# V6.0 (🍷) wine glass
1F378 ;	emoji ;	348 ;	bar, cocktail, drink, food, glass, nature-android, objects-apple, restaurant ;	j w 	# V6.0 (🍸) cocktail glass
1F379 ;	emoji ;	349 ;	bar, drink, food, nature-android, objects-apple, restaurant, tropical ;	j 	# V6.0 (🍹) tropical drink
1F37A ;	emoji ;	350 ;	bar, beer, drink, food, mug, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍺) beer mug
1F37B ;	emoji ;	351 ;	bar, beer, beers, clinking, drink, food, mugs, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍻) clinking beer mugs
1F37C ;	emoji ;	352 ;	baby, bottle, drink, food, milk, nature-android, objects-apple ;	x 	# V6.0 (🍼) baby bottle
1F37D ;	text ;	353 ;	food, fork, knife, plate, restaurant ;	w 	# V7.0 (🍽) fork and knife with plate
1F374 ;	emoji ;	354 ;	food, fork, knife, nature-android, objects-apple, restaurant ;	j 	# V6.0 (🍴) fork and knife
1F373 ;	emoji ;	355 ;	cooking, egg, food, frying, nature-android, objects-apple, pan, restaurant ;	j 	# V6.0 (🍳) cooking
1F30D ;	emoji ;	356 ;	africa, earth, europe, globe, nature, nature-android, nature-apple, place ;	w 	# V6.0 (🌍) earth globe europe-africa
1F30E ;	emoji ;	357 ;	americas, earth, globe, nature, nature-android, nature-apple, place ;	w 	# V6.0 (🌎) earth globe americas
1F30F ;	emoji ;	358 ;	asia, australia, earth, globe, nature, nature-android, nature-apple, place ;	j w 	# V6.0 (🌏) earth globe asia-australia
1F310 ;	emoji ;	359 ;	globe, meridians, nature, nature-android, nature-apple, place ;	x 	# V6.0 (🌐) globe with meridians
1F5FA ;	text ;	360 ;	map, place, world ;	w 	# V7.0 (🗺) world map
1F3D4 ;	text ;	361 ;	cold, mountain, nature, place, snow ;	w 	# V7.0 (🏔) snow capped mountain
26F0 ;	text ;	362 ;	mountain, place ;	a 	# V5.2 (⛰) mountain
1F30B ;	emoji ;	363 ;	eruption, nature-android, nature-apple, place, volcano, weather ;	j 	# V6.0 (🌋) volcano
1F5FB ;	emoji ;	364 ;	fuji, mountain, place, places-android, places-apple ;	j 	# V6.0 (🗻) mount fuji
1F3D5 ;	text ;	365 ;	camping, nature, place ;	w 	# V7.0 (🏕) camping
1F3D6 ;	text ;	366 ;	beach, nature, place, umbrella ;	w 	# V7.0 (🏖) beach with umbrella
1F3DC ;	text ;	367 ;	desert, nature, place ;	w 	# V7.0 (🏜) desert
1F3DD ;	text ;	368 ;	desert, island, nature, place ;	w 	# V7.0 (🏝) desert island
1F3DE ;	text ;	369 ;	national park, nature, park, place ;	w 	# V7.0 (🏞) national park
1F3DF ;	text ;	370 ;	place, stadium ;	w 	# V7.0 (🏟) stadium
1F3DB ;	text ;	371 ;	building, classical, place ;	w 	# V7.0 (🏛) classical building
1F3D7 ;	text ;	372 ;	building, construction, place ;	w 	# V7.0 (🏗) building construction
1F3D8 ;	text ;	373 ;	building, house, place ;	w 	# V7.0 (🏘) house buildings
1F3D9 ;	text ;	374 ;	building, city, place ;	w 	# V7.0 (🏙) cityscape
1F3DA ;	text ;	375 ;	building, derelict, house, place ;	w 	# V7.0 (🏚) derelict house building
1F3E0 ;	emoji ;	376 ;	building, house, place, places-android, places-apple ;	j w 	# V6.0 (🏠) house building
1F3E1 ;	emoji ;	377 ;	building, garden, home, house, place, places-android, places-apple ;	j 	# V6.0 (🏡) house with garden
26EA ;	emoji ;	378 ;	building, christian, church, cross, place, places-android, places-apple, religion ;	a j 	# V5.2 (⛪) church
1F3E2 ;	emoji ;	379 ;	building, office, place, places-android, places-apple ;	j 	# V6.0 (🏢) office building
1F3E3 ;	emoji ;	380 ;	building, japanese, office, place, places-android, places-apple, post ;	j 	# V6.0 (🏣) japanese post office
1F3E4 ;	emoji ;	381 ;	building, european, office, place, places-android, places-apple, post ;	x 	# V6.0 (🏤) european post office
1F3E5 ;	emoji ;	382 ;	building, hospital, place, places-android, places-apple ;	j 	# V6.0 (🏥) hospital
1F3E6 ;	emoji ;	383 ;	bank, building, place, places-android, places-apple ;	j 	# V6.0 (🏦) bank
1F3E8 ;	emoji ;	384 ;	building, hotel, place, places-android, places-apple ;	j 	# V6.0 (🏨) hotel
1F3E9 ;	emoji ;	385 ;	building, hotel, love, place, places-android, places-apple ;	j 	# V6.0 (🏩) love hotel
1F3EA ;	emoji ;	386 ;	building, convenience, place, places-android, places-apple, store ;	j 	# V6.0 (🏪) convenience store
1F3EB ;	emoji ;	387 ;	building, place, places-android, places-apple, school ;	j 	# V6.0 (🏫) school
1F3EC ;	emoji ;	388 ;	building, department, place, places-android, places-apple, store ;	j 	# V6.0 (🏬) department store
1F3ED ;	emoji ;	389 ;	building, factory, place, places-android, places-apple ;	j w 	# V6.0 (🏭) factory
1F3EF ;	emoji ;	390 ;	building, castle, japanese, place, places-android, places-apple ;	j 	# V6.0 (🏯) japanese castle
1F3F0 ;	emoji ;	391 ;	building, castle, european, place, places-android, places-apple ;	j 	# V6.0 (🏰) european castle
1F492 ;	emoji ;	392 ;	activity, chapel, place, places-android, places-apple, romance, wedding ;	j 	# V6.0 (💒) wedding
1F5FC ;	emoji ;	393 ;	place, places-android, places-apple, tokyo, tower ;	j 	# V6.0 (🗼) tokyo tower
1F5FD ;	emoji ;	394 ;	liberty, place, places-android, places-apple, statue ;	j 	# V6.0 (🗽) statue of liberty
1F5FE ;	emoji ;	395 ;	japan, map, place, places-android, places-apple ;	j 	# V6.0 (🗾) silhouette of japan
26F2 ;	emoji ;	396 ;	fountain, object, place, places-android, places-apple ;	a j 	# V5.2 (⛲) fountain
26FA ;	emoji ;	397 ;	camping, objects-android, place, places-apple, tent ;	a j 	# V5.2 (⛺) tent
1F301 ;	emoji ;	398 ;	fog, foggy, nature-android, nature-apple, place, weather ;	j 	# V6.0 (🌁) foggy
1F303 ;	emoji ;	399 ;	nature-android, night, place, places-apple, star, stars, weather ;	j 	# V6.0 (🌃) night with stars
1F304 ;	emoji ;	400 ;	morning, mountain, nature-android, place, places-apple, sun, sunrise, weather ;	j 	# V6.0 (🌄) sunrise over mountains
1F305 ;	emoji ;	401 ;	morning, nature-android, place, places-apple, sun, sunrise, weather ;	j 	# V6.0 (🌅) sunrise
1F306 ;	emoji ;	402 ;	building, city, dusk, evening, landscape, nature-android, place, places-apple, sunset, weather ;	j 	# V6.0 (🌆) cityscape at dusk
1F307 ;	emoji ;	403 ;	building, dusk, nature-android, place, places-apple, sunset, weather ;	j 	# V6.0 (🌇) sunset over buildings
1F309 ;	emoji ;	404 ;	bridge, nature-android, night, place, places-apple, weather ;	j 	# V6.0 (🌉) bridge at night
1F30A ;	emoji ;	405 ;	nature-android, nature-apple, ocean, place, water, wave, waves, weather ;	j 	# V6.0 (🌊) water wave
2668 ;	text ;	406 ;	hot, hotsprings, places-android, places-apple, springs, travel ;	a j 	# V1.1 (♨) hot springs
1F5FF ;	emoji ;	407 ;	face, moyai, places-android, places-apple, statue, travel ;	j 	# V6.0 (🗿) moyai
1F30C ;	emoji ;	408 ;	milky way, nature-android, nature-apple, place, weather ;	j 	# V6.0 (🌌) milky way
1F3A0 ;	emoji ;	409 ;	activity, carousel, entertainment, horse, objects-android, place, places-apple ;	j 	# V6.0 (🎠) carousel horse
1F3A1 ;	emoji ;	410 ;	activity, amusement park, entertainment, ferris, objects-android, place, places-apple, wheel ;	j 	# V6.0 (🎡) ferris wheel
1F3A2 ;	emoji ;	411 ;	activity, amusement park, coaster, entertainment, objects-android, place, places-apple, roller ;	j 	# V6.0 (🎢) roller coaster
1F488 ;	emoji ;	412 ;	barber, place, places-android, places-apple, pole, shop ;	j 	# V6.0 (💈) barber pole
1F3AA ;	emoji ;	413 ;	activity, circus, entertainment, objects-android, place, places-apple, tent ;	j 	# V6.0 (🎪) circus tent
1F3AB ;	emoji ;	414 ;	activity, admission, entertainment, object, objects-android, place, places-apple, ticket ;	j 	# V6.0 (🎫) ticket
1F3AD ;	emoji ;	415 ;	activity, art, entertainment, face, mask, object, objects-android, performing, place, places-apple ;	j w 	# V6.0 (🎭) performing arts
1F3B0 ;	emoji ;	416 ;	activity, game, object, objects-android, place, places-apple, slot ;	j 	# V6.0 (🎰) slot machine
1F682 ;	emoji ;	417 ;	locomotive, places-android, places-apple, railway, steam, train, travel, vehicle ;	x 	# V6.0 (🚂) steam locomotive
1F683 ;	emoji ;	418 ;	car, electric, places-android, places-apple, railway, train, tram, travel, trolleybus, vehicle ;	j 	# V6.0 (🚃) railway car
1F684 ;	emoji ;	419 ;	places-android, places-apple, railway, shinkansen, speed, train, travel, vehicle ;	j 	# V6.0 (🚄) high-speed train
1F685 ;	emoji ;	420 ;	bullet, places-android, places-apple, railway, shinkansen, speed, train, travel, vehicle ;	j 	# V6.0 (🚅) high-speed train with bullet nose
1F686 ;	emoji ;	421 ;	places-android, places-apple, railway, train, travel, vehicle ;	x 	# V6.0 (🚆) train
1F687 ;	emoji ;	422 ;	metro, places-android, places-apple, subway, travel, vehicle ;	j w 	# V6.0 (🚇) metro
1F688 ;	emoji ;	423 ;	light, places-android, places-apple, railway, travel, vehicle ;	x 	# V6.0 (🚈) light rail
