% compkeys-2.1.9d8.txt
% Created: 2000-Apr-18
% Posted:  2000-Apr-18
% Derived from: unidata-2.1.9d8.txt
% Sifter version: 2.1.9d7, 2000-Jan-11

@version 2.1.9d8

322D ; [*023F.0020.0004.322D] [.6728.0020.0004.322D] [*0240.0020.0004.322D] # PARENTHESIZED IDEOGRAPH WOOD; COMPATSEQ
322E ; [*023F.0020.0004.322E] [.91D1.0020.0004.322E] [*0240.0020.0004.322E] # PARENTHESIZED IDEOGRAPH METAL; COMPATSEQ
322F ; [*023F.0020.0004.322F] [.571F.0020.0004.322F] [*0240.0020.0004.322F] # PARENTHESIZED IDEOGRAPH EARTH; COMPATSEQ
3230 ; [*023F.0020.0004.3230] [.65E5.0020.0004.3230] [*0240.0020.0004.3230] # PARENTHESIZED IDEOGRAPH SUN; COMPATSEQ
3231 ; [*023F.0020.0004.3231] [.682A.0020.0004.3231] [*0240.0020.0004.3231] # PARENTHESIZED IDEOGRAPH STOCK; COMPATSEQ
3232 ; [*023F.0020.0004.3232] [.6709.0020.0004.3232] [*0240.0020.0004.3232] # PARENTHESIZED IDEOGRAPH HAVE; COMPATSEQ
3233 ; [*023F.0020.0004.3233] [.793E.0020.0004.3233] [*0240.0020.0004.3233] # PARENTHESIZED IDEOGRAPH SOCIETY; COMPATSEQ
3234 ; [*023F.0020.0004.3234] [.540D.0020.0004.3234] [*0240.0020.0004.3234] # PARENTHESIZED IDEOGRAPH NAME; COMPATSEQ
3235 ; [*023F.0020.0004.3235] [.7279.0020.0004.3235] [*0240.0020.0004.3235] # PARENTHESIZED IDEOGRAPH SPECIAL; COMPATSEQ
3236 ; [*023F.0020.0004.3236] [.8CA1.0020.0004.3236] [*0240.0020.0004.3236] # PARENTHESIZED IDEOGRAPH FINANCIAL; COMPATSEQ
3237 ; [*023F.0020.0004.3237] [.795D.0020.0004.3237] [*0240.0020.0004.3237] # PARENTHESIZED IDEOGRAPH CONGRATULATION; COMPATSEQ
3238 ; [*023F.0020.0004.3238] [.52B4.0020.0004.3238] [*0240.0020.0004.3238] # PARENTHESIZED IDEOGRAPH LABOR; COMPATSEQ
3239 ; [*023F.0020.0004.3239] [.4EE3.0020.0004.3239] [*0240.0020.0004.3239] # PARENTHESIZED IDEOGRAPH REPRESENT; COMPATSEQ
323A ; [*023F.0020.0004.323A] [.547C.0020.0004.323A] [*0240.0020.0004.323A] # PARENTHESIZED IDEOGRAPH CALL; COMPATSEQ
323B ; [*023F.0020.0004.323B] [.5B66.0020.0004.323B] [*0240.0020.0004.323B] # PARENTHESIZED IDEOGRAPH STUDY; COMPATSEQ
323C ; [*023F.0020.0004.323C] [.76E3.0020.0004.323C] [*0240.0020.0004.323C] # PARENTHESIZED IDEOGRAPH SUPERVISE; COMPATSEQ
323D ; [*023F.0020.0004.323D] [.4F01.0020.0004.323D] [*0240.0020.0004.323D] # PARENTHESIZED IDEOGRAPH ENTERPRISE; COMPATSEQ
323E ; [*023F.0020.0004.323E] [.8CC7.0020.0004.323E] [*0240.0020.0004.323E] # PARENTHESIZED IDEOGRAPH RESOURCE; COMPATSEQ
323F ; [*023F.0020.0004.323F] [.5354.0020.0004.323F] [*0240.0020.0004.323F] # PARENTHESIZED IDEOGRAPH ALLIANCE; COMPATSEQ
3240 ; [*023F.0020.0004.3240] [.796D.0020.0004.3240] [*0240.0020.0004.3240] # PARENTHESIZED IDEOGRAPH FESTIVAL; COMPATSEQ
3241 ; [*023F.0020.0004.3241] [.4F11.0020.0004.3241] [*0240.0020.0004.3241] # PARENTHESIZED IDEOGRAPH REST; COMPATSEQ
3242 ; [*023F.0020.0004.3242] [.81EA.0020.0004.3242] [*0240.0020.0004.3242] # PARENTHESIZED IDEOGRAPH SELF; COMPATSEQ
3243 ; [*023F.0020.0004.3243] [.81F3.0020.0004.3243] [*0240.0020.0004.3243] # PARENTHESIZED IDEOGRAPH REACH; COMPATSEQ
2033 ; [*0275.0020.0004.2033] [*0275.0020.0004.2033] # DOUBLE PRIME; COMPATSEQ
2034 ; [*0275.0020.0004.2034] [*0275.0020.0004.2034] [*0275.0020.0004.2034] # TRIPLE PRIME; COMPATSEQ
2036 ; [*0276.0020.0004.2036] [*0276.0020.0004.2036] # REVERSED DOUBLE PRIME; COMPATSEQ
