# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F184;	0054;	missing_enclosed	 # ( 🆄 → u )	NEGATIVE SQUARED LATIN CAPITAL LETTER U → LATIN SMALL LETTER U
1F185;	V;	missing_enclosed	 # ( 🆅 → v )	NEGATIVE SQUARED LATIN CAPITAL LETTER V → LATIN SMALL LETTER V
1F186;	W;	missing_enclosed	 # ( 🆆 → w )	NEGATIVE SQUARED LATIN CAPITAL LETTER W → LATIN SMALL LETTER W
1F187;	X;	missing_enclosed	 # ( 🆇 → x )	NEGATIVE SQUARED LATIN CAPITAL LETTER X → LATIN SMALL LETTER X
1F188;	Y;	missing_enclosed	 # ( 🆈 → y )	NEGATIVE SQUARED LATIN CAPITAL LETTER Y → LATIN SMALL LETTER Y
1F189;	Z;	missing_enclosed	 # ( 🆉 → z )	NEGATIVE SQUARED LATIN CAPITAL LETTER Z → LATIN SMALL LETTER Z
1F18A;	P;	missing_enclosed	 # ( 🆊 → p )	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P

#@override reason=fixed_nfkc

0130;	0069;	fixed_nfkc	 # ( İ → i )	LATIN CAPITAL LETTER I WITH DOT ABOVE → LATIN SMALL LETTER I
0640;	;	fixed_nfkc	 # ( ـ →  )	ARABIC TATWEEL → 
2044;	002F;	fixed_nfkc	 # ( ⁄ → / )	FRACTION SLASH → SOLIDUS
2215;	002F;	fixed_nfkc	 # ( ∕ → / )	DIVISION SLASH → SOLIDUS
FC5E;	064C 0651;	fixed_nfkc	 # ( ﱞ → ٌّ )	ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM → ARABIC DAMMATAN + ARABIC SHADDA
FC5F;	064D 0651;	fixed_nfkc	 # ( ﱟ → ٍّ )	ARABIC LIGATURE SHADDA WITH KASRATAN ISOLATED FORM → ARABIC KASRATAN + ARABIC SHADDA
FC60;	064E 0651;	fixed_nfkc	 # ( ﱠ → َّ )	ARABIC LIGATURE SHADDA WITH FATHA ISOLATED FORM → ARABIC FATHA + ARABIC SHADDA
FC61;	064F 0651;	fixed_nfkc	 # ( ﱡ → ُّ )	ARABIC LIGATURE SHADDA WITH DAMMA ISOLATED FORM → ARABIC DAMMA + ARABIC SHADDA
FC62;	0650 0651;	fixed_nfkc	 # ( ﱢ → ِّ )	ARABIC LIGATURE SHADDA WITH KASRA ISOLATED FORM → ARABIC KASRA + ARABIC SHADDA
FC63;	0651 0670;	fixed_nfkc	 # ( ﱣ → ّٰ )	ARABIC LIGATURE SHADDA WITH SUPERSCRIPT ALEF ISOLATED FORM → ARABIC SHADDA + ARABIC LETTER SUPERSCRIPT ALEF
FE70;	064B;	fixed_nfkc	 # ( ﹰ → ً )	ARABIC FATHATAN ISOLATED FORM → ARABIC FATHATAN
FE72;	064C;	fixed_nfkc	 # ( ﹲ → ٌ )	ARABIC DAMMATAN ISOLATED FORM → ARABIC DAMMATAN
FE73;	;	fixed_nfkc	 # ( ﹳ →  )	ARABIC TAIL FRAGMENT → 
FE74;	064D;	fixed_nfkc	 # ( ﹴ → ٍ )	ARABIC KASRATAN ISOLATED FORM → ARABIC KASRATAN
FE76;	064E;	fixed_nfkc	 # ( ﹶ → َ )	ARABIC FATHA ISOLATED FORM → ARABIC FATHA
FE78;	064F;	fixed_nfkc	 # ( ﹸ → ُ )	ARABIC DAMMA ISOLATED FORM → ARABIC DAMMA
FE7A;	0650;	fixed_nfkc	 # ( ﹺ → ِ )	ARABIC KASRA ISOLATED FORM → ARABIC KASRA
FE7C;	0651;	fixed_nfkc	 # ( ﹼ → ّ )	ARABIC SHADDA ISOLATED FORM → ARABIC SHADDA
FE7E;	0652;	fixed_nfkc	 # ( ﹾ → ْ )	ARABIC SUKUN ISOLATED FORM → ARABIC SUKUN
FFA1;	3131;	fixed_nfkc	 # ( ﾡ → ㄱ )	HALFWIDTH HANGUL LETTER KIYEOK → HANGUL LETTER KIYEOK
FFA2;	3132;	fixed_nfkc	 # ( ﾢ → ㄲ )	HALFWIDTH HANGUL LETTER SSANGKIYEOK → HANGUL LETTER SSANGKIYEOK
FFA3;	3133;	fixed_nfkc	 # ( ﾣ → ㄳ )	HALFWIDTH HANGUL LETTER KIYEOK-SIOS → HANGUL LETTER KIYEOK-SIOS
FFA4;	3134;	fixed_nfkc	 # ( ﾤ → ㄴ )	HALFWIDTH HANGUL LETTER NIEUN → HANGUL LETTER NIEUN
FFA5;	3135;	fixed_nfkc	 # ( ﾥ → ㄵ )	HALFWIDTH HANGUL LETTER NIEUN-CIEUC → HANGUL LETTER NIEUN-CIEUC
FFA6;	3136;	fixed_nfkc	 # ( ﾦ → ㄶ )	HALFWIDTH HANGUL LETTER NIEUN-HIEUH → HANGUL LETTER NIEUN-HIEUH
FFA7;	3137;	fixed_nfkc	 # ( ﾧ → ㄷ )	HALFWIDTH HANGUL LETTER TIKEUT → HANGUL LETTER TIKEUT
FFA8;	3138;	fixed_nfkc	 # ( ﾨ → ㄸ )	HALFWIDTH HANGUL LETTER SSANGTIKEUT → HANGUL LETTER SSANGTIKEUT
FFA9;	3139;	fixed_nfkc	 # ( ﾩ → ㄹ )	HALFWIDTH HANGUL LETTER RIEUL → HANGUL LETTER RIEUL
FFAA;	313A;	fixed_nfkc	 # ( ﾪ → ㄺ )	HALFWIDTH HANGUL LETTER RIEUL-KIYEOK → HANGUL LETTER RIEUL-KIYEOK
FFAB;	313B;	fixed_nfkc	 # ( ﾫ → ㄻ )	HALFWIDTH HANGUL LETTER RIEUL-MIEUM → HANGUL LETTER RIEUL-MIEUM
FFAC;	313C;	fixed_nfkc	 # ( ﾬ → ㄼ )	HALFWIDTH HANGUL LETTER RIEUL-PIEUP → HANGUL LETTER RIEUL-PIEUP
FFAD;	313D;	fixed_nfkc	 # ( ﾭ → ㄽ )	HALFWIDTH HANGUL LETTER RIEUL-SIOS → HANGUL LETTER RIEUL-SIOS
FFAE;	313E;	fixed_nfkc	 # ( ﾮ → ㄾ )	HALFWIDTH HANGUL LETTER RIEUL-THIEUTH → HANGUL LETTER RIEUL-THIEUTH
FFAF;	313F;	fixed_nfkc	 # ( ﾯ → ㄿ )	HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH → HANGUL LETTER RIEUL-PHIEUPH
FFB0;	3140;	fixed_nfkc	 # ( ﾰ → ㅀ )	HALFWIDTH HANGUL LETTER RIEUL-HIEUH → HANGUL LETTER RIEUL-HIEUH
FFB1;	3141;	fixed_nfkc	 # ( ﾱ → ㅁ )	HALFWIDTH HANGUL LETTER MIEUM → HANGUL LETTER MIEUM
FFB2;	3142;	fixed_nfkc	 # ( ﾲ → ㅂ )	HALFWIDTH HANGUL LETTER PIEUP → HANGUL LETTER PIEUP
FFB3;	3143;	fixed_nfkc	 # ( ﾳ → ㅃ )	HALFWIDTH HANGUL LETTER SSANGPIEUP → HANGUL LETTER SSANGPIEUP
FFB4;	3144;	fixed_nfkc	 # ( ﾴ → ㅄ )	HALFWIDTH HANGUL LETTER PIEUP-SIOS → HANGUL LETTER PIEUP-SIOS
FFB5;	3145;	fixed_nfkc	 # ( ﾵ → ㅅ )	HALFWIDTH HANGUL LETTER SIOS → HANGUL LETTER SIOS
FFB6;	3146;	fixed_nfkc	 # ( ﾶ → ㅆ )	HALFWIDTH HANGUL LETTER SSANGSIOS → HANGUL LETTER SSANGSIOS
FFB7;	3147;	fixed_nfkc	 # ( ﾷ → ㅇ )	HALFWIDTH HANGUL LETTER IEUNG → HANGUL LETTER IEUNG
FFB8;	3148;	fixed_nfkc	 # ( ﾸ → ㅈ )	HALFWIDTH HANGUL LETTER CIEUC → HANGUL LETTER CIEUC
FFB9;	3149;	fixed_nfkc	 # ( ﾹ → ㅉ )	HALFWIDTH HANGUL LETTER SSANGCIEUC → HANGUL LETTER SSANGCIEUC
FFBA;	314A;	fixed_nfkc	 # ( ﾺ → ㅊ )	HALFWIDTH HANGUL LETTER CHIEUCH → HANGUL LETTER CHIEUCH
FFBB;	314B;	fixed_nfkc	 # ( ﾻ → ㅋ )	HALFWIDTH HANGUL LETTER KHIEUKH → HANGUL LETTER KHIEUKH
FFBC;	314C;	fixed_nfkc	 # ( ﾼ → ㅌ )	HALFWIDTH HANGUL LETTER THIEUTH → HANGUL LETTER THIEUTH
FFBD;	314D;	fixed_nfkc	 # ( ﾽ → ㅍ )	HALFWIDTH HANGUL LETTER PHIEUPH → HANGUL LETTER PHIEUPH
FFBE;	314E;	fixed_nfkc	 # ( ﾾ → ㅎ )	HALFWIDTH HANGUL LETTER HIEUH → HANGUL LETTER HIEUH
FFC2;	314F;	fixed_nfkc	 # ( ￂ → ㅏ )	HALFWIDTH HANGUL LETTER A → HANGUL LETTER A
FFC3;	3150;	fixed_nfkc	 # ( ￃ → ㅐ )	HALFWIDTH HANGUL LETTER AE → HANGUL LETTER AE
FFC4;	3151;	fixed_nfkc	 # ( ￄ → ㅑ )	HALFWIDTH HANGUL LETTER YA → HANGUL LETTER YA
FFC5;	3152;	fixed_nfkc	 # ( ￅ → ㅒ )	HALFWIDTH HANGUL LETTER YAE → HANGUL LETTER YAE
FFC6;	3153;	fixed_nfkc	 # ( ￆ → ㅓ )	HALFWIDTH HANGUL LETTER EO → HANGUL LETTER EO
FFC7;	3154;	fixed_nfkc	 # ( ￇ → ㅔ )	HALFWIDTH HANGUL LETTER E → HANGUL LETTER E
FFCA;	3155;	fixed_nfkc	 # ( ￊ → ㅕ )	HALFWIDTH HANGUL LETTER YEO → HANGUL LETTER YEO
FFCB;	3156;	fixed_nfkc	 # ( ￋ → ㅖ )	HALFWIDTH HANGUL LETTER YE → HANGUL LETTER YE
FFCC;	3157;	fixed_nfkc	 # ( ￌ → ㅗ )	HALFWIDTH HANGUL LETTER O → HANGUL LETTER O
FFCD;	3158;	fixed_nfkc	 # ( ￍ → ㅘ )	HALFWIDTH HANGUL LETTER WA → HANGUL LETTER WA
FFCE;	3159;	fixed_nfkc	 # ( ￎ → ㅙ )	HALFWIDTH HANGUL LETTER WAE → HANGUL LETTER WAE
FFCF;	315A;	fixed_nfkc	 # ( ￏ → ㅚ )	HALFWIDTH HANGUL LETTER OE → HANGUL LETTER OE
FFD2;	315B;	fixed_nfkc	 # ( ￒ → ㅛ )	HALFWIDTH HANGUL LETTER YO → HANGUL LETTER YO
FFD3;	315C;	fixed_nfkc	 # ( ￓ → ㅜ )	HALFWIDTH HANGUL LETTER U → HANGUL LETTER U
FFD4;	315D;	fixed_nfkc	 # ( ￔ → ㅝ )	HALFWIDTH HANGUL LETTER WEO → HANGUL LETTER WEO
FFD5;	315E;	fixed_nfkc	 # ( ￕ → ㅞ )	HALFWIDTH HANGUL LETTER WE → HANGUL LETTER WE
FFD6;	315F;	fixed_nfkc	 # ( ￖ → ㅟ )	HALFWIDTH HANGUL LETTER WI → HANGUL LETTER WI
FFD7;	3160;	fixed_nfkc	 # ( ￗ → ㅠ )	HALFWIDTH HANGUL LETTER YU → HANGUL LETTER YU
FFDA;	3161;	fixed_nfkc	 # ( ￚ → ㅡ )	HALFWIDTH HANGUL LETTER EU → HANGUL LETTER EU
FFDB;	3162;	fixed_nfkc	 # ( ￛ → ㅢ )	HALFWIDTH HANGUL LETTER YI → HANGUL LETTER YI
FFDC;	3163;	fixed_nfkc	 # ( ￜ → ㅣ )	HALFWIDTH HANGUL LETTER I → HANGUL LETTER I

#@override reason=radical

2E82;	4E5B;	radical	 # ( ⺂ → 乛 )	CJK RADICAL SECOND ONE → CJK UNIFIED IDEOGRAPH-4E5B
2E83;	4E5A;	radical	 # ( ⺃ → 乚 )	CJK RADICAL SECOND TWO → CJK UNIFIED IDEOGRAPH-4E5A
2E85;	4EBB;	radical	 # ( ⺅ → 亻 )	CJK RADICAL PERSON → CJK UNIFIED IDEOGRAPH-4EBB
2E89;	5202;	radical	 # ( ⺉ → 刂 )	CJK RADICAL KNIFE TWO → CJK UNIFIED IDEOGRAPH-5202
2E8F;	5C23;	radical	 # ( ⺏ → 尣 )	CJK RADICAL LAME TWO → CJK UNIFIED IDEOGRAPH-5C23
2E90;	5C22;	radical	 # ( ⺐ → 尢 )	CJK RADICAL LAME THREE → CJK UNIFIED IDEOGRAPH-5C22
2E92;	5DF3;	radical	 # ( ⺒ → 巳 )	CJK RADICAL SNAKE → CJK UNIFIED IDEOGRAPH-5DF3
2E93;	5E7A;	radical	 # ( ⺓ → 幺 )	CJK RADICAL THREAD → CJK UNIFIED IDEOGRAPH-5E7A
2E94;	5F51;	radical	 # ( ⺔ → 彑 )	CJK RADICAL SNOUT ONE → CJK UNIFIED IDEOGRAPH-5F51
2E96;	5FC4;	radical	 # ( ⺖ → 忄 )	CJK RADICAL HEART ONE → CJK UNIFIED IDEOGRAPH-5FC4
2E98;	624C;	radical	 # ( ⺘ → 扌 )	CJK RADICAL HAND → CJK UNIFIED IDEOGRAPH-624C
2E99;	6535;	radical	 # ( ⺙ → 攵 )	CJK RADICAL RAP → CJK UNIFIED IDEOGRAPH-6535
2E9B;	65E1;	radical	 # ( ⺛ → 旡 )	CJK RADICAL CHOKE → CJK UNIFIED IDEOGRAPH-65E1
2EA0;	6C11;	radical	 # ( ⺠ → 民 )	CJK RADICAL CIVILIAN → CJK UNIFIED IDEOGRAPH-6C11
2EA1;	6C35;	radical	 # ( ⺡ → 氵 )	CJK RADICAL WATER ONE → CJK UNIFIED IDEOGRAPH-6C35
2EA2;	6C3A;	radical	 # ( ⺢ → 氺 )	CJK RADICAL WATER TWO → CJK UNIFIED IDEOGRAPH-6C3A
2EA3;	706C;	radical	 # ( ⺣ → 灬 )	CJK RADICAL FIRE → CJK UNIFIED IDEOGRAPH-706C
2EA4;	722B;	radical	 # ( ⺤ → 爫 )	CJK RADICAL PAW ONE → CJK UNIFIED IDEOGRAPH-722B
2EA6;	4E2C;	radical	 # ( ⺦ → 丬 )	CJK RADICAL SIMPLIFIED HALF TREE TRUNK → CJK UNIFIED IDEOGRAPH-4E2C
2EA8;	72AD;	radical	 # ( ⺨ → 犭 )	CJK RADICAL DOG → CJK UNIFIED IDEOGRAPH-72AD
2EAD;	793B;	radical	 # ( ⺭ → 礻 )	CJK RADICAL SPIRIT TWO → CJK UNIFIED IDEOGRAPH-793B
2EAF;	7CF9;	radical	 # ( ⺯ → 糹 )	CJK RADICAL SILK → CJK UNIFIED IDEOGRAPH-7CF9
2EB0;	7E9F;	radical	 # ( ⺰ → 纟 )	CJK RADICAL C-SIMPLIFIED SILK → CJK UNIFIED IDEOGRAPH-7E9F
2EB1;	7F53;	radical	 # ( ⺱ → 罓 )	CJK RADICAL NET ONE → CJK UNIFIED IDEOGRAPH-7F53
2EB2;	7F52;	radical	 # ( ⺲ → 罒 )	CJK RADICAL NET TWO → CJK UNIFIED IDEOGRAPH-7F52
2EB8;	7F8B;	radical	 # ( ⺸ → 羋 )	CJK RADICAL EWE → CJK UNIFIED IDEOGRAPH-7F8B
2EB9;	8002;	radical	 # ( ⺹ → 耂 )	CJK RADICAL OLD → CJK UNIFIED IDEOGRAPH-8002
2EBA;	8080;	radical	 # ( ⺺ → 肀 )	CJK RADICAL BRUSH ONE → CJK UNIFIED IDEOGRAPH-8080
2EBE;	8279;	radical	 # ( ⺾ → 艹 )	CJK RADICAL GRASS ONE → CJK UNIFIED IDEOGRAPH-8279
2EC1;	864E;	radical	 # ( ⻁ → 虎 )	CJK RADICAL TIGER → CJK UNIFIED IDEOGRAPH-864E
2EC2;	8864;	radical	 # ( ⻂ → 衤 )	CJK RADICAL CLOTHES → CJK UNIFIED IDEOGRAPH-8864
2EC3;	8980;	radical	 # ( ⻃ → 覀 )	CJK RADICAL WEST ONE → CJK UNIFIED IDEOGRAPH-8980
2EC4;	897F;	radical	 # ( ⻄ → 西 )	CJK RADICAL WEST TWO → CJK UNIFIED IDEOGRAPH-897F
2EC5;	89C1;	radical	 # ( ⻅ → 见 )	CJK RADICAL C-SIMPLIFIED SEE → CJK UNIFIED IDEOGRAPH-89C1
2EC6;	89D2;	radical	 # ( ⻆ → 角 )	CJK RADICAL SIMPLIFIED HORN → CJK UNIFIED IDEOGRAPH-89D2
2EC8;	8BA0;	radical	 # ( ⻈ → 讠 )	CJK RADICAL C-SIMPLIFIED SPEECH → CJK UNIFIED IDEOGRAPH-8BA0
2EC9;	8D1D;	radical	 # ( ⻉ → 贝 )	CJK RADICAL C-SIMPLIFIED SHELL → CJK UNIFIED IDEOGRAPH-8D1D
2ECB;	8F66;	radical	 # ( ⻋ → 车 )	CJK RADICAL C-SIMPLIFIED CART → CJK UNIFIED IDEOGRAPH-8F66
2ECC;	8FB6;	radical	 # ( ⻌ → 辶 )	CJK RADICAL SIMPLIFIED WALK → CJK UNIFIED IDEOGRAPH-8FB6
2ED0;	9485;	radical	 # ( ⻐ → 钅 )	CJK RADICAL C-SIMPLIFIED GOLD → CJK UNIFIED IDEOGRAPH-9485
2ED1;	9577;	radical	 # ( ⻑ → 長 )	CJK RADICAL LONG ONE → CJK UNIFIED IDEOGRAPH-9577
2ED2;	9578;	radical	 # ( ⻒ → 镸 )	CJK RADICAL LONG TWO → CJK UNIFIED IDEOGRAPH-9578
2ED3;	957F;	radical	 # ( ⻓ → 长 )	CJK RADICAL C-SIMPLIFIED LONG → CJK UNIFIED IDEOGRAPH-957F
2ED4;	95E8;	radical	 # ( ⻔ → 门 )	CJK RADICAL C-SIMPLIFIED GATE → CJK UNIFIED IDEOGRAPH-95E8
2ED6;	961D;	radical	 # ( ⻖ → 阝 )	CJK RADICAL MOUND TWO → CJK UNIFIED IDEOGRAPH-961D
2ED8;	9752;	radical	 # ( ⻘ → 青 )	CJK RADICAL BLUE → CJK UNIFIED IDEOGRAPH-9752
2ED9;	97E6;	radical	 # ( ⻙ → 韦 )	CJK RADICAL C-SIMPLIFIED TANNED LEATHER → CJK UNIFIED IDEOGRAPH-97E6
2EDA;	9875;	radical	 # ( ⻚ → 页 )	CJK RADICAL C-SIMPLIFIED LEAF → CJK UNIFIED IDEOGRAPH-9875
2EDB;	98CE;	radical	 # ( ⻛ → 风 )	CJK RADICAL C-SIMPLIFIED WIND → CJK UNIFIED IDEOGRAPH-98CE
2EDC;	98DE;	radical	 # ( ⻜ → 飞 )	CJK RADICAL C-SIMPLIFIED FLY → CJK UNIFIED IDEOGRAPH-98DE
2EDD;	98DF;	radical	 # ( ⻝ → 食 )	CJK RADICAL EAT ONE → CJK UNIFIED IDEOGRAPH-98DF
2EDF;	98E0;	radical	 # ( ⻟ → 飠 )	CJK RADICAL EAT THREE → CJK UNIFIED IDEOGRAPH-98E0
2EE0;	9963;	radical	 # ( ⻠ → 饣 )	CJK RADICAL C-SIMPLIFIED EAT → CJK UNIFIED IDEOGRAPH-9963
2EE2;	9A6C;	radical	 # ( ⻢ → 马 )	CJK RADICAL C-SIMPLIFIED HORSE → CJK UNIFIED IDEOGRAPH-9A6C
2EE5;	9C7C;	radical	 # ( ⻥ → 鱼 )	CJK RADICAL C-SIMPLIFIED FISH → CJK UNIFIED IDEOGRAPH-9C7C
2EE6;	9E1F;	radical	 # ( ⻦ → 鸟 )	CJK RADICAL C-SIMPLIFIED BIRD → CJK UNIFIED IDEOGRAPH-9E1F
2EE7;	5364;	radical	 # ( ⻧ → 卤 )	CJK RADICAL C-SIMPLIFIED SALT → CJK UNIFIED IDEOGRAPH-5364
2EE8;	9EA6;	radical	 # ( ⻨ → 麦 )	CJK RADICAL SIMPLIFIED WHEAT → CJK UNIFIED IDEOGRAPH-9EA6
2EE9;	9EC4;	radical	 # ( ⻩ → 黄 )	CJK RADICAL SIMPLIFIED YELLOW → CJK UNIFIED IDEOGRAPH-9EC4
2EEA;	9EFE;	radical	 # ( ⻪ → 黾 )	CJK RADICAL C-SIMPLIFIED FROG → CJK UNIFIED IDEOGRAPH-9EFE
2EEC;	9F50;	radical	 # ( ⻬ → 齐 )	CJK RADICAL C-SIMPLIFIED EVEN → CJK UNIFIED IDEOGRAPH-9F50
2EEE;	9F7F;	radical	 # ( ⻮ → 齿 )	CJK RADICAL C-SIMPLIFIED TOOTH → CJK UNIFIED IDEOGRAPH-9F7F
2EF0;	9F99;	radical	 # ( ⻰ → 龙 )	CJK RADICAL C-SIMPLIFIED DRAGON → CJK UNIFIED IDEOGRAPH-9F99

#@override reason=retain_super

3192;	3192;	retain_super	 # ( ㆒ → ㆒ )	IDEOGRAPHIC ANNOTATION ONE MARK → IDEOGRAPHIC ANNOTATION ONE MARK
3193;	3193;	retain_super	 # ( ㆓ → ㆓ )	IDEOGRAPHIC ANNOTATION TWO MARK → IDEOGRAPHIC ANNOTATION TWO MARK
3194;	3194;	retain_super	 # ( ㆔ → ㆔ )	IDEOGRAPHIC ANNOTATION THREE MARK → IDEOGRAPHIC ANNOTATION THREE MARK
3195;	3195;	retain_super	 # ( ㆕ → ㆕ )	IDEOGRAPHIC ANNOTATION FOUR MARK → IDEOGRAPHIC ANNOTATION FOUR MARK
3196;	3196;	retain_super	 # ( ㆖ → ㆖ )	IDEOGRAPHIC ANNOTATION TOP MARK → IDEOGRAPHIC ANNOTATION TOP MARK
3197;	3197;	retain_super	 # ( ㆗ → ㆗ )	IDEOGRAPHIC ANNOTATION MIDDLE MARK → IDEOGRAPHIC ANNOTATION MIDDLE MARK
3198;	3198;	retain_super	 # ( ㆘ → ㆘ )	IDEOGRAPHIC ANNOTATION BOTTOM MARK → IDEOGRAPHIC ANNOTATION BOTTOM MARK
3199;	3199;	retain_super	 # ( ㆙ → ㆙ )	IDEOGRAPHIC ANNOTATION FIRST MARK → IDEOGRAPHIC ANNOTATION FIRST MARK
319A;	319A;	retain_super	 # ( ㆚ → ㆚ )	IDEOGRAPHIC ANNOTATION SECOND MARK → IDEOGRAPHIC ANNOTATION SECOND MARK
319B;	319B;	retain_super	 # ( ㆛ → ㆛ )	IDEOGRAPHIC ANNOTATION THIRD MARK → IDEOGRAPHIC ANNOTATION THIRD MARK
319C;	319C;	retain_super	 # ( ㆜ → ㆜ )	IDEOGRAPHIC ANNOTATION FOURTH MARK → IDEOGRAPHIC ANNOTATION FOURTH MARK
319D;	319D;	retain_super	 # ( ㆝ → ㆝ )	IDEOGRAPHIC ANNOTATION HEAVEN MARK → IDEOGRAPHIC ANNOTATION HEAVEN MARK
319E;	319E;	retain_super	 # ( ㆞ → ㆞ )	IDEOGRAPHIC ANNOTATION EARTH MARK → IDEOGRAPHIC ANNOTATION EARTH MARK
319F;	319F;	retain_super	 # ( ㆟ → ㆟ )	IDEOGRAPHIC ANNOTATION MAN MARK → IDEOGRAPHIC ANNOTATION MAN MARK

#@override reason=retain_vertical

FE10;	002C;	retain_vertical	 # ( ︐ → , )	PRESENTATION FORM FOR VERTICAL COMMA → COMMA
FE11;	3001;	retain_vertical	 # ( ︑ → 、 )	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA → IDEOGRAPHIC COMMA
FE12;	3002;	retain_vertical	 # ( ︒ → 。 )	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP → IDEOGRAPHIC FULL STOP
FE13;	003A;	retain_vertical	 # ( ︓ → : )	PRESENTATION FORM FOR VERTICAL COLON → COLON
FE14;	003B;	retain_vertical	 # ( ︔ → ; )	PRESENTATION FORM FOR VERTICAL SEMICOLON → SEMICOLON
FE15;	0021;	retain_vertical	 # ( ︕ → ! )	PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK → EXCLAMATION MARK
FE16;	003F;	retain_vertical	 # ( ︖ → ? )	PRESENTATION FORM FOR VERTICAL QUESTION MARK → QUESTION MARK
