# From state ; class name or eot ; to state
START ; CM ; CM
BAmEastAsian ; CR ; CR
BAmEastAsian ; SP ; SP
BAmEastAsian ; EXmEastAsian ; EXmEastAsian
BAmEastAsian ; QUmPimPf ; QUmPimPf
BAmEastAsian ; CP ; CP
BAmEastAsian ; IS ; IS
BAmEastAsian ; HY ; CM HY
BAmEastAsian ; SY ; SY
BAmEastAsian ; CLmEastAsian ; CLmEastAsian
BAmEastAsian ; QU_Pi ; QUmPimPf
BAmEastAsian ; QU_Pf ; BAmEastAsian QU_Pf
BAmEastAsian ; HH ; BAmEastAsian
BAmEastAsian ; NSmEastAsian ; EXmEastAsian
BAmEastAsian ; ZW ; ZW
BAmEastAsian ; ZWJ ; BAmEastAsian ZWJ
BAmEastAsian ; INmEastAsian ; EXmEastAsian
BAmEastAsian ; WJ ; WJ
BAmEastAsian ; CL_EastAsian ; CL_EastAsian
BAmEastAsian ; BA_EastAsian ; BA_EastAsian
BAmEastAsian ; NS_EastAsian|CJ ; CJ
BAmEastAsian ; EX_EastAsian ; CJ
BAmEastAsian ; IN_EastAsian ; CJ
BAmEastAsian ; SA_Mn|SA_Mc ; BAmEastAsian CM
CR ; LF ; LF
SP ; LF ; LF
SP ; BK|NL ; LF
SP ; CR ; CR
SP ; SP ; SP
SP ; EXmEastAsian ; EXmEastAsian
SP ; CP ; CP
SP ; IS ; SP IS
SP ; SY ; SY
SP ; CLmEastAsian ; CLmEastAsian
SP ; QU_Pf ; SP QU_Pf
SP ; ZW ; ZW
SP ; WJ ; WJ
SP ; CL_EastAsian ; CL_EastAsian
SP ; EX_EastAsian ; CJ
EXmEastAsian ; CM ; EXmEastAsian CM
EXmEastAsian ; BAmEastAsian ; BAmEastAsian
EXmEastAsian ; LF ; LF
EXmEastAsian ; BK|NL ; LF
EXmEastAsian ; CR ; CR
EXmEastAsian ; SP ; SP
EXmEastAsian ; EXmEastAsian ; EXmEastAsian
EXmEastAsian ; QUmPimPf ; QUmPimPf
EXmEastAsian ; CP ; CP
EXmEastAsian ; IS ; IS
EXmEastAsian ; HY ; CM HY
EXmEastAsian ; SY ; SY
EXmEastAsian ; CLmEastAsian ; CLmEastAsian
EXmEastAsian ; GLmEastAsian ; GLmEastAsian
EXmEastAsian ; QU_Pi ; QUmPimPf
EXmEastAsian ; QU_Pf ; BAmEastAsian QU_Pf
EXmEastAsian ; HH ; BAmEastAsian
EXmEastAsian ; NSmEastAsian ; EXmEastAsian
EXmEastAsian ; ZW ; ZW
EXmEastAsian ; ZWJ ; EXmEastAsian ZWJ
EXmEastAsian ; INmEastAsian ; EXmEastAsian
EXmEastAsian ; WJ ; WJ
EXmEastAsian ; CL_EastAsian ; CL_EastAsian
EXmEastAsian ; BA_EastAsian ; BA_EastAsian
EXmEastAsian ; NS_EastAsian|CJ ; CJ
EXmEastAsian ; EX_EastAsian ; CJ
EXmEastAsian ; IN_EastAsian ; CJ
EXmEastAsian ; GL_EastAsian ; GL_EastAsian
EXmEastAsian ; SA_Mn|SA_Mc ; EXmEastAsian CM
QUmPimPf ; CM ; QUmPimPf CM
QUmPimPf ; BAmEastAsian ; BAmEastAsian
QUmPimPf ; LF ; LF
QUmPimPf ; BK|NL ; LF
QUmPimPf ; CR ; CR
QUmPimPf ; SP ; SP
QUmPimPf ; EXmEastAsian ; EXmEastAsian
QUmPimPf ; QUmPimPf ; QUmPimPf
QUmPimPf ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
QUmPimPf ; PRmEastAsian ; PRmEastAsian
QUmPimPf ; POmEastAsian ; POmEastAsian
QUmPimPf ; OPmEastAsian ; OPmEastAsian
QUmPimPf ; CP ; CP
QUmPimPf ; IS ; IS
QUmPimPf ; HY ; CM HY
QUmPimPf ; SY ; SY
QUmPimPf ; NU ; NU
QUmPimPf ; CLmEastAsian ; CLmEastAsian
QUmPimPf ; GLmEastAsian ; GLmEastAsian
QUmPimPf ; QU_Pi ; QUmPimPf QU_Pi
QUmPimPf ; BB ; BB
QUmPimPf ; QU_Pf ; BAmEastAsian QU_Pf
QUmPimPf ; HH ; BAmEastAsian
QUmPimPf ; HL ; HL
QUmPimPf ; JL ; JL
QUmPimPf ; JV ; JV
QUmPimPf ; JT ; JT
QUmPimPf ; NSmEastAsian ; EXmEastAsian
QUmPimPf ; AK ; AK
QUmPimPf ; VI ; EXmEastAsian
QUmPimPf ; AS ; AK
QUmPimPf ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
QUmPimPf ; VF ; EXmEastAsian
QUmPimPf ; ZW ; ZW
QUmPimPf ; ZWJ ; QUmPimPf CM
QUmPimPf ; B2 ; B2
QUmPimPf ; INmEastAsian ; EXmEastAsian
QUmPimPf ; WJ ; WJ
QUmPimPf ; PR_EastAsian ; PR_EastAsian
QUmPimPf ; ID_EastAsian ; ID_EastAsian
QUmPimPf ; OP_EastAsian ; OP_EastAsian
QUmPimPf ; CL_EastAsian ; CL_EastAsian
QUmPimPf ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
QUmPimPf ; AL_DottedCircle ; AL_DottedCircle
QUmPimPf ; EBmEastAsian ; EBmEastAsian
QUmPimPf ; EB_EastAsian ; EB_EastAsian
QUmPimPf ; BA_EastAsian ; BA_EastAsian
QUmPimPf ; NS_EastAsian|CJ ; CJ
QUmPimPf ; H2 ; H2
QUmPimPf ; H3 ; H3
QUmPimPf ; EX_EastAsian ; CJ
QUmPimPf ; IN_EastAsian ; CJ
QUmPimPf ; PO_EastAsian ; PO_EastAsian
QUmPimPf ; CB ; CB
QUmPimPf ; AP ; AP
QUmPimPf ; GL_EastAsian ; GL_EastAsian
QUmPimPf ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
QUmPimPf ; RI ; RI
QUmPimPf ; EM ; ID_EastAsian
QUmPimPf ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
QUmPimPf ; SAmMnmMc ; ALmEastAsianmDottedCircle
QUmPimPf ; SA_Mn|SA_Mc ; QUmPimPf CM
ALmEastAsianmDottedCircle ; CM ; ALmEastAsianmDottedCircle CM
ALmEastAsianmDottedCircle ; BAmEastAsian ; BAmEastAsian
ALmEastAsianmDottedCircle ; LF ; LF
ALmEastAsianmDottedCircle ; BK|NL ; LF
ALmEastAsianmDottedCircle ; CR ; CR
ALmEastAsianmDottedCircle ; SP ; SP
ALmEastAsianmDottedCircle ; EXmEastAsian ; EXmEastAsian
ALmEastAsianmDottedCircle ; QUmPimPf ; QUmPimPf
ALmEastAsianmDottedCircle ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
ALmEastAsianmDottedCircle ; PRmEastAsian ; PRmEastAsian
ALmEastAsianmDottedCircle ; POmEastAsian ; POmEastAsian
ALmEastAsianmDottedCircle ; OPmEastAsian ; OPmEastAsian
ALmEastAsianmDottedCircle ; CP ; CP
ALmEastAsianmDottedCircle ; IS ; IS
ALmEastAsianmDottedCircle ; HY ; CM HY
ALmEastAsianmDottedCircle ; SY ; SY
ALmEastAsianmDottedCircle ; NU ; NU
ALmEastAsianmDottedCircle ; CLmEastAsian ; CLmEastAsian
ALmEastAsianmDottedCircle ; GLmEastAsian ; GLmEastAsian
ALmEastAsianmDottedCircle ; QU_Pi ; QUmPimPf
ALmEastAsianmDottedCircle ; QU_Pf ; BAmEastAsian QU_Pf
ALmEastAsianmDottedCircle ; HH ; BAmEastAsian
ALmEastAsianmDottedCircle ; HL ; HL
ALmEastAsianmDottedCircle ; NSmEastAsian ; EXmEastAsian
ALmEastAsianmDottedCircle ; ZW ; ZW
ALmEastAsianmDottedCircle ; ZWJ ; ALmEastAsianmDottedCircle ZWJ
ALmEastAsianmDottedCircle ; INmEastAsian ; EXmEastAsian
ALmEastAsianmDottedCircle ; WJ ; WJ
ALmEastAsianmDottedCircle ; PR_EastAsian ; PR_EastAsian
ALmEastAsianmDottedCircle ; CL_EastAsian ; CL_EastAsian
ALmEastAsianmDottedCircle ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
ALmEastAsianmDottedCircle ; AL_DottedCircle ; AL_DottedCircle
ALmEastAsianmDottedCircle ; BA_EastAsian ; BA_EastAsian
ALmEastAsianmDottedCircle ; NS_EastAsian|CJ ; CJ
ALmEastAsianmDottedCircle ; EX_EastAsian ; CJ
ALmEastAsianmDottedCircle ; IN_EastAsian ; CJ
ALmEastAsianmDottedCircle ; PO_EastAsian ; PO_EastAsian
ALmEastAsianmDottedCircle ; GL_EastAsian ; GL_EastAsian
ALmEastAsianmDottedCircle ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
ALmEastAsianmDottedCircle ; SAmMnmMc ; ALmEastAsianmDottedCircle
ALmEastAsianmDottedCircle ; SA_Mn|SA_Mc ; ALmEastAsianmDottedCircle CM
PRmEastAsian ; CM ; PRmEastAsian CM
PRmEastAsian ; BAmEastAsian ; BAmEastAsian
PRmEastAsian ; LF ; LF
PRmEastAsian ; BK|NL ; LF
PRmEastAsian ; CR ; CR
PRmEastAsian ; SP ; SP
PRmEastAsian ; EXmEastAsian ; EXmEastAsian
PRmEastAsian ; QUmPimPf ; QUmPimPf
PRmEastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
PRmEastAsian ; OPmEastAsian ; PRmEastAsian OPmEastAsian
PRmEastAsian ; CP ; CP
PRmEastAsian ; IS ; IS
PRmEastAsian ; HY ; CM HY
PRmEastAsian ; SY ; SY
PRmEastAsian ; NU ; NU
PRmEastAsian ; CLmEastAsian ; CLmEastAsian
PRmEastAsian ; GLmEastAsian ; GLmEastAsian
PRmEastAsian ; QU_Pi ; QUmPimPf
PRmEastAsian ; QU_Pf ; BAmEastAsian QU_Pf
PRmEastAsian ; HH ; BAmEastAsian
PRmEastAsian ; HL ; HL
PRmEastAsian ; JL ; JL
PRmEastAsian ; JV ; JV
PRmEastAsian ; JT ; JT
PRmEastAsian ; NSmEastAsian ; EXmEastAsian
PRmEastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
PRmEastAsian ; ZW ; ZW
PRmEastAsian ; ZWJ ; PRmEastAsian ZWJ
PRmEastAsian ; INmEastAsian ; EXmEastAsian
PRmEastAsian ; WJ ; WJ
PRmEastAsian ; ID_EastAsian ; ID_EastAsian
PRmEastAsian ; OP_EastAsian ; PRmEastAsian OPmEastAsian
PRmEastAsian ; CL_EastAsian ; CL_EastAsian
PRmEastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
PRmEastAsian ; AL_DottedCircle ; AL_DottedCircle
PRmEastAsian ; EBmEastAsian ; EBmEastAsian
PRmEastAsian ; EB_EastAsian ; EB_EastAsian
PRmEastAsian ; BA_EastAsian ; BA_EastAsian
PRmEastAsian ; NS_EastAsian|CJ ; CJ
PRmEastAsian ; H2 ; H2
PRmEastAsian ; H3 ; H3
PRmEastAsian ; EX_EastAsian ; CJ
PRmEastAsian ; IN_EastAsian ; CJ
PRmEastAsian ; GL_EastAsian ; GL_EastAsian
PRmEastAsian ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
PRmEastAsian ; EM ; ID_EastAsian
PRmEastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
PRmEastAsian ; SAmMnmMc ; ALmEastAsianmDottedCircle
PRmEastAsian ; SA_Mn|SA_Mc ; PRmEastAsian CM
POmEastAsian ; CM ; POmEastAsian CM
POmEastAsian ; BAmEastAsian ; BAmEastAsian
POmEastAsian ; LF ; LF
POmEastAsian ; BK|NL ; LF
POmEastAsian ; CR ; CR
POmEastAsian ; SP ; SP
POmEastAsian ; EXmEastAsian ; EXmEastAsian
POmEastAsian ; QUmPimPf ; QUmPimPf
POmEastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
POmEastAsian ; OPmEastAsian ; PRmEastAsian OPmEastAsian
POmEastAsian ; CP ; CP
POmEastAsian ; IS ; IS
POmEastAsian ; HY ; CM HY
POmEastAsian ; SY ; SY
POmEastAsian ; NU ; NU
POmEastAsian ; CLmEastAsian ; CLmEastAsian
POmEastAsian ; GLmEastAsian ; GLmEastAsian
POmEastAsian ; QU_Pi ; QUmPimPf
POmEastAsian ; QU_Pf ; BAmEastAsian QU_Pf
POmEastAsian ; HH ; BAmEastAsian
POmEastAsian ; HL ; HL
POmEastAsian ; NSmEastAsian ; EXmEastAsian
POmEastAsian ; ZW ; ZW
POmEastAsian ; ZWJ ; POmEastAsian ZWJ
POmEastAsian ; INmEastAsian ; EXmEastAsian
POmEastAsian ; WJ ; WJ
POmEastAsian ; OP_EastAsian ; PRmEastAsian OPmEastAsian
POmEastAsian ; CL_EastAsian ; CL_EastAsian
POmEastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
POmEastAsian ; AL_DottedCircle ; AL_DottedCircle
POmEastAsian ; BA_EastAsian ; BA_EastAsian
POmEastAsian ; NS_EastAsian|CJ ; CJ
POmEastAsian ; EX_EastAsian ; CJ
POmEastAsian ; IN_EastAsian ; CJ
POmEastAsian ; GL_EastAsian ; GL_EastAsian
POmEastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
POmEastAsian ; SAmMnmMc ; ALmEastAsianmDottedCircle
POmEastAsian ; SA_Mn|SA_Mc ; POmEastAsian CM
OPmEastAsian ; CM ; OPmEastAsian CM
OPmEastAsian ; BAmEastAsian ; BAmEastAsian
OPmEastAsian ; LF ; LF
OPmEastAsian ; BK|NL ; LF
OPmEastAsian ; CR ; CR
OPmEastAsian ; SP ; OPmEastAsian SP
OPmEastAsian ; EXmEastAsian ; EXmEastAsian
OPmEastAsian ; QUmPimPf ; QUmPimPf
OPmEastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
OPmEastAsian ; PRmEastAsian ; PRmEastAsian
OPmEastAsian ; POmEastAsian ; POmEastAsian
OPmEastAsian ; OPmEastAsian ; OPmEastAsian
OPmEastAsian ; CP ; CP
OPmEastAsian ; IS ; IS
OPmEastAsian ; HY ; CM HY
OPmEastAsian ; SY ; SY
OPmEastAsian ; NU ; NU
OPmEastAsian ; CLmEastAsian ; CLmEastAsian
OPmEastAsian ; GLmEastAsian ; GLmEastAsian
OPmEastAsian ; QU_Pi ; QUmPimPf QU_Pi
OPmEastAsian ; BB ; BB
OPmEastAsian ; QU_Pf ; BAmEastAsian QU_Pf
OPmEastAsian ; HH ; BAmEastAsian
OPmEastAsian ; HL ; HL
OPmEastAsian ; JL ; JL
OPmEastAsian ; JV ; JV
OPmEastAsian ; JT ; JT
OPmEastAsian ; NSmEastAsian ; EXmEastAsian
OPmEastAsian ; AK ; AK
OPmEastAsian ; VI ; EXmEastAsian
OPmEastAsian ; AS ; AK
OPmEastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
OPmEastAsian ; VF ; EXmEastAsian
OPmEastAsian ; ZW ; ZW
OPmEastAsian ; ZWJ ; OPmEastAsian CM
OPmEastAsian ; B2 ; B2
OPmEastAsian ; INmEastAsian ; EXmEastAsian
OPmEastAsian ; WJ ; WJ
OPmEastAsian ; PR_EastAsian ; PR_EastAsian
OPmEastAsian ; ID_EastAsian ; ID_EastAsian
OPmEastAsian ; OP_EastAsian ; OP_EastAsian
OPmEastAsian ; CL_EastAsian ; CL_EastAsian
OPmEastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
OPmEastAsian ; AL_DottedCircle ; AL_DottedCircle
OPmEastAsian ; EBmEastAsian ; EBmEastAsian
OPmEastAsian ; EB_EastAsian ; EB_EastAsian
OPmEastAsian ; BA_EastAsian ; BA_EastAsian
OPmEastAsian ; NS_EastAsian|CJ ; CJ
OPmEastAsian ; H2 ; H2
OPmEastAsian ; H3 ; H3
OPmEastAsian ; EX_EastAsian ; CJ
OPmEastAsian ; IN_EastAsian ; CJ
OPmEastAsian ; PO_EastAsian ; PO_EastAsian
OPmEastAsian ; CB ; CB
OPmEastAsian ; AP ; AP
OPmEastAsian ; GL_EastAsian ; GL_EastAsian
OPmEastAsian ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
OPmEastAsian ; RI ; RI
OPmEastAsian ; EM ; ID_EastAsian
OPmEastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
OPmEastAsian ; SAmMnmMc ; ALmEastAsianmDottedCircle
OPmEastAsian ; SA_Mn|SA_Mc ; OPmEastAsian CM
CP ; CM ; CP CM
CP ; BAmEastAsian ; BAmEastAsian
CP ; LF ; LF
CP ; BK|NL ; LF
CP ; CR ; CR
CP ; SP ; CP SP
CP ; EXmEastAsian ; EXmEastAsian
CP ; QUmPimPf ; QUmPimPf
CP ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
CP ; CP ; CP
CP ; IS ; IS
CP ; HY ; CM HY
CP ; SY ; SY
CP ; NU ; NU
CP ; CLmEastAsian ; CLmEastAsian
CP ; GLmEastAsian ; GLmEastAsian
CP ; QU_Pi ; QUmPimPf
CP ; QU_Pf ; BAmEastAsian QU_Pf
CP ; HH ; BAmEastAsian
CP ; HL ; HL
CP ; NSmEastAsian ; EXmEastAsian
CP ; ZW ; ZW
CP ; ZWJ ; CP ZWJ
CP ; INmEastAsian ; EXmEastAsian
CP ; WJ ; WJ
CP ; CL_EastAsian ; CL_EastAsian
CP ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
CP ; AL_DottedCircle ; AL_DottedCircle
CP ; BA_EastAsian ; BA_EastAsian
CP ; NS_EastAsian|CJ ; CJ
CP ; EX_EastAsian ; CJ
CP ; IN_EastAsian ; CJ
CP ; GL_EastAsian ; GL_EastAsian
CP ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
CP ; SAmMnmMc ; ALmEastAsianmDottedCircle
CP ; SA_Mn|SA_Mc ; CP CM
IS ; CM ; IS CM
IS ; BAmEastAsian ; BAmEastAsian
IS ; LF ; LF
IS ; BK|NL ; LF
IS ; CR ; CR
IS ; SP ; SP
IS ; EXmEastAsian ; EXmEastAsian
IS ; QUmPimPf ; QUmPimPf
IS ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
IS ; CP ; CP
IS ; IS ; IS
IS ; HY ; CM HY
IS ; SY ; SY
IS ; NU ; NU
IS ; CLmEastAsian ; CLmEastAsian
IS ; GLmEastAsian ; GLmEastAsian
IS ; QU_Pi ; QUmPimPf
IS ; QU_Pf ; BAmEastAsian QU_Pf
IS ; HH ; BAmEastAsian
IS ; HL ; HL
IS ; NSmEastAsian ; EXmEastAsian
IS ; ZW ; ZW
IS ; ZWJ ; IS ZWJ
IS ; INmEastAsian ; EXmEastAsian
IS ; WJ ; WJ
IS ; CL_EastAsian ; CL_EastAsian
IS ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
IS ; AL_DottedCircle ; AL_DottedCircle
IS ; BA_EastAsian ; BA_EastAsian
IS ; NS_EastAsian|CJ ; CJ
IS ; EX_EastAsian ; CJ
IS ; IN_EastAsian ; CJ
IS ; GL_EastAsian ; GL_EastAsian
IS ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
IS ; SAmMnmMc ; ALmEastAsianmDottedCircle
IS ; SA_Mn|SA_Mc ; IS CM
HY ; CM ; HY CM
HY ; BAmEastAsian ; BAmEastAsian
HY ; LF ; LF
HY ; BK|NL ; LF
HY ; CR ; CR
HY ; SP ; SP
HY ; EXmEastAsian ; EXmEastAsian
HY ; QUmPimPf ; QUmPimPf
HY ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
HY ; CP ; CP
HY ; IS ; IS
HY ; HY ; CM HY
HY ; SY ; SY
HY ; NU ; NU
HY ; CLmEastAsian ; CLmEastAsian
HY ; QU_Pi ; QUmPimPf
HY ; QU_Pf ; BAmEastAsian QU_Pf
HY ; HH ; BAmEastAsian
HY ; HL ; HL
HY ; NSmEastAsian ; EXmEastAsian
HY ; ZW ; ZW
HY ; ZWJ ; HY ZWJ
HY ; INmEastAsian ; EXmEastAsian
HY ; WJ ; WJ
HY ; CL_EastAsian ; CL_EastAsian
HY ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
HY ; AL_DottedCircle ; AL_DottedCircle
HY ; BA_EastAsian ; BA_EastAsian
HY ; NS_EastAsian|CJ ; CJ
HY ; EX_EastAsian ; CJ
HY ; IN_EastAsian ; CJ
HY ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
HY ; SAmMnmMc ; ALmEastAsianmDottedCircle
HY ; SA_Mn|SA_Mc ; HY CM
SY ; CM ; SY CM
SY ; BAmEastAsian ; BAmEastAsian
SY ; LF ; LF
SY ; BK|NL ; LF
SY ; CR ; CR
SY ; SP ; SP
SY ; EXmEastAsian ; EXmEastAsian
SY ; QUmPimPf ; QUmPimPf
SY ; CP ; CP
SY ; IS ; IS
SY ; HY ; CM HY
SY ; SY ; SY
SY ; CLmEastAsian ; CLmEastAsian
SY ; GLmEastAsian ; GLmEastAsian
SY ; QU_Pi ; QUmPimPf
SY ; QU_Pf ; BAmEastAsian QU_Pf
SY ; HH ; BAmEastAsian
SY ; HL ; HL
SY ; NSmEastAsian ; EXmEastAsian
SY ; ZW ; ZW
SY ; ZWJ ; SY ZWJ
SY ; INmEastAsian ; EXmEastAsian
SY ; WJ ; WJ
SY ; CL_EastAsian ; CL_EastAsian
SY ; BA_EastAsian ; BA_EastAsian
SY ; NS_EastAsian|CJ ; CJ
SY ; EX_EastAsian ; CJ
SY ; IN_EastAsian ; CJ
SY ; GL_EastAsian ; GL_EastAsian
SY ; SA_Mn|SA_Mc ; SY CM
NU ; CM ; NU CM
NU ; BAmEastAsian ; BAmEastAsian
NU ; LF ; LF
NU ; BK|NL ; LF
NU ; CR ; CR
NU ; SP ; SP
NU ; EXmEastAsian ; EXmEastAsian
NU ; QUmPimPf ; QUmPimPf
NU ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
NU ; PRmEastAsian ; PRmEastAsian
NU ; POmEastAsian ; POmEastAsian
NU ; OPmEastAsian ; OPmEastAsian
NU ; CP ; NU CP
NU ; IS ; NU IS
NU ; HY ; CM HY
NU ; SY ; NU SY
NU ; NU ; NU
NU ; CLmEastAsian ; NU CLmEastAsian
NU ; GLmEastAsian ; GLmEastAsian
NU ; QU_Pi ; QUmPimPf
NU ; QU_Pf ; BAmEastAsian QU_Pf
NU ; HH ; BAmEastAsian
NU ; HL ; HL
NU ; NSmEastAsian ; EXmEastAsian
NU ; ZW ; ZW
NU ; ZWJ ; NU ZWJ
NU ; INmEastAsian ; EXmEastAsian
NU ; WJ ; WJ
NU ; PR_EastAsian ; PR_EastAsian
NU ; CL_EastAsian ; NU CL_EastAsian
NU ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
NU ; AL_DottedCircle ; AL_DottedCircle
NU ; BA_EastAsian ; BA_EastAsian
NU ; NS_EastAsian|CJ ; CJ
NU ; EX_EastAsian ; CJ
NU ; IN_EastAsian ; CJ
NU ; PO_EastAsian ; PO_EastAsian
NU ; GL_EastAsian ; GL_EastAsian
NU ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
NU ; SAmMnmMc ; ALmEastAsianmDottedCircle
NU ; SA_Mn|SA_Mc ; NU CM
CLmEastAsian ; CM ; CLmEastAsian CM
CLmEastAsian ; BAmEastAsian ; BAmEastAsian
