# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1-draft
# Generated: 2010-01-16, 01:33:41 GMT
# Checkin: $Revision: 1.1 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0278..027B    ; restricted ; technical symbol (phonetic)                 #  [4] (ɸ..ɻ)  LATIN SMALL LETTER PHI..LATIN SMALL LETTER TURNED R WITH HOOK
027C          ; restricted ; obsoleted by IPA in 1989                    #      (ɼ)  LATIN SMALL LETTER R WITH LONG LEG
027D..027F    ; restricted ; technical symbol (phonetic)                 #  [3] (ɽ..ɿ)  LATIN SMALL LETTER R WITH TAIL..LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0281..0282    ; restricted ; technical symbol (phonetic)                 #  [2] (ʁ..ʂ)  LATIN LETTER SMALL CAPITAL INVERTED R..LATIN SMALL LETTER S WITH HOOK
0284..0287    ; restricted ; technical symbol (phonetic)                 #  [4] (ʄ..ʇ)  LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK..LATIN SMALL LETTER TURNED T
0289          ; restricted ; technical symbol (phonetic)                 #      (ʉ)  LATIN SMALL LETTER U BAR
028C..0291    ; restricted ; technical symbol (phonetic)                 #  [6] (ʌ..ʑ)  LATIN SMALL LETTER TURNED V..LATIN SMALL LETTER Z WITH CURL
0293          ; restricted ; technical symbol (phonetic)                 #      (ʓ)  LATIN SMALL LETTER EZH WITH CURL
0295..029D    ; restricted ; technical symbol (phonetic)                 #  [9] (ʕ..ʝ)  LATIN LETTER PHARYNGEAL VOICED FRICATIVE..LATIN SMALL LETTER J WITH CROSSED-TAIL
029E          ; restricted ; obsolete phonetic                           #      (ʞ)  LATIN SMALL LETTER TURNED K
029F..02A2    ; restricted ; technical symbol (phonetic)                 #  [4] (ʟ..ʢ)  LATIN LETTER SMALL CAPITAL L..LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
02A3..02AB    ; restricted ; technical symbol (Latin digraph)            #  [9] (ʣ..ʫ)  LATIN SMALL LETTER DZ DIGRAPH..LATIN SMALL LETTER LZ DIGRAPH
02AC..02AD    ; restricted ; technical symbol (phonetic)                 #  [2] (ʬ..ʭ)  LATIN LETTER BILABIAL PERCUSSIVE..LATIN LETTER BIDENTAL PERCUSSIVE
02AE..02AF    ; restricted ; academic                                    #  [2] (ʮ..ʯ)  LATIN SMALL LETTER TURNED H WITH FISHHOOK..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B9..02C1    ; restricted ; technical symbol (phonetic)                 #  [9] (ʹ..ˁ)  MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2..02C5    ; restricted ; not in XID+                                 #  [4] (˂..˅)  MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6..02D1    ; restricted ; technical symbol (phonetic)                 # [12] (ˆ..ˑ)  MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2..02D7    ; restricted ; not in XID+                                 #  [6] (˒..˗)  MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER MINUS SIGN
02DE..02DF    ; restricted ; not in XID+                                 #  [2] (˞..˟)  MODIFIER LETTER RHOTIC HOOK..MODIFIER LETTER CROSS ACCENT
02E5..02EB    ; restricted ; not in XID+                                 #  [7] (˥..˫)  MODIFIER LETTER EXTRA-HIGH TONE BAR..MODIFIER LETTER YANG DEPARTING TONE MARK
02ED          ; restricted ; not in XID+                                 #      (˭)  MODIFIER LETTER UNASPIRATED
02EE          ; restricted ; technical symbol (phonetic)                 #      (ˮ)  MODIFIER LETTER DOUBLE APOSTROPHE
0340..0341    ; restricted ; deprecated or discouraged                   #  [2] (̀..́)  COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343          ; restricted ; archaic                                     #      (̓)  COMBINING GREEK KORONIS
0344          ; restricted ; deprecated or discouraged                   #      (̈́)  COMBINING GREEK DIALYTIKA TONOS
034F          ; restricted ; default-ignorable                           #      (U+034F)  COMBINING GRAPHEME JOINER
0375          ; restricted ; not in XID+                                 #      (͵)  GREEK LOWER NUMERAL SIGN
03D0..03D1    ; restricted ; archaic                                     #  [2] (ϐ..ϑ)  GREEK BETA SYMBOL..GREEK THETA SYMBOL
03D5..03E1    ; restricted ; archaic                                     # [13] (ϕ..ϡ)  GREEK PHI SYMBOL..GREEK SMALL LETTER SAMPI
03E2..03EF    ; restricted ; UAX31 T4 Candidate Exclusions               # [14] (Ϣ..ϯ)  COPTIC CAPITAL LETTER SHEI..COPTIC SMALL LETTER DEI
03F3          ; restricted ; presentation form                           #      (ϳ)  GREEK LETTER YOT
03F6          ; restricted ; not in XID+                                 #      (϶)  GREEK REVERSED LUNATE EPSILON SYMBOL
03F7..03F8    ; restricted ; archaic (Bactrian)                          #  [2] (Ϸ..ϸ)  GREEK CAPITAL LETTER SHO..GREEK SMALL LETTER SHO
03F9..03FB    ; restricted ; archaic                                     #  [3] (Ϲ..ϻ)  GREEK CAPITAL LUNATE SIGMA SYMBOL..GREEK SMALL LETTER SAN
0482          ; restricted ; not in XID+                                 #      (҂)  CYRILLIC THOUSANDS SIGN
0483..0486    ; restricted ; archaic                                     #  [4] (҃..҆)  COMBINING CYRILLIC TITLO..COMBINING CYRILLIC PSILI PNEUMATA
0488..0489    ; restricted ; not in XID+                                 #  [2] (҈..҉)  COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..COMBINING CYRILLIC MILLIONS SIGN
0559          ; restricted ; not part of identifers                      #      (ՙ)  ARMENIAN MODIFIER LETTER LEFT HALF RING
055A..055F    ; restricted ; not in XID+                                 #  [6] (՚..՟)  ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0589          ; restricted ; not in XID+                                 #      (։)  ARMENIAN FULL STOP
058A          ; restricted ; not part of identifers                      #      (֊)  ARMENIAN HYPHEN
05A2          ; restricted ; archaic                                     #      (֢)  HEBREW ACCENT ATNAH HAFUKH
05BE          ; restricted ; not in XID+                                 #      (־)  HEBREW PUNCTUATION MAQAF
05C0          ; restricted ; not in XID+                                 #      (׀)  HEBREW PUNCTUATION PASEQ
05C3          ; restricted ; not in XID+                                 #      (׃)  HEBREW PUNCTUATION SOF PASUQ
05C5..05C7    ; restricted ; archaic                                     #  [3] (ׅ..ׇ)  HEBREW MARK LOWER DOT..HEBREW POINT QAMATS QATAN
05F3..05F4    ; restricted ; not part of identifers                      #  [2] (׳..״)  HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
060C          ; restricted ; not in XID+                                 #      (،)  ARABIC COMMA
061B          ; restricted ; not in XID+                                 #      (؛)  ARABIC SEMICOLON
061F          ; restricted ; not in XID+                                 #      (؟)  ARABIC QUESTION MARK
0640          ; restricted ; UAX31 T4 Candidate Exclusions               #      (ـ)  ARABIC TATWEEL
066A..066D    ; restricted ; not in XID+                                 #  [4] (٪..٭)  ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E..066F    ; restricted ; archaic                                     #  [2] (ٮ..ٯ)  ARABIC LETTER DOTLESS BEH..ARABIC LETTER DOTLESS QAF
068E          ; restricted ; archaic (Sindhi)                            #      (ڎ)  ARABIC LETTER DUL
06D4          ; restricted ; not in XID+                                 #      (۔)  ARABIC FULL STOP
06DE          ; restricted ; not in XID+                                 #      (۞)  ARABIC START OF RUB EL HIZB
06E9          ; restricted ; not in XID+                                 #      (۩)  ARABIC PLACE OF SAJDAH
06FD..06FE    ; restricted ; not in XID+                                 #  [2] (۽..۾)  ARABIC SIGN SINDHI AMPERSAND..ARABIC SIGN SINDHI POSTPOSITION MEN
0700..070D    ; restricted ; not in XID+                                 # [14] (܀..܍)  SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
