#Source;	RSC;	RNU;	RUI	#				Source Name	Causes
2F4D;	4;	78;	6B79	#	⽍	→	歹	KANGXI RADICAL DEATH;	CJKRadicals.txt, NFKC
2E9E;	5;	78;	6B7A	#	⺞	→	歺	CJK RADICAL DEATH;	NamesList
2F4E;	4;	79;	6BB3	#	⽎	→	殳	KANGXI RADICAL WEAPON;	CJKRadicals.txt, NFKC
2F4F;	4;	80;	6BCB	#	⽏	→	毋	KANGXI RADICAL DO NOT;	CJKRadicals.txt, NFKC
2E9F;	5;	80;	6BCD	#	⺟	→	母	CJK RADICAL MOTHER;	NFKC, NamesList
2F50;	4;	81;	6BD4	#	⽐	→	比	KANGXI RADICAL COMPARE;	CJKRadicals.txt, NFKC
2F51;	4;	82;	6BDB	#	⽑	→	毛	KANGXI RADICAL FUR;	CJKRadicals.txt, NFKC
2F52;	4;	83;	6C0F	#	⽒	→	氏	KANGXI RADICAL CLAN;	CJKRadicals.txt, NFKC
2EA0;	5;	83;	6C11	#	⺠	→	民	CJK RADICAL CIVILIAN;	UCA, NamesList
2F53;	4;	84;	6C14	#	⽓	→	气	KANGXI RADICAL STEAM;	CJKRadicals.txt, NFKC
2F54;	4;	85;	6C34	#	⽔	→	水	KANGXI RADICAL WATER;	CJKRadicals.txt, NFKC
2EA1;	3;	85;	6C35	#	⺡	→	氵	CJK RADICAL WATER ONE;	UCA, NamesList
2EA2;	5;	85;	6C3A	#	⺢	→	氺	CJK RADICAL WATER TWO;	UCA, NamesList
2F55;	4;	86;	706B	#	⽕	→	火	KANGXI RADICAL FIRE;	CJKRadicals.txt, NFKC
2EA3;	4;	86;	706C	#	⺣	→	灬	CJK RADICAL FIRE;	UCA, NamesList
2F56;	4;	87;	722A	#	⽖	→	爪	KANGXI RADICAL CLAW;	CJKRadicals.txt, NFKC
2EA4;	4;	87;	722B	#	⺤	→	爫	CJK RADICAL PAW ONE;	UCA, NamesList
2EA5;	4;	87;	722B	#	⺥	→	爫	CJK RADICAL PAW TWO;	NamesList
2F57;	4;	88;	7236	#	⽗	→	父	KANGXI RADICAL FATHER;	CJKRadicals.txt, NFKC
2F58;	4;	89;	723B	#	⽘	→	爻	KANGXI RADICAL DOUBLE X;	CJKRadicals.txt, NFKC
2F59;	4;	90;	723F	#	⽙	→	爿	KANGXI RADICAL HALF TREE TRUNK;	CJKRadicals.txt, NFKC
2EA6;	3;	90';	4E2C	#	⺦	→	丬	CJK RADICAL SIMPLIFIED HALF TREE TRUNK;	CJKRadicals.txt, UCA, NamesList, kRSUnicode
2F5A;	4;	91;	7247	#	⽚	→	片	KANGXI RADICAL SLICE;	CJKRadicals.txt, NFKC
2F5B;	4,5;	92;	7259	#	⽛	→	牙	KANGXI RADICAL FANG;	CJKRadicals.txt, NFKC
2F5C;	4;	93;	725B	#	⽜	→	牛	KANGXI RADICAL COW;	CJKRadicals.txt, NFKC
2EA7;	4;	93;	725B	#	⺧	→	牛	CJK RADICAL COW;	NamesList
2F5D;	4;	94;	72AC	#	⽝	→	犬	KANGXI RADICAL DOG;	CJKRadicals.txt, NFKC
2EA8;	3;	94;	72AD	#	⺨	→	犭	CJK RADICAL DOG;	UCA, NamesList
2F5E;	5;	95;	7384	#	⽞	→	玄	KANGXI RADICAL PROFOUND;	CJKRadicals.txt, NFKC
2F5F;	5;	96;	7389	#	⽟	→	玉	KANGXI RADICAL JADE;	CJKRadicals.txt, NFKC
2EA9;	4;	96;	738B	#	⺩	≠	王	CJK RADICAL JADE;	NamesList
2EA9;	4;	96;	248E9	#	⺩	→	𤣩	CJK RADICAL JADE;	kRSUnicode
2F60;	5, 6;	97;	74DC	#	⽠	→	瓜	KANGXI RADICAL MELON;	CJKRadicals.txt, NFKC
2F61;	4, 5;	98;	74E6	#	⽡	→	瓦	KANGXI RADICAL TILE;	CJKRadicals.txt, NFKC
2F62;	5;	99;	7518	#	⽢	→	甘	KANGXI RADICAL SWEET;	CJKRadicals.txt, NFKC
