# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

278B;	0032;	missing_NFKC	 # ( ➋ → 2 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO → DIGIT TWO
278C;	0033;	missing_NFKC	 # ( ➌ → 3 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE → DIGIT THREE
278D;	0034;	missing_NFKC	 # ( ➍ → 4 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR → DIGIT FOUR
278E;	0035;	missing_NFKC	 # ( ➎ → 5 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE → DIGIT FIVE
278F;	0036;	missing_NFKC	 # ( ➏ → 6 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX → DIGIT SIX
2790;	0037;	missing_NFKC	 # ( ➐ → 7 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN → DIGIT SEVEN
2791;	0038;	missing_NFKC	 # ( ➑ → 8 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT → DIGIT EIGHT
2792;	0039;	missing_NFKC	 # ( ➒ → 9 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE → DIGIT NINE
2793;	0031 0030;	missing_NFKC	 # ( ➓ → 10 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN → DIGIT ONE + DIGIT ZERO
3248;	0031 0030;	missing_NFKC	 # ( ㉈ → 10 )	CIRCLED NUMBER TEN ON BLACK SQUARE → DIGIT ONE + DIGIT ZERO
3249;	0032 0030;	missing_NFKC	 # ( ㉉ → 20 )	CIRCLED NUMBER TWENTY ON BLACK SQUARE → DIGIT TWO + DIGIT ZERO
324A;	0033 0030;	missing_NFKC	 # ( ㉊ → 30 )	CIRCLED NUMBER THIRTY ON BLACK SQUARE → DIGIT THREE + DIGIT ZERO
324B;	0034 0030;	missing_NFKC	 # ( ㉋ → 40 )	CIRCLED NUMBER FORTY ON BLACK SQUARE → DIGIT FOUR + DIGIT ZERO
324C;	0035 0030;	missing_NFKC	 # ( ㉌ → 50 )	CIRCLED NUMBER FIFTY ON BLACK SQUARE → DIGIT FIVE + DIGIT ZERO
324D;	0036 0030;	missing_NFKC	 # ( ㉍ → 60 )	CIRCLED NUMBER SIXTY ON BLACK SQUARE → DIGIT SIX + DIGIT ZERO
324E;	0037 0030;	missing_NFKC	 # ( ㉎ → 70 )	CIRCLED NUMBER SEVENTY ON BLACK SQUARE → DIGIT SEVEN + DIGIT ZERO
324F;	0038 0030;	missing_NFKC	 # ( ㉏ → 80 )	CIRCLED NUMBER EIGHTY ON BLACK SQUARE → DIGIT EIGHT + DIGIT ZERO
1F10B;	0030;	missing_NFKC	 # ( 🄋 → 0 )	DINGBAT CIRCLED SANS-SERIF DIGIT ZERO → DIGIT ZERO
1F10C;	0030;	missing_NFKC	 # ( 🄌 → 0 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ZERO → DIGIT ZERO
