#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'1680	'3.0	'Zs	'None	OGHAM SPACE MARK	' 	' 	' 	' 			Tr≠UCA	'1680	'1680	'1680	'0020	16. NFKC_CF-None
'110F0	'6.1	'Nd	'None	SORA SOMPENG DIGIT ZERO	'𑃰	'𑃰	'𑃰	'0			Tr≠UCA	'110F0	'110F0	'110F0	'0030	16. NFKC_CF-None
'110F1	'6.1	'Nd	'None	SORA SOMPENG DIGIT ONE	'𑃱	'𑃱	'𑃱	'1			Tr≠UCA	'110F1	'110F1	'110F1	'0031	16. NFKC_CF-None
'110F2	'6.1	'Nd	'None	SORA SOMPENG DIGIT TWO	'𑃲	'𑃲	'𑃲	'2			Tr≠UCA	'110F2	'110F2	'110F2	'0032	16. NFKC_CF-None
'110F3	'6.1	'Nd	'None	SORA SOMPENG DIGIT THREE	'𑃳	'𑃳	'𑃳	'3			Tr≠UCA	'110F3	'110F3	'110F3	'0033	16. NFKC_CF-None
'110F4	'6.1	'Nd	'None	SORA SOMPENG DIGIT FOUR	'𑃴	'𑃴	'𑃴	'4			Tr≠UCA	'110F4	'110F4	'110F4	'0034	16. NFKC_CF-None
'110F5	'6.1	'Nd	'None	SORA SOMPENG DIGIT FIVE	'𑃵	'𑃵	'𑃵	'5			Tr≠UCA	'110F5	'110F5	'110F5	'0035	16. NFKC_CF-None
'110F6	'6.1	'Nd	'None	SORA SOMPENG DIGIT SIX	'𑃶	'𑃶	'𑃶	'6			Tr≠UCA	'110F6	'110F6	'110F6	'0036	16. NFKC_CF-None
'110F7	'6.1	'Nd	'None	SORA SOMPENG DIGIT SEVEN	'𑃷	'𑃷	'𑃷	'7			Tr≠UCA	'110F7	'110F7	'110F7	'0037	16. NFKC_CF-None
'110F8	'6.1	'Nd	'None	SORA SOMPENG DIGIT EIGHT	'𑃸	'𑃸	'𑃸	'8			Tr≠UCA	'110F8	'110F8	'110F8	'0038	16. NFKC_CF-None
'110F9	'6.1	'Nd	'None	SORA SOMPENG DIGIT NINE	'𑃹	'𑃹	'𑃹	'9			Tr≠UCA	'110F9	'110F9	'110F9	'0039	16. NFKC_CF-None
'11136	'6.1	'Nd	'None	CHAKMA DIGIT ZERO	'𑄶	'𑄶	'𑄶	'0			Tr≠UCA	'11136	'11136	'11136	'0030	16. NFKC_CF-None
'11137	'6.1	'Nd	'None	CHAKMA DIGIT ONE	'𑄷	'𑄷	'𑄷	'1			Tr≠UCA	'11137	'11137	'11137	'0031	16. NFKC_CF-None
'11138	'6.1	'Nd	'None	CHAKMA DIGIT TWO	'𑄸	'𑄸	'𑄸	'2			Tr≠UCA	'11138	'11138	'11138	'0032	16. NFKC_CF-None
'11139	'6.1	'Nd	'None	CHAKMA DIGIT THREE	'𑄹	'𑄹	'𑄹	'3			Tr≠UCA	'11139	'11139	'11139	'0033	16. NFKC_CF-None
'1113A	'6.1	'Nd	'None	CHAKMA DIGIT FOUR	'𑄺	'𑄺	'𑄺	'4			Tr≠UCA	'1113A	'1113A	'1113A	'0034	16. NFKC_CF-None
'1113B	'6.1	'Nd	'None	CHAKMA DIGIT FIVE	'𑄻	'𑄻	'𑄻	'5			Tr≠UCA	'1113B	'1113B	'1113B	'0035	16. NFKC_CF-None
'1113C	'6.1	'Nd	'None	CHAKMA DIGIT SIX	'𑄼	'𑄼	'𑄼	'6			Tr≠UCA	'1113C	'1113C	'1113C	'0036	16. NFKC_CF-None
'1113D	'6.1	'Nd	'None	CHAKMA DIGIT SEVEN	'𑄽	'𑄽	'𑄽	'7			Tr≠UCA	'1113D	'1113D	'1113D	'0037	16. NFKC_CF-None
'1113E	'6.1	'Nd	'None	CHAKMA DIGIT EIGHT	'𑄾	'𑄾	'𑄾	'8			Tr≠UCA	'1113E	'1113E	'1113E	'0038	16. NFKC_CF-None
'1113F	'6.1	'Nd	'None	CHAKMA DIGIT NINE	'𑄿	'𑄿	'𑄿	'9			Tr≠UCA	'1113F	'1113F	'1113F	'0039	16. NFKC_CF-None
'111D0	'6.1	'Nd	'None	SHARADA DIGIT ZERO	'𑇐	'𑇐	'𑇐	'0			Tr≠UCA	'111D0	'111D0	'111D0	'0030	16. NFKC_CF-None
'111D1	'6.1	'Nd	'None	SHARADA DIGIT ONE	'𑇑	'𑇑	'𑇑	'1			Tr≠UCA	'111D1	'111D1	'111D1	'0031	16. NFKC_CF-None
'111D2	'6.1	'Nd	'None	SHARADA DIGIT TWO	'𑇒	'𑇒	'𑇒	'2			Tr≠UCA	'111D2	'111D2	'111D2	'0032	16. NFKC_CF-None
'111D3	'6.1	'Nd	'None	SHARADA DIGIT THREE	'𑇓	'𑇓	'𑇓	'3			Tr≠UCA	'111D3	'111D3	'111D3	'0033	16. NFKC_CF-None
'111D4	'6.1	'Nd	'None	SHARADA DIGIT FOUR	'𑇔	'𑇔	'𑇔	'4			Tr≠UCA	'111D4	'111D4	'111D4	'0034	16. NFKC_CF-None
'111D5	'6.1	'Nd	'None	SHARADA DIGIT FIVE	'𑇕	'𑇕	'𑇕	'5			Tr≠UCA	'111D5	'111D5	'111D5	'0035	16. NFKC_CF-None
'111D6	'6.1	'Nd	'None	SHARADA DIGIT SIX	'𑇖	'𑇖	'𑇖	'6			Tr≠UCA	'111D6	'111D6	'111D6	'0036	16. NFKC_CF-None
'111D7	'6.1	'Nd	'None	SHARADA DIGIT SEVEN	'𑇗	'𑇗	'𑇗	'7			Tr≠UCA	'111D7	'111D7	'111D7	'0037	16. NFKC_CF-None
'111D8	'6.1	'Nd	'None	SHARADA DIGIT EIGHT	'𑇘	'𑇘	'𑇘	'8			Tr≠UCA	'111D8	'111D8	'111D8	'0038	16. NFKC_CF-None
'111D9	'6.1	'Nd	'None	SHARADA DIGIT NINE	'𑇙	'𑇙	'𑇙	'9			Tr≠UCA	'111D9	'111D9	'111D9	'0039	16. NFKC_CF-None
'112F0	'7.0	'Nd	'None	KHUDAWADI DIGIT ZERO	'𑋰	'𑋰	'𑋰	'0			Tr≠UCA	'112F0	'112F0	'112F0	'0030	16. NFKC_CF-None
'112F1	'7.0	'Nd	'None	KHUDAWADI DIGIT ONE	'𑋱	'𑋱	'𑋱	'1			Tr≠UCA	'112F1	'112F1	'112F1	'0031	16. NFKC_CF-None
'112F2	'7.0	'Nd	'None	KHUDAWADI DIGIT TWO	'𑋲	'𑋲	'𑋲	'2			Tr≠UCA	'112F2	'112F2	'112F2	'0032	16. NFKC_CF-None
'112F3	'7.0	'Nd	'None	KHUDAWADI DIGIT THREE	'𑋳	'𑋳	'𑋳	'3			Tr≠UCA	'112F3	'112F3	'112F3	'0033	16. NFKC_CF-None
'112F4	'7.0	'Nd	'None	KHUDAWADI DIGIT FOUR	'𑋴	'𑋴	'𑋴	'4			Tr≠UCA	'112F4	'112F4	'112F4	'0034	16. NFKC_CF-None
'112F5	'7.0	'Nd	'None	KHUDAWADI DIGIT FIVE	'𑋵	'𑋵	'𑋵	'5			Tr≠UCA	'112F5	'112F5	'112F5	'0035	16. NFKC_CF-None
'112F6	'7.0	'Nd	'None	KHUDAWADI DIGIT SIX	'𑋶	'𑋶	'𑋶	'6			Tr≠UCA	'112F6	'112F6	'112F6	'0036	16. NFKC_CF-None
'112F7	'7.0	'Nd	'None	KHUDAWADI DIGIT SEVEN	'𑋷	'𑋷	'𑋷	'7			Tr≠UCA	'112F7	'112F7	'112F7	'0037	16. NFKC_CF-None
'112F8	'7.0	'Nd	'None	KHUDAWADI DIGIT EIGHT	'𑋸	'𑋸	'𑋸	'8			Tr≠UCA	'112F8	'112F8	'112F8	'0038	16. NFKC_CF-None
'112F9	'7.0	'Nd	'None	KHUDAWADI DIGIT NINE	'𑋹	'𑋹	'𑋹	'9			Tr≠UCA	'112F9	'112F9	'112F9	'0039	16. NFKC_CF-None
'114D0	'7.0	'Nd	'None	TIRHUTA DIGIT ZERO	'𑓐	'𑓐	'𑓐	'0			Tr≠UCA	'114D0	'114D0	'114D0	'0030	16. NFKC_CF-None
'114D1	'7.0	'Nd	'None	TIRHUTA DIGIT ONE	'𑓑	'𑓑	'𑓑	'1			Tr≠UCA	'114D1	'114D1	'114D1	'0031	16. NFKC_CF-None
'114D2	'7.0	'Nd	'None	TIRHUTA DIGIT TWO	'𑓒	'𑓒	'𑓒	'2			Tr≠UCA	'114D2	'114D2	'114D2	'0032	16. NFKC_CF-None
'114D3	'7.0	'Nd	'None	TIRHUTA DIGIT THREE	'𑓓	'𑓓	'𑓓	'3			Tr≠UCA	'114D3	'114D3	'114D3	'0033	16. NFKC_CF-None
'114D4	'7.0	'Nd	'None	TIRHUTA DIGIT FOUR	'𑓔	'𑓔	'𑓔	'4			Tr≠UCA	'114D4	'114D4	'114D4	'0034	16. NFKC_CF-None
'114D5	'7.0	'Nd	'None	TIRHUTA DIGIT FIVE	'𑓕	'𑓕	'𑓕	'5			Tr≠UCA	'114D5	'114D5	'114D5	'0035	16. NFKC_CF-None
'114D6	'7.0	'Nd	'None	TIRHUTA DIGIT SIX	'𑓖	'𑓖	'𑓖	'6			Tr≠UCA	'114D6	'114D6	'114D6	'0036	16. NFKC_CF-None
'114D7	'7.0	'Nd	'None	TIRHUTA DIGIT SEVEN	'𑓗	'𑓗	'𑓗	'7			Tr≠UCA	'114D7	'114D7	'114D7	'0037	16. NFKC_CF-None
'114D8	'7.0	'Nd	'None	TIRHUTA DIGIT EIGHT	'𑓘	'𑓘	'𑓘	'8			Tr≠UCA	'114D8	'114D8	'114D8	'0038	16. NFKC_CF-None
'114D9	'7.0	'Nd	'None	TIRHUTA DIGIT NINE	'𑓙	'𑓙	'𑓙	'9			Tr≠UCA	'114D9	'114D9	'114D9	'0039	16. NFKC_CF-None
'11650	'7.0	'Nd	'None	MODI DIGIT ZERO	'𑙐	'𑙐	'𑙐	'0			Tr≠UCA	'11650	'11650	'11650	'0030	16. NFKC_CF-None
'11651	'7.0	'Nd	'None	MODI DIGIT ONE	'𑙑	'𑙑	'𑙑	'1			Tr≠UCA	'11651	'11651	'11651	'0031	16. NFKC_CF-None
'11652	'7.0	'Nd	'None	MODI DIGIT TWO	'𑙒	'𑙒	'𑙒	'2			Tr≠UCA	'11652	'11652	'11652	'0032	16. NFKC_CF-None
'11653	'7.0	'Nd	'None	MODI DIGIT THREE	'𑙓	'𑙓	'𑙓	'3			Tr≠UCA	'11653	'11653	'11653	'0033	16. NFKC_CF-None
'11654	'7.0	'Nd	'None	MODI DIGIT FOUR	'𑙔	'𑙔	'𑙔	'4			Tr≠UCA	'11654	'11654	'11654	'0034	16. NFKC_CF-None
'11655	'7.0	'Nd	'None	MODI DIGIT FIVE	'𑙕	'𑙕	'𑙕	'5			Tr≠UCA	'11655	'11655	'11655	'0035	16. NFKC_CF-None
'11656	'7.0	'Nd	'None	MODI DIGIT SIX	'𑙖	'𑙖	'𑙖	'6			Tr≠UCA	'11656	'11656	'11656	'0036	16. NFKC_CF-None
'11657	'7.0	'Nd	'None	MODI DIGIT SEVEN	'𑙗	'𑙗	'𑙗	'7			Tr≠UCA	'11657	'11657	'11657	'0037	16. NFKC_CF-None
'11658	'7.0	'Nd	'None	MODI DIGIT EIGHT	'𑙘	'𑙘	'𑙘	'8			Tr≠UCA	'11658	'11658	'11658	'0038	16. NFKC_CF-None
'11659	'7.0	'Nd	'None	MODI DIGIT NINE	'𑙙	'𑙙	'𑙙	'9			Tr≠UCA	'11659	'11659	'11659	'0039	16. NFKC_CF-None
'116C0	'6.1	'Nd	'None	TAKRI DIGIT ZERO	'𑛀	'𑛀	'𑛀	'0			Tr≠UCA	'116C0	'116C0	'116C0	'0030	16. NFKC_CF-None
'116C1	'6.1	'Nd	'None	TAKRI DIGIT ONE	'𑛁	'𑛁	'𑛁	'1			Tr≠UCA	'116C1	'116C1	'116C1	'0031	16. NFKC_CF-None
'116C2	'6.1	'Nd	'None	TAKRI DIGIT TWO	'𑛂	'𑛂	'𑛂	'2			Tr≠UCA	'116C2	'116C2	'116C2	'0032	16. NFKC_CF-None
'116C3	'6.1	'Nd	'None	TAKRI DIGIT THREE	'𑛃	'𑛃	'𑛃	'3			Tr≠UCA	'116C3	'116C3	'116C3	'0033	16. NFKC_CF-None
'116C4	'6.1	'Nd	'None	TAKRI DIGIT FOUR	'𑛄	'𑛄	'𑛄	'4			Tr≠UCA	'116C4	'116C4	'116C4	'0034	16. NFKC_CF-None
'116C5	'6.1	'Nd	'None	TAKRI DIGIT FIVE	'𑛅	'𑛅	'𑛅	'5			Tr≠UCA	'116C5	'116C5	'116C5	'0035	16. NFKC_CF-None
'116C6	'6.1	'Nd	'None	TAKRI DIGIT SIX	'𑛆	'𑛆	'𑛆	'6			Tr≠UCA	'116C6	'116C6	'116C6	'0036	16. NFKC_CF-None
'116C7	'6.1	'Nd	'None	TAKRI DIGIT SEVEN	'𑛇	'𑛇	'𑛇	'7			Tr≠UCA	'116C7	'116C7	'116C7	'0037	16. NFKC_CF-None
'116C8	'6.1	'Nd	'None	TAKRI DIGIT EIGHT	'𑛈	'𑛈	'𑛈	'8			Tr≠UCA	'116C8	'116C8	'116C8	'0038	16. NFKC_CF-None
'116C9	'6.1	'Nd	'None	TAKRI DIGIT NINE	'𑛉	'𑛉	'𑛉	'9			Tr≠UCA	'116C9	'116C9	'116C9	'0039	16. NFKC_CF-None
'11730	'8.0	'Nd	'None	AHOM DIGIT ZERO	'𑜰	'𑜰	'𑜰	'0			Tr≠UCA	'11730	'11730	'11730	'0030	16. NFKC_CF-None
'11731	'8.0	'Nd	'None	AHOM DIGIT ONE	'𑜱	'𑜱	'𑜱	'1			Tr≠UCA	'11731	'11731	'11731	'0031	16. NFKC_CF-None
'11732	'8.0	'Nd	'None	AHOM DIGIT TWO	'𑜲	'𑜲	'𑜲	'2			Tr≠UCA	'11732	'11732	'11732	'0032	16. NFKC_CF-None
'11733	'8.0	'Nd	'None	AHOM DIGIT THREE	'𑜳	'𑜳	'𑜳	'3			Tr≠UCA	'11733	'11733	'11733	'0033	16. NFKC_CF-None
'11734	'8.0	'Nd	'None	AHOM DIGIT FOUR	'𑜴	'𑜴	'𑜴	'4			Tr≠UCA	'11734	'11734	'11734	'0034	16. NFKC_CF-None
'11735	'8.0	'Nd	'None	AHOM DIGIT FIVE	'𑜵	'𑜵	'𑜵	'5			Tr≠UCA	'11735	'11735	'11735	'0035	16. NFKC_CF-None
'11736	'8.0	'Nd	'None	AHOM DIGIT SIX	'𑜶	'𑜶	'𑜶	'6			Tr≠UCA	'11736	'11736	'11736	'0036	16. NFKC_CF-None
'11737	'8.0	'Nd	'None	AHOM DIGIT SEVEN	'𑜷	'𑜷	'𑜷	'7			Tr≠UCA	'11737	'11737	'11737	'0037	16. NFKC_CF-None
'11738	'8.0	'Nd	'None	AHOM DIGIT EIGHT	'𑜸	'𑜸	'𑜸	'8			Tr≠UCA	'11738	'11738	'11738	'0038	16. NFKC_CF-None
'11739	'8.0	'Nd	'None	AHOM DIGIT NINE	'𑜹	'𑜹	'𑜹	'9			Tr≠UCA	'11739	'11739	'11739	'0039	16. NFKC_CF-None
'118E0	'7.0	'Nd	'None	WARANG CITI DIGIT ZERO	'𑣠	'𑣠	'𑣠	'0			Tr≠UCA	'118E0	'118E0	'118E0	'0030	16. NFKC_CF-None
'118E1	'7.0	'Nd	'None	WARANG CITI DIGIT ONE	'𑣡	'𑣡	'𑣡	'1			Tr≠UCA	'118E1	'118E1	'118E1	'0031	16. NFKC_CF-None
'118E2	'7.0	'Nd	'None	WARANG CITI DIGIT TWO	'𑣢	'𑣢	'𑣢	'2			Tr≠UCA	'118E2	'118E2	'118E2	'0032	16. NFKC_CF-None
'118E3	'7.0	'Nd	'None	WARANG CITI DIGIT THREE	'𑣣	'𑣣	'𑣣	'3			Tr≠UCA	'118E3	'118E3	'118E3	'0033	16. NFKC_CF-None
'118E4	'7.0	'Nd	'None	WARANG CITI DIGIT FOUR	'𑣤	'𑣤	'𑣤	'4			Tr≠UCA	'118E4	'118E4	'118E4	'0034	16. NFKC_CF-None
'118E5	'7.0	'Nd	'None	WARANG CITI DIGIT FIVE	'𑣥	'𑣥	'𑣥	'5			Tr≠UCA	'118E5	'118E5	'118E5	'0035	16. NFKC_CF-None
'118E6	'7.0	'Nd	'None	WARANG CITI DIGIT SIX	'𑣦	'𑣦	'𑣦	'6			Tr≠UCA	'118E6	'118E6	'118E6	'0036	16. NFKC_CF-None
'118E7	'7.0	'Nd	'None	WARANG CITI DIGIT SEVEN	'𑣧	'𑣧	'𑣧	'7			Tr≠UCA	'118E7	'118E7	'118E7	'0037	16. NFKC_CF-None
'118E8	'7.0	'Nd	'None	WARANG CITI DIGIT EIGHT	'𑣨	'𑣨	'𑣨	'8			Tr≠UCA	'118E8	'118E8	'118E8	'0038	16. NFKC_CF-None
'118E9	'7.0	'Nd	'None	WARANG CITI DIGIT NINE	'𑣩	'𑣩	'𑣩	'9			Tr≠UCA	'118E9	'118E9	'118E9	'0039	16. NFKC_CF-None
'16A60	'7.0	'Nd	'None	MRO DIGIT ZERO	'𖩠	'𖩠	'𖩠	'0			Tr≠UCA	'16A60	'16A60	'16A60	'0030	16. NFKC_CF-None
'16A61	'7.0	'Nd	'None	MRO DIGIT ONE	'𖩡	'𖩡	'𖩡	'1			Tr≠UCA	'16A61	'16A61	'16A61	'0031	16. NFKC_CF-None
'16A62	'7.0	'Nd	'None	MRO DIGIT TWO	'𖩢	'𖩢	'𖩢	'2			Tr≠UCA	'16A62	'16A62	'16A62	'0032	16. NFKC_CF-None
'16A63	'7.0	'Nd	'None	MRO DIGIT THREE	'𖩣	'𖩣	'𖩣	'3			Tr≠UCA	'16A63	'16A63	'16A63	'0033	16. NFKC_CF-None
'16A64	'7.0	'Nd	'None	MRO DIGIT FOUR	'𖩤	'𖩤	'𖩤	'4			Tr≠UCA	'16A64	'16A64	'16A64	'0034	16. NFKC_CF-None
'16A65	'7.0	'Nd	'None	MRO DIGIT FIVE	'𖩥	'𖩥	'𖩥	'5			Tr≠UCA	'16A65	'16A65	'16A65	'0035	16. NFKC_CF-None
'16A66	'7.0	'Nd	'None	MRO DIGIT SIX	'𖩦	'𖩦	'𖩦	'6			Tr≠UCA	'16A66	'16A66	'16A66	'0036	16. NFKC_CF-None
'16A67	'7.0	'Nd	'None	MRO DIGIT SEVEN	'𖩧	'𖩧	'𖩧	'7			Tr≠UCA	'16A67	'16A67	'16A67	'0037	16. NFKC_CF-None
'16A68	'7.0	'Nd	'None	MRO DIGIT EIGHT	'𖩨	'𖩨	'𖩨	'8			Tr≠UCA	'16A68	'16A68	'16A68	'0038	16. NFKC_CF-None
'16A69	'7.0	'Nd	'None	MRO DIGIT NINE	'𖩩	'𖩩	'𖩩	'9			Tr≠UCA	'16A69	'16A69	'16A69	'0039	16. NFKC_CF-None
'16B50	'7.0	'Nd	'None	PAHAWH HMONG DIGIT ZERO	'𖭐	'𖭐	'𖭐	'0			Tr≠UCA	'16B50	'16B50	'16B50	'0030	16. NFKC_CF-None
'16B51	'7.0	'Nd	'None	PAHAWH HMONG DIGIT ONE	'𖭑	'𖭑	'𖭑	'1			Tr≠UCA	'16B51	'16B51	'16B51	'0031	16. NFKC_CF-None
'16B52	'7.0	'Nd	'None	PAHAWH HMONG DIGIT TWO	'𖭒	'𖭒	'𖭒	'2			Tr≠UCA	'16B52	'16B52	'16B52	'0032	16. NFKC_CF-None
'16B53	'7.0	'Nd	'None	PAHAWH HMONG DIGIT THREE	'𖭓	'𖭓	'𖭓	'3			Tr≠UCA	'16B53	'16B53	'16B53	'0033	16. NFKC_CF-None
'16B54	'7.0	'Nd	'None	PAHAWH HMONG DIGIT FOUR	'𖭔	'𖭔	'𖭔	'4			Tr≠UCA	'16B54	'16B54	'16B54	'0034	16. NFKC_CF-None
'16B55	'7.0	'Nd	'None	PAHAWH HMONG DIGIT FIVE	'𖭕	'𖭕	'𖭕	'5			Tr≠UCA	'16B55	'16B55	'16B55	'0035	16. NFKC_CF-None
'16B56	'7.0	'Nd	'None	PAHAWH HMONG DIGIT SIX	'𖭖	'𖭖	'𖭖	'6			Tr≠UCA	'16B56	'16B56	'16B56	'0036	16. NFKC_CF-None
'16B57	'7.0	'Nd	'None	PAHAWH HMONG DIGIT SEVEN	'𖭗	'𖭗	'𖭗	'7			Tr≠UCA	'16B57	'16B57	'16B57	'0037	16. NFKC_CF-None
'16B58	'7.0	'Nd	'None	PAHAWH HMONG DIGIT EIGHT	'𖭘	'𖭘	'𖭘	'8			Tr≠UCA	'16B58	'16B58	'16B58	'0038	16. NFKC_CF-None
'16B59	'7.0	'Nd	'None	PAHAWH HMONG DIGIT NINE	'𖭙	'𖭙	'𖭙	'9			Tr≠UCA	'16B59	'16B59	'16B59	'0039	16. NFKC_CF-None
'17E0	'3.0	'Nd	'None	KHMER DIGIT ZERO	'០	'០	'០	'0			Tr≠UCA	'17E0	'17E0	'17E0	'0030	16. NFKC_CF-None
'17E1	'3.0	'Nd	'None	KHMER DIGIT ONE	'១	'១	'១	'1			Tr≠UCA	'17E1	'17E1	'17E1	'0031	16. NFKC_CF-None
'17E2	'3.0	'Nd	'None	KHMER DIGIT TWO	'២	'២	'២	'2			Tr≠UCA	'17E2	'17E2	'17E2	'0032	16. NFKC_CF-None
'17E3	'3.0	'Nd	'None	KHMER DIGIT THREE	'៣	'៣	'៣	'3			Tr≠UCA	'17E3	'17E3	'17E3	'0033	16. NFKC_CF-None
'17E4	'3.0	'Nd	'None	KHMER DIGIT FOUR	'៤	'៤	'៤	'4			Tr≠UCA	'17E4	'17E4	'17E4	'0034	16. NFKC_CF-None
'17E5	'3.0	'Nd	'None	KHMER DIGIT FIVE	'៥	'៥	'៥	'5			Tr≠UCA	'17E5	'17E5	'17E5	'0035	16. NFKC_CF-None
'17E6	'3.0	'Nd	'None	KHMER DIGIT SIX	'៦	'៦	'៦	'6			Tr≠UCA	'17E6	'17E6	'17E6	'0036	16. NFKC_CF-None
'17E7	'3.0	'Nd	'None	KHMER DIGIT SEVEN	'៧	'៧	'៧	'7			Tr≠UCA	'17E7	'17E7	'17E7	'0037	16. NFKC_CF-None
'17E8	'3.0	'Nd	'None	KHMER DIGIT EIGHT	'៨	'៨	'៨	'8			Tr≠UCA	'17E8	'17E8	'17E8	'0038	16. NFKC_CF-None
'17E9	'3.0	'Nd	'None	KHMER DIGIT NINE	'៩	'៩	'៩	'9			Tr≠UCA	'17E9	'17E9	'17E9	'0039	16. NFKC_CF-None
'1810	'3.0	'Nd	'None	MONGOLIAN DIGIT ZERO	'᠐	'᠐	'᠐	'0			Tr≠UCA	'1810	'1810	'1810	'0030	16. NFKC_CF-None
'1811	'3.0	'Nd	'None	MONGOLIAN DIGIT ONE	'᠑	'᠑	'᠑	'1			Tr≠UCA	'1811	'1811	'1811	'0031	16. NFKC_CF-None
'1812	'3.0	'Nd	'None	MONGOLIAN DIGIT TWO	'᠒	'᠒	'᠒	'2			Tr≠UCA	'1812	'1812	'1812	'0032	16. NFKC_CF-None
'1813	'3.0	'Nd	'None	MONGOLIAN DIGIT THREE	'᠓	'᠓	'᠓	'3			Tr≠UCA	'1813	'1813	'1813	'0033	16. NFKC_CF-None
'1814	'3.0	'Nd	'None	MONGOLIAN DIGIT FOUR	'᠔	'᠔	'᠔	'4			Tr≠UCA	'1814	'1814	'1814	'0034	16. NFKC_CF-None
'1815	'3.0	'Nd	'None	MONGOLIAN DIGIT FIVE	'᠕	'᠕	'᠕	'5			Tr≠UCA	'1815	'1815	'1815	'0035	16. NFKC_CF-None
'1816	'3.0	'Nd	'None	MONGOLIAN DIGIT SIX	'᠖	'᠖	'᠖	'6			Tr≠UCA	'1816	'1816	'1816	'0036	16. NFKC_CF-None
'1817	'3.0	'Nd	'None	MONGOLIAN DIGIT SEVEN	'᠗	'᠗	'᠗	'7			Tr≠UCA	'1817	'1817	'1817	'0037	16. NFKC_CF-None
'1818	'3.0	'Nd	'None	MONGOLIAN DIGIT EIGHT	'᠘	'᠘	'᠘	'8			Tr≠UCA	'1818	'1818	'1818	'0038	16. NFKC_CF-None
'1819	'3.0	'Nd	'None	MONGOLIAN DIGIT NINE	'᠙	'᠙	'᠙	'9			Tr≠UCA	'1819	'1819	'1819	'0039	16. NFKC_CF-None
'1946	'4.0	'Nd	'None	LIMBU DIGIT ZERO	'᥆	'᥆	'᥆	'0			Tr≠UCA	'1946	'1946	'1946	'0030	16. NFKC_CF-None
'1947	'4.0	'Nd	'None	LIMBU DIGIT ONE	'᥇	'᥇	'᥇	'1			Tr≠UCA	'1947	'1947	'1947	'0031	16. NFKC_CF-None
'1948	'4.0	'Nd	'None	LIMBU DIGIT TWO	'᥈	'᥈	'᥈	'2			Tr≠UCA	'1948	'1948	'1948	'0032	16. NFKC_CF-None
'1949	'4.0	'Nd	'None	LIMBU DIGIT THREE	'᥉	'᥉	'᥉	'3			Tr≠UCA	'1949	'1949	'1949	'0033	16. NFKC_CF-None
'194A	'4.0	'Nd	'None	LIMBU DIGIT FOUR	'᥊	'᥊	'᥊	'4			Tr≠UCA	'194A	'194A	'194A	'0034	16. NFKC_CF-None
'194B	'4.0	'Nd	'None	LIMBU DIGIT FIVE	'᥋	'᥋	'᥋	'5			Tr≠UCA	'194B	'194B	'194B	'0035	16. NFKC_CF-None
'194C	'4.0	'Nd	'None	LIMBU DIGIT SIX	'᥌	'᥌	'᥌	'6			Tr≠UCA	'194C	'194C	'194C	'0036	16. NFKC_CF-None
'194D	'4.0	'Nd	'None	LIMBU DIGIT SEVEN	'᥍	'᥍	'᥍	'7			Tr≠UCA	'194D	'194D	'194D	'0037	16. NFKC_CF-None
'194E	'4.0	'Nd	'None	LIMBU DIGIT EIGHT	'᥎	'᥎	'᥎	'8			Tr≠UCA	'194E	'194E	'194E	'0038	16. NFKC_CF-None
'194F	'4.0	'Nd	'None	LIMBU DIGIT NINE	'᥏	'᥏	'᥏	'9			Tr≠UCA	'194F	'194F	'194F	'0039	16. NFKC_CF-None
'19D0	'4.1	'Nd	'None	NEW TAI LUE DIGIT ZERO	'᧐	'᧐	'᧐	'0			Tr≠UCA	'19D0	'19D0	'19D0	'0030	16. NFKC_CF-None
'19D1	'4.1	'Nd	'None	NEW TAI LUE DIGIT ONE	'᧑	'᧑	'᧑	'1			Tr≠UCA	'19D1	'19D1	'19D1	'0031	16. NFKC_CF-None
'19D2	'4.1	'Nd	'None	NEW TAI LUE DIGIT TWO	'᧒	'᧒	'᧒	'2			Tr≠UCA	'19D2	'19D2	'19D2	'0032	16. NFKC_CF-None
'19D3	'4.1	'Nd	'None	NEW TAI LUE DIGIT THREE	'᧓	'᧓	'᧓	'3			Tr≠UCA	'19D3	'19D3	'19D3	'0033	16. NFKC_CF-None
'19D4	'4.1	'Nd	'None	NEW TAI LUE DIGIT FOUR	'᧔	'᧔	'᧔	'4			Tr≠UCA	'19D4	'19D4	'19D4	'0034	16. NFKC_CF-None
'19D5	'4.1	'Nd	'None	NEW TAI LUE DIGIT FIVE	'᧕	'᧕	'᧕	'5			Tr≠UCA	'19D5	'19D5	'19D5	'0035	16. NFKC_CF-None
'19D6	'4.1	'Nd	'None	NEW TAI LUE DIGIT SIX	'᧖	'᧖	'᧖	'6			Tr≠UCA	'19D6	'19D6	'19D6	'0036	16. NFKC_CF-None
'19D7	'4.1	'Nd	'None	NEW TAI LUE DIGIT SEVEN	'᧗	'᧗	'᧗	'7			Tr≠UCA	'19D7	'19D7	'19D7	'0037	16. NFKC_CF-None
'19D8	'4.1	'Nd	'None	NEW TAI LUE DIGIT EIGHT	'᧘	'᧘	'᧘	'8			Tr≠UCA	'19D8	'19D8	'19D8	'0038	16. NFKC_CF-None
