527F	2013:3048
5281	2013:5759
5282	2013:7666
5284	2013:7692
5288	2013:3311
5290	2013:7755
5293	2013:6130
529B	2013:19
529D	2013:186
529E	2013:181
529F	2013:202
52A0	2013:335
52A1	2013:297
52A2	2013:3537
52A3	2013:416
52A8	2013:353
52A9	2013:719
52AA	2013:924
52AB	2013:660
52AC	2013:3745
52AD	2013:3817
52B1	2013:702
52B2	2013:926
52B3	2013:674
52BC	2013:3843
52BE	2013:4002
52BF	2013:977
52C3	2013:1440
52C7	2013:1746
52C9	2013:1599
52CB	2013:1506
52CD	2013:7040
52D0	2013:4682
52D2	2013:2200
52D4	2013:7151
52D6	2013:4821
52D8	2013:2195
52DA	2013:7125
52DF	2013:2549
52E0	2013:7615
52E4	2013:2848
52F0	2013:6018
52FA	2013:49
52FE	2013:158
52FF	2013:152
5300	2013:156
5305	2013:298
5306	2013:289
5308	2013:504
530D	2013:4290
530F	2013:4799
5310	2013:4924
5315	2013:13
5316	2013:132
5317	2013:227
5319	2013:2259
531C	2013:3536
531D	2013:3534
5320	2013:394
5321	2013:3563
5323	2013:692
5326	2013:3835
532A	2013:1780
532E	2013:4782
5339	2013:99
533A	2013:94
533B	2013:700
533C	2013:6669
533E	2013:2248
533F	2013:1776
5341	2013:4
5343	2013:41
5345	2013:3512
5347	2013:125
5348	2013:119
5349	2013:200
534A	2013:307
534E	2013:472
534F	2013:383
5351	2013:1154
5352	2013:1217
5353	2013:1070
5355	2013:1232
5356	2013:1042
5357	2013:1422
535A	2013:2521
535C	2013:8
535E	2013:3521
535F	2013:3538
5360	2013:228
5361	2013:226
5362	2013:230
5363	2013:3695
5364	2013:711
5366	2013:954
5367	2013:1037
536B	2013:65
536C	2013:6504
536E	2013:3547
536F	2013:291
5370	2013:285
5371	2013:499
5373	2013:901
5374	2013:658
5375	2013:818
5377	2013:1231
5378	2013:1536
537A	2013:6740
537F	2013:2006
5382	2013:6
5384	2013:3514
5385	2013:90
5386	2013:95
5389	2013:215
538B	2013:385
538C	2013:386
538D	2013:3586
5395	2013:1047
5396	2013:6808
5398	2013:1448
539A	2013:1449
539D	2013:4471
539F	2013:1868
53A2	2013:2238
53A3	2013:7144
53A5	2013:5112
53A6	2013:2588
53A8	2013:2587
53A9	2013:4800
53AE	2013:5675
53BB	2013:204
53BE	2013:3637
53BF	2013:720
53C1	2013:1333
53C2	2013:1334
53C6	2013:5629
53C7	2013:7751
53C8	2013:21
53C9	2013:71
53CA	2013:52
53CB	2013:97
53CC	2013:187
53CD	2013:139
53D1	2013:339
53D4	2013:1065
53D5	2013:6746
53D6	2013:997
53D7	2013:1174
53D8	2013:1204
53D9	2013:1586
53DA	2013:6907
53DB	2013:1644
53DF	2013:4260
53E0	2013:3043
53E3	2013:38
53E4	2013:208
53E5	2013:288
53E6	2013:256
53E8	2013:255
53E9	2013:254
53EA	2013:246
53EB	2013:253
53EC	2013:334
53ED	2013:247
53EE	2013:241
53EF	2013:212
53F0	2013:342
53F1	2013:3539
53F2	2013:248
53F3	2013:217
53F5	2013:3533
53F6	2013:238
53F7	2013:243
53F8	2013:325
53F9	2013:257
53FB	2013:3540
53FC	2013:252
53FD	2013:251
5401	2013:420
5403	2013:429
5404	2013:506
5406	2013:433
5408	2013:488
5409	2013:356
540A	2013:428
540C	2013:427
540D	2013:505
540E	2013:482
540F	2013:381
5410	2013:421
5411	2013:480
5412	2013:6531
5413	2013:422
5415	2013:426
5416	2013:6532
5417	2013:432
541B	2013:899
541D	2013:835
541E	2013:607
541F	2013:740
5420	2013:724
5421	2013:3705
5423	2013:3710
5426	2013:703
5427	2013:747
5428	2013:730
5429	2013:741
542B	2013:800
542C	2013:739
542D	2013:746
542E	2013:752
542F	2013:886
5431	2013:723
5432	2013:3711
5434	2013:718
5435	2013:735
5438	2013:431
5439	2013:744
543B	2013:743
543C	2013:749
543D	2013:3709
543E	2013:695
5440	2013:729
5443	2013:3703
5446	2013:722
5447	2013:6597
5448	2013:716
544A	2013:760
544B	2013:3698
5450	2013:738
5452	2013:3699
5453	2013:3700
5454	2013:3701
5455	2013:725
5456	2013:3702
5457	2013:3708
5458	2013:737
5459	2013:6591
545B	2013:742
