5A41	790K
5A46	537aC
5A49	272G
5A4A	372I
5A5A	351C
5A62	807E
5A66	674A
5A6A	492E
5A77	3I
5A92	509D
5A9A	846F
5A9B	187G
5AB3	853A
5ABC	606I
5ABD	255E
5AC1	286B
5AC2	681D
5AC9	476D
5ACC	671D
5AD6	777F
5AE0	497I
5AE1	590G
5AE6	584K
5AE9	501E
5AF0	501E
5AFA	637I
5B09	739H
5B0C	583G
5B2A	860H
5B30	859C
5B38	811H
5B40	847F
5B43	369I
5B4C	888H
5B50	112A
5B54	297D
5B55	216E
5B57	112A
5B58	166B
5B5A	408K
5B5B	113K
5B5C	112I
5B5D	191C
5B5F	605D
5B63	512A
5B64	407D
5B65	553G
5B69	874A
5B6B	887C
5B70	744F
5B73	880I
5B78	692A
5B7A	613G
5B7C	158B
5B80	556K
5B81	4K
5B82	382I
5B83	322K
5B85	374E
5B87	30D
5B88	18C
5B89	555B
5B8B	484G
5B8C	389A
5B8F	167E
5B95	722I
5B97	516B
5B98	751C
5B99	818D
5B9A	138B
5B9B	272H
5B9C	624aB
5BA2	712A
5BA4	883B
5BA5	184F
5BA6	642G
5BAE	749C
5BB0	157D
5BB3	146A
5BB4	555F
5BB5	124H
5BB6	286A
5BB9	711A
5BBF	805D
5BC2	123K
5BC3	385A
5BC4	452D
5BC5	821G
5BC6	378C
5BC7	389H
5BCC	816C
5BD0	495H
5BD2	100A
5BD3	575C
5BDB	865A
5BDC	2C
5BDE	453H
5BDF	515C
5BE1	866D
5BE2	675F
5BE4	763I
5BE5	283G
5BE6	861B
5BE8	100F
5BE9	811B
5BEB	688A
5BEE	454I
5BF0	371H
5BF5	315E
5BF6	856C
5BF8	18B
5BFA	46E
5C01	48A
5C03	598P
5C04	634E
5C07	21B
5C08	839B
5C09	727H
5C0A	783B
5C0B	18C
5C0C	738P
5C0D	18A
5C0E	855C
5C0F	121A
5C11	122A
5C16	121B
5C1A	584C
5C1E	454K
5C22	174K
5C24	175E
5C31	175A
5C38	724E
5C39	677G
5C3A	724A
5C3B	302K
5C3C	725F
5C3E	375C
5C3F	520H
5C40	724A
5C41	317H
5C45	706D
5C46	724F
5C48	666D
5C4B	884B
5C4D	724E
5C4E	724H
5C51	124I
5C55	354D
5C5B	35H
5C5C	109A
5C60	192H
5C62	790D
5C63	136K
5C64	832B
5C65	545G
5C6C	788D
5C6E	659K
5C6F	376E
5C70	660P
5C71	655B
5C90	539G
5C91	434K
5C94	395D
5CA1	592E
5CB1	328H
5CB3	213E
5CB8	32C
5CD2	580H
5CEA	710I
5CEF	148F
5CF6	254B
5CFB	542G
5D07	516C
5D0E	452G
5D11	798I
5D14	53H
5D16	50F
5D29	622G
5D3D	379H
5D4C	101F
5D69	582H
5D82	92K
5D87	696H
5D97	449K
5DBA	438B
5DBD	460G
5DCD	512K
5DD3	843H
5DD6	630G
5DDD	425E
5DDE	426C
5DE0	427K
5DE1	425C
5DE2	508E
5DE4	690H
5DE5	8A
5DE6	177B
5DE7	240D
5DE8	641F
5DEB	12I
5DEE	178A
5DF1..5DF2	311A
5DF3	311F
5DF4	312D
5DF7	96B
5DFB	467D
5DFD	97K
5DFE	557A
5E02	558D
5E03	171B
5E06	397G
5E0C	172C
5E11	553G
5E15	804D
5E16	720B
5E18	557B
5E19	481K
5E1A	674E
5E1B	806G
5E1D	88C
5E21	35K
5E25	753E
5E2B	753C
5E2D	559C
5E33	353D
5E36	560A
5E37	52F
5E38	584A
5E3D	845A
5E43	764G
5E45	816F
5E4C	390F
5E54	849E
5E55	453F
5E5F	93I
5E63	561H
5E6A	289K
5E6B	142A
5E72	32D
5E73	36A
5E74	37A
5E78	159D
5E79	17C
5E7A	876K
5E7B	876F
5E7C	876C
5E7D	876E
5E7E	346A
5E7F	198K
5E84	199C
5E87	317D
5E8A	198C
5E8F	114C
5E95	349B
5E96	225H
5E97	720B
5E9A	834F
5E9C	20A
5EA0	151I
5EA6	200A
5EA7	432B
5EAB	836D
5EAD	70D
5EB5	810E
5EB6	201F
5EB7	526D
5EB8	595E
5EB9	200K
5EC1	858E
5EC2	847F
5EC8	854G
5EC9	672F
5ECA	362D
5ECB	681I
5ED2	264K
5EDA	738A
5EDB	830K
5EDF	16A
5EE0	584C
5EE2	246C
5EE3	823C
5EE9	769I
5EEC	207I
5EF3	381aA
5EF4	0K
5EF6	128D
5EF7	70F
5EFA	670C
5EFE	414K
5EFF	13G
5F00	34K
5F01	868H
5F04	71C
5F0A	561E
5F0B	328K
5F0F	329B
5F11	329H
5F13	244C
5F14	248D
5F15	244B
5F17	252D
5F1B	301I
5F1D	312K
5F1F	249A
5F26	877E
5F29	553I
5F2D	626I
5F30	124I
5F31	245C
5F35	353A
5F37	785B
5F38	622K
5F40	400A
5F48	826E
5F4C	564D
5F4E	888E
5F50	667K
5F54	525K
5F56	287K
5F57	673H
5F59	507E
5F61	280K
5F62	34C
5F66	284G
5F69	488A
5F6A	203G
5F6C	492I
5F6D	280I
5F70	92C
5F71	748B
5F73	0K
5F77	261C
5F79	399E
5F7C	537B
5F7F	252E
5F80	71B
5F81	127E
5F82	623I
5F85	46C
5F87	230F
5F88	359A
5F8A	765H
5F8B	669C
5F8C	876A
5F90	31G
5F91	427G
5F92	134B
5F97	794A
5F98	418I
