FA62	U+8B01
FA63	U+8B39
FA64	U+8CD3
FA65	U+8D08
FA66	U+8FB6
FA67	U+9038
FA68	U+96E3
FA69	U+97FF
FA6A	U+983B
FA6B	U+6075
FA6C	U+242EE
FA6D	U+8218
FA70	U+4E26
FA71	U+51B5
FA72	U+5168
FA73	U+4F80
FA74	U+5145
FA75	U+5180
FA76	U+52C7
FA77	U+52FA
FA78	U+559D
FA79	U+5555
FA7A	U+5599
FA7B	U+55E2
FA7C	U+585A
FA7D	U+58B3
FA7E	U+5944
FA7F	U+5954
FA80	U+5A62
FA81	U+5B28
FA82	U+5ED2
FA83	U+5ED9
FA84	U+5F69
FA85	U+5FAD
FA86	U+60D8
FA87	U+614E
FA88	U+6108
FA89	U+618E
FA8A	U+6160
FA8B	U+61F2
FA8C	U+6234
FA8D	U+63C4
FA8E	U+641C
FA8F	U+6452
FA90	U+6556
FA91	U+6674
FA92	U+6717
FA93	U+671B
FA94	U+6756
FA95	U+6B79
FA96	U+6BBA
FA97	U+6D41
FA98	U+6EDB
FA99	U+6ECB
FA9A	U+6F22
FA9B	U+701E
FA9C	U+716E
FA9D	U+77A7
FA9E	U+7235
FA9F	U+72AF
FAA0	U+732A
FAA1	U+7471
FAA2	U+7506
FAA3	U+753B
FAA4	U+761D
FAA5	U+761F
FAA6	U+76CA
FAA7	U+76DB
FAA8	U+76F4
FAA9	U+774A
FAAA	U+7740
FAAB	U+78CC
FAAC	U+7AB1
FAAD	U+7BC0
FAAE	U+7C7B
FAAF	U+7D5B
FAB0	U+7DF4
FAB1	U+7F3E
FAB2	U+8005
FAB3	U+8352
FAB4	U+83EF
FAB5	U+8779
FAB6	U+8941
FAB7	U+8986
FAB8	U+8996
FAB9	U+8ABF
FABA	U+8AF8
FABB	U+8ACB
FABC	U+8B01
FABD	U+8AFE
FABE	U+8AED
FABF	U+8B39
FAC0	U+8B8A
FAC1	U+8D08
FAC2	U+8F38
FAC3	U+9072
FAC4	U+9199
FAC5	U+9276
FAC6	U+967C
FAC7	U+96E3
FAC8	U+9756
FAC9	U+97DB
FACA	U+97FF
FACB	U+980B
FACC	U+983B
FACD	U+9B12
FACE	U+9F9C
FACF	U+2284A
FAD0	U+22844
FAD1	U+233D5
FAD2	U+3B9D
FAD3	U+4018
FAD4	U+4039
FAD5	U+25249
FAD6	U+25CD0
FAD7	U+27ED3
FAD8	U+9F43
FAD9	U+9F8E
2F800	U+4E3D
2F801	U+4E38
2F802	U+4E41
2F803	U+20122
2F804	U+4F60
2F805	U+4FAE
2F806	U+4FBB
2F807	U+5002
2F808	U+507A
2F809	U+5099
2F80A	U+50E7
2F80B	U+50CF
2F80C	U+349E
2F80D	U+2063A
2F80E	U+514D
2F80F	U+5154
2F810	U+5164
2F811	U+5177
2F812	U+2051C
2F813	U+34B9
2F814	U+5167
2F815	U+518D
2F816	U+2054B
2F817	U+5197
2F818	U+51A4
2F819	U+4ECC
2F81A	U+51AC
2F81B	U+51B5
2F81C	U+291DF
2F81D	U+51F5
2F81E	U+5203
2F81F	U+34DF
2F820	U+523B
2F821	U+5246
2F822	U+5272
2F823	U+5277
2F824	U+3515
2F825	U+52C7
2F826	U+52C9
2F827	U+52E4
2F828	U+52FA
2F829	U+5305
2F82A	U+5306
2F82B	U+5317
2F82C	U+5349
2F82D	U+5351
2F82E	U+535A
2F82F	U+5373
2F830	U+537D
2F831..2F833	U+537F
2F834	U+20A2C
2F835	U+7070
2F836	U+53CA
2F837	U+53DF
2F838	U+20B63
2F839	U+53EB
2F83A	U+53F1
2F83B	U+5406
2F83C	U+549E
2F83D	U+5438
2F83E	U+5448
2F83F	U+5468
2F840	U+54A2
2F841	U+54F6
2F842	U+5510
2F843	U+5553
2F844	U+5563
2F845..2F846	U+5584
2F847	U+5599
2F848	U+55AB
2F849	U+55B3
2F84A	U+55C2
2F84B	U+5716
2F84C	U+5606
2F84D	U+5717
2F84E	U+5651
2F84F	U+5674
2F850	U+5207
2F851	U+58EE
2F852	U+57CE
2F853	U+57F4
2F854	U+580D
2F855	U+578B
2F856	U+5832
2F857	U+5831
2F858	U+58AC
2F859	U+214E4
2F85A	U+58F2
2F85B	U+58F7
2F85C	U+5906
2F85D	U+591A
2F85E	U+5922
2F85F	U+5962
2F860	U+216A8
2F861	U+216EA
2F862	U+59EC
2F863	U+5A1B
2F864	U+5A27
2F865	U+59D8
2F866	U+5A66
2F867	U+36EE
2F868	U+36FC
2F869	U+5B08
2F86A..2F86B	U+5B3E
2F86C	U+219C8
2F86D	U+5BC3
2F86E	U+5BD8
2F86F	U+5BE7
2F870	U+5BF3
2F871	U+21B18
2F872	U+5BFF
2F873	U+5C06
2F874	U+5F53
2F875	U+5C22
2F876	U+3781
2F877	U+5C60
2F878	U+5C6E
2F879	U+5CC0
2F87A	U+5C8D
2F87B	U+21DE4
2F87C	U+5D43
2F87D	U+21DE6
2F87E	U+5D6E
2F87F	U+5D6B
2F880	U+5D7C
2F881	U+5DE1
2F882	U+5DE2
2F883	U+382F
