6B3C	076/08;EEEEO;ci2
6B70	077/10;;saap3
6BC8	079/12;HHSLE;wo5
6BFB	082/09;KBHQU;to5
6C39	005/04;NE;dam4,tam3,tam5
6C3D	011/04;OE;tan2
6C8A	085/04;LUE;dam2
6C95	085/04;EPHH;mei6
6CAC	085/05;EJD;mei6
6D56	085/07;;lyut1
6D6D	085/07;EMLK;gaang3
6DE5	085/08;EVNE;luk6
6DF0	085/08;EOIP;nam6
6E27	085/09;EYBB;dai3
6E46	085/09;EYTA;nap6
6E74	085/08;ETTC;baan6
6E9A	085/12;;dap6
6ED0	085/10;;git6
6ED8	085/10;EBCR;gaau3
6EEE	085/11;EYUH;biu1
6F07	085/11;EHOO;saai1
6F16	085/11;EJDK;gaau3
7004	085/15;EHAL;zit1
7052	085/19;EHUC;zaan3
7086	086/04;FYK;man1
70A0	086/05;FWL;saap6
70DA	086/06;FOMR;hap6,saap3
7105	086/07;FHGR;guk6
7113	086/07;;ham4
7117	086/07;FSSR;guk6
712B	086/08;FTOB;naat3
713E	086/08;FOIP;nam4
7140	086/08;FSUU;wat1
7141	086/09;FTMV;nam4
7171	086/09;FBBR;wo1
7172	009/11;ODF;bou1
719D	086/11;FIXP;luk6
71C2	086/12;FMWJ;taam4
71D8	086/12;FANK;mui2
71F6	086/13;FTWV;nung1
7229	086/29;FDDH;wat1
730B	094/08;IKIKK;biu1
7373	094/14;KHMBB;nau1
7424	096/08;MGBSD;saang1
743C	096/08;MGYRF;king4
74F9	098/07;;gyun1
7502	098/09;HBMVN;bin1
7534	073/01;LA;zaat6,zaat6/2,zat6
7540	102/03;WML;bei2
7593	104/02;;naai4
75FE	104/08;KNLR;o1
7650	104/13;KOMA;gui6
7666	104/15;KWGG;mak6/2
766A	104/16;KHDC;zik1
7744	109/07;BUFB;saau4
7747	109/07;BUCNH;tai2
7769	109/08;BUVNE;luk1
7778	109/09;BUAHU;mei1
777A	109/09;BUONK;hau1
7793	109/10;BUYRL;fan3
77CB	109/15;BUMTB;lai3,lai6
77F4	112/02;MRMN;deng6
77FA	112/03;MRHP;zaak3
7810	112/03;MRNHE;[ng]ap6
7835	112/05;MRDM;but1
785F	112/08;;sin3
78E2	112/11;MRKKK;saang2
79A1	113/10;IFSQF;[ng]aa4
79DD	115/05;HDHD;lang3,ling1
7A89	116/05;;beng3
