# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:09 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
#  All code points not explicitly listed 
#  have the values: restricted; not-chars
# @missing: 0000..10FFFF; restricted ; not-chars


#	Status/Type:	allowed ; inclusion

002D..002E    ; allowed ; inclusion            #  [2] (-...)  HYPHEN-MINUS..FULL STOP
1219F ; restricted ; historic          # (𒆟)  CUNEIFORM SIGN KESH2
121A0 ; restricted ; historic          # (𒆠)  CUNEIFORM SIGN KI
121A1 ; restricted ; historic          # (𒆡)  CUNEIFORM SIGN KI TIMES BAD
121A2 ; restricted ; historic          # (𒆢)  CUNEIFORM SIGN KI TIMES U
121A3 ; restricted ; historic          # (𒆣)  CUNEIFORM SIGN KI TIMES UD
121A4 ; restricted ; historic          # (𒆤)  CUNEIFORM SIGN KID
121A5 ; restricted ; historic          # (𒆥)  CUNEIFORM SIGN KIN
121A6 ; restricted ; historic          # (𒆦)  CUNEIFORM SIGN KISAL
121A7 ; restricted ; historic          # (𒆧)  CUNEIFORM SIGN KISH
121A8 ; restricted ; historic          # (𒆨)  CUNEIFORM SIGN KISIM5
121A9 ; restricted ; historic          # (𒆩)  CUNEIFORM SIGN KISIM5 OVER KISIM5
121AA ; restricted ; historic          # (𒆪)  CUNEIFORM SIGN KU
121AB ; restricted ; historic          # (𒆫)  CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2
121AC ; restricted ; historic          # (𒆬)  CUNEIFORM SIGN KU3
121AD ; restricted ; historic          # (𒆭)  CUNEIFORM SIGN KU4
121AE ; restricted ; historic          # (𒆮)  CUNEIFORM SIGN KU4 VARIANT FORM
121AF ; restricted ; historic          # (𒆯)  CUNEIFORM SIGN KU7
121B0 ; restricted ; historic          # (𒆰)  CUNEIFORM SIGN KUL
121B1 ; restricted ; historic          # (𒆱)  CUNEIFORM SIGN KUL GUNU
121B2 ; restricted ; historic          # (𒆲)  CUNEIFORM SIGN KUN
121B3 ; restricted ; historic          # (𒆳)  CUNEIFORM SIGN KUR
121B4 ; restricted ; historic          # (𒆴)  CUNEIFORM SIGN KUR OPPOSING KUR
121B5 ; restricted ; historic          # (𒆵)  CUNEIFORM SIGN KUSHU2
121B6 ; restricted ; historic          # (𒆶)  CUNEIFORM SIGN KWU318
121B7 ; restricted ; historic          # (𒆷)  CUNEIFORM SIGN LA
121B8 ; restricted ; historic          # (𒆸)  CUNEIFORM SIGN LAGAB
121B9 ; restricted ; historic          # (𒆹)  CUNEIFORM SIGN LAGAB TIMES A
121BA ; restricted ; historic          # (𒆺)  CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA
121BB ; restricted ; historic          # (𒆻)  CUNEIFORM SIGN LAGAB TIMES A PLUS GAR
121BC ; restricted ; historic          # (𒆼)  CUNEIFORM SIGN LAGAB TIMES A PLUS LAL
121BD ; restricted ; historic          # (𒆽)  CUNEIFORM SIGN LAGAB TIMES AL
121BE ; restricted ; historic          # (𒆾)  CUNEIFORM SIGN LAGAB TIMES AN
121BF ; restricted ; historic          # (𒆿)  CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU
121C0 ; restricted ; historic          # (𒇀)  CUNEIFORM SIGN LAGAB TIMES BAD
121C1 ; restricted ; historic          # (𒇁)  CUNEIFORM SIGN LAGAB TIMES BI
121C2 ; restricted ; historic          # (𒇂)  CUNEIFORM SIGN LAGAB TIMES DAR
121C3 ; restricted ; historic          # (𒇃)  CUNEIFORM SIGN LAGAB TIMES EN
121C4 ; restricted ; historic          # (𒇄)  CUNEIFORM SIGN LAGAB TIMES GA
121C5 ; restricted ; historic          # (𒇅)  CUNEIFORM SIGN LAGAB TIMES GAR
121C6 ; restricted ; historic          # (𒇆)  CUNEIFORM SIGN LAGAB TIMES GUD
121C7 ; restricted ; historic          # (𒇇)  CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD
121C8 ; restricted ; historic          # (𒇈)  CUNEIFORM SIGN LAGAB TIMES HA
121C9 ; restricted ; historic          # (𒇉)  CUNEIFORM SIGN LAGAB TIMES HAL
121CA ; restricted ; historic          # (𒇊)  CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN
121CB ; restricted ; historic          # (𒇋)  CUNEIFORM SIGN LAGAB TIMES IGI GUNU
121CC ; restricted ; historic          # (𒇌)  CUNEIFORM SIGN LAGAB TIMES IM
121CD ; restricted ; historic          # (𒇍)  CUNEIFORM SIGN LAGAB TIMES IM PLUS HA
121CE ; restricted ; historic          # (𒇎)  CUNEIFORM SIGN LAGAB TIMES IM PLUS LU
121CF ; restricted ; historic          # (𒇏)  CUNEIFORM SIGN LAGAB TIMES KI
121D0 ; restricted ; historic          # (𒇐)  CUNEIFORM SIGN LAGAB TIMES KIN
121D1 ; restricted ; historic          # (𒇑)  CUNEIFORM SIGN LAGAB TIMES KU3
121D2 ; restricted ; historic          # (𒇒)  CUNEIFORM SIGN LAGAB TIMES KUL
121D3 ; restricted ; historic          # (𒇓)  CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A
121D4 ; restricted ; historic          # (𒇔)  CUNEIFORM SIGN LAGAB TIMES LAGAB
121D5 ; restricted ; historic          # (𒇕)  CUNEIFORM SIGN LAGAB TIMES LISH
121D6 ; restricted ; historic          # (𒇖)  CUNEIFORM SIGN LAGAB TIMES LU
121D7 ; restricted ; historic          # (𒇗)  CUNEIFORM SIGN LAGAB TIMES LUL
121D8 ; restricted ; historic          # (𒇘)  CUNEIFORM SIGN LAGAB TIMES ME
121D9 ; restricted ; historic          # (𒇙)  CUNEIFORM SIGN LAGAB TIMES ME PLUS EN
121DA ; restricted ; historic          # (𒇚)  CUNEIFORM SIGN LAGAB TIMES MUSH
121DB ; restricted ; historic          # (𒇛)  CUNEIFORM SIGN LAGAB TIMES NE
121DC ; restricted ; historic          # (𒇜)  CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM
121DD ; restricted ; historic          # (𒇝)  CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2
121DE ; restricted ; historic          # (𒇞)  CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU
121DF ; restricted ; historic          # (𒇟)  CUNEIFORM SIGN LAGAB TIMES SHU2
121E0 ; restricted ; historic          # (𒇠)  CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2
121E1 ; restricted ; historic          # (𒇡)  CUNEIFORM SIGN LAGAB TIMES SUM
121E2 ; restricted ; historic          # (𒇢)  CUNEIFORM SIGN LAGAB TIMES TAG
121E3 ; restricted ; historic          # (𒇣)  CUNEIFORM SIGN LAGAB TIMES TAK4
121E4 ; restricted ; historic          # (𒇤)  CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA
121E5 ; restricted ; historic          # (𒇥)  CUNEIFORM SIGN LAGAB TIMES U
121E6 ; restricted ; historic          # (𒇦)  CUNEIFORM SIGN LAGAB TIMES U PLUS A
121E7 ; restricted ; historic          # (𒇧)  CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U
121E8 ; restricted ; historic          # (𒇨)  CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH
121E9 ; restricted ; historic          # (𒇩)  CUNEIFORM SIGN LAGAB TIMES UD
121EA ; restricted ; historic          # (𒇪)  CUNEIFORM SIGN LAGAB TIMES USH
121EB ; restricted ; historic          # (𒇫)  CUNEIFORM SIGN LAGAB SQUARED
121EC ; restricted ; historic          # (𒇬)  CUNEIFORM SIGN LAGAR
121ED ; restricted ; historic          # (𒇭)  CUNEIFORM SIGN LAGAR TIMES SHE
121EE ; restricted ; historic          # (𒇮)  CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM
121EF ; restricted ; historic          # (𒇯)  CUNEIFORM SIGN LAGAR GUNU
121F0 ; restricted ; historic          # (𒇰)  CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE
121F1 ; restricted ; historic          # (𒇱)  CUNEIFORM SIGN LAHSHU
121F2 ; restricted ; historic          # (𒇲)  CUNEIFORM SIGN LAL
121F3 ; restricted ; historic          # (𒇳)  CUNEIFORM SIGN LAL TIMES LAL
121F4 ; restricted ; historic          # (𒇴)  CUNEIFORM SIGN LAM
121F5 ; restricted ; historic          # (𒇵)  CUNEIFORM SIGN LAM TIMES KUR
121F6 ; restricted ; historic          # (𒇶)  CUNEIFORM SIGN LAM TIMES KUR PLUS RU
121F7 ; restricted ; historic          # (𒇷)  CUNEIFORM SIGN LI
121F8 ; restricted ; historic          # (𒇸)  CUNEIFORM SIGN LIL
121F9 ; restricted ; historic          # (𒇹)  CUNEIFORM SIGN LIMMU2
121FA ; restricted ; historic          # (𒇺)  CUNEIFORM SIGN LISH
121FB ; restricted ; historic          # (𒇻)  CUNEIFORM SIGN LU
121FC ; restricted ; historic          # (𒇼)  CUNEIFORM SIGN LU TIMES BAD
121FD ; restricted ; historic          # (𒇽)  CUNEIFORM SIGN LU2
121FE ; restricted ; historic          # (𒇾)  CUNEIFORM SIGN LU2 TIMES AL
121FF ; restricted ; historic          # (𒇿)  CUNEIFORM SIGN LU2 TIMES BAD
12200 ; restricted ; historic          # (𒈀)  CUNEIFORM SIGN LU2 TIMES ESH2
12201 ; restricted ; historic          # (𒈁)  CUNEIFORM SIGN LU2 TIMES ESH2 TENU
12202 ; restricted ; historic          # (𒈂)  CUNEIFORM SIGN LU2 TIMES GAN2 TENU
12203 ; restricted ; historic          # (𒈃)  CUNEIFORM SIGN LU2 TIMES HI TIMES BAD
12204 ; restricted ; historic          # (𒈄)  CUNEIFORM SIGN LU2 TIMES IM
12205 ; restricted ; historic          # (𒈅)  CUNEIFORM SIGN LU2 TIMES KAD2
12206 ; restricted ; historic          # (𒈆)  CUNEIFORM SIGN LU2 TIMES KAD3
12207 ; restricted ; historic          # (𒈇)  CUNEIFORM SIGN LU2 TIMES KAD3 PLUS ASH
12208 ; restricted ; historic          # (𒈈)  CUNEIFORM SIGN LU2 TIMES KI
12209 ; restricted ; historic          # (𒈉)  CUNEIFORM SIGN LU2 TIMES LA PLUS ASH
1220A ; restricted ; historic          # (𒈊)  CUNEIFORM SIGN LU2 TIMES LAGAB
1220B ; restricted ; historic          # (𒈋)  CUNEIFORM SIGN LU2 TIMES ME PLUS EN
1220C ; restricted ; historic          # (𒈌)  CUNEIFORM SIGN LU2 TIMES NE
1220D ; restricted ; historic          # (𒈍)  CUNEIFORM SIGN LU2 TIMES NU
1220E ; restricted ; historic          # (𒈎)  CUNEIFORM SIGN LU2 TIMES SI PLUS ASH
1220F ; restricted ; historic          # (𒈏)  CUNEIFORM SIGN LU2 TIMES SIK2 PLUS BU
12210 ; restricted ; historic          # (𒈐)  CUNEIFORM SIGN LU2 TIMES TUG2
12211 ; restricted ; historic          # (𒈑)  CUNEIFORM SIGN LU2 TENU
12212 ; restricted ; historic          # (𒈒)  CUNEIFORM SIGN LU2 CROSSING LU2
12213 ; restricted ; historic          # (𒈓)  CUNEIFORM SIGN LU2 OPPOSING LU2
12214 ; restricted ; historic          # (𒈔)  CUNEIFORM SIGN LU2 SQUARED
12215 ; restricted ; historic          # (𒈕)  CUNEIFORM SIGN LU2 SHESHIG
12216 ; restricted ; historic          # (𒈖)  CUNEIFORM SIGN LU3
12217 ; restricted ; historic          # (𒈗)  CUNEIFORM SIGN LUGAL
12218 ; restricted ; historic          # (𒈘)  CUNEIFORM SIGN LUGAL OVER LUGAL
12219 ; restricted ; historic          # (𒈙)  CUNEIFORM SIGN LUGAL OPPOSING LUGAL
1221A ; restricted ; historic          # (𒈚)  CUNEIFORM SIGN LUGAL SHESHIG
1221B ; restricted ; historic          # (𒈛)  CUNEIFORM SIGN LUH
1221C ; restricted ; historic          # (𒈜)  CUNEIFORM SIGN LUL
1221D ; restricted ; historic          # (𒈝)  CUNEIFORM SIGN LUM
1221E ; restricted ; historic          # (𒈞)  CUNEIFORM SIGN LUM OVER LUM
1221F ; restricted ; historic          # (𒈟)  CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR
12220 ; restricted ; historic          # (𒈠)  CUNEIFORM SIGN MA
12221 ; restricted ; historic          # (𒈡)  CUNEIFORM SIGN MA TIMES TAK4
12222 ; restricted ; historic          # (𒈢)  CUNEIFORM SIGN MA GUNU
12223 ; restricted ; historic          # (𒈣)  CUNEIFORM SIGN MA2
12224 ; restricted ; historic          # (𒈤)  CUNEIFORM SIGN MAH
12225 ; restricted ; historic          # (𒈥)  CUNEIFORM SIGN MAR
12226 ; restricted ; historic          # (𒈦)  CUNEIFORM SIGN MASH
12227 ; restricted ; historic          # (𒈧)  CUNEIFORM SIGN MASH2
12228 ; restricted ; historic          # (𒈨)  CUNEIFORM SIGN ME
12229 ; restricted ; historic          # (𒈩)  CUNEIFORM SIGN MES
1222A ; restricted ; historic          # (𒈪)  CUNEIFORM SIGN MI
1222B ; restricted ; historic          # (𒈫)  CUNEIFORM SIGN MIN
1222C ; restricted ; historic          # (𒈬)  CUNEIFORM SIGN MU
1222D ; restricted ; historic          # (𒈭)  CUNEIFORM SIGN MU OVER MU
1222E ; restricted ; historic          # (𒈮)  CUNEIFORM SIGN MUG
1222F ; restricted ; historic          # (𒈯)  CUNEIFORM SIGN MUG GUNU
12230 ; restricted ; historic          # (𒈰)  CUNEIFORM SIGN MUNSUB
12231 ; restricted ; historic          # (𒈱)  CUNEIFORM SIGN MURGU2
12232 ; restricted ; historic          # (𒈲)  CUNEIFORM SIGN MUSH
12233 ; restricted ; historic          # (𒈳)  CUNEIFORM SIGN MUSH TIMES A
12234 ; restricted ; historic          # (𒈴)  CUNEIFORM SIGN MUSH TIMES KUR
12235 ; restricted ; historic          # (𒈵)  CUNEIFORM SIGN MUSH TIMES ZA
12236 ; restricted ; historic          # (𒈶)  CUNEIFORM SIGN MUSH OVER MUSH
12237 ; restricted ; historic          # (𒈷)  CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA
12238 ; restricted ; historic          # (𒈸)  CUNEIFORM SIGN MUSH CROSSING MUSH
12239 ; restricted ; historic          # (𒈹)  CUNEIFORM SIGN MUSH3
1223A ; restricted ; historic          # (𒈺)  CUNEIFORM SIGN MUSH3 TIMES A
1223B ; restricted ; historic          # (𒈻)  CUNEIFORM SIGN MUSH3 TIMES A PLUS DI
1223C ; restricted ; historic          # (𒈼)  CUNEIFORM SIGN MUSH3 TIMES DI
1223D ; restricted ; historic          # (𒈽)  CUNEIFORM SIGN MUSH3 GUNU
1223E ; restricted ; historic          # (𒈾)  CUNEIFORM SIGN NA
1223F ; restricted ; historic          # (𒈿)  CUNEIFORM SIGN NA2
12240 ; restricted ; historic          # (𒉀)  CUNEIFORM SIGN NAGA
12241 ; restricted ; historic          # (𒉁)  CUNEIFORM SIGN NAGA INVERTED
12242 ; restricted ; historic          # (𒉂)  CUNEIFORM SIGN NAGA TIMES SHU TENU
12243 ; restricted ; historic          # (𒉃)  CUNEIFORM SIGN NAGA OPPOSING NAGA
12244 ; restricted ; historic          # (𒉄)  CUNEIFORM SIGN NAGAR
12245 ; restricted ; historic          # (𒉅)  CUNEIFORM SIGN NAM NUTILLU
12246 ; restricted ; historic          # (𒉆)  CUNEIFORM SIGN NAM
12247 ; restricted ; historic          # (𒉇)  CUNEIFORM SIGN NAM2
12248 ; restricted ; historic          # (𒉈)  CUNEIFORM SIGN NE
12249 ; restricted ; historic          # (𒉉)  CUNEIFORM SIGN NE TIMES A
1224A ; restricted ; historic          # (𒉊)  CUNEIFORM SIGN NE TIMES UD
1224B ; restricted ; historic          # (𒉋)  CUNEIFORM SIGN NE SHESHIG
1224C ; restricted ; historic          # (𒉌)  CUNEIFORM SIGN NI
1224D ; restricted ; historic          # (𒉍)  CUNEIFORM SIGN NI TIMES E
1224E ; restricted ; historic          # (𒉎)  CUNEIFORM SIGN NI2
1224F ; restricted ; historic          # (𒉏)  CUNEIFORM SIGN NIM
12250 ; restricted ; historic          # (𒉐)  CUNEIFORM SIGN NIM TIMES GAN2 TENU
12251 ; restricted ; historic          # (𒉑)  CUNEIFORM SIGN NIM TIMES GAR PLUS GAN2 TENU
12252 ; restricted ; historic          # (𒉒)  CUNEIFORM SIGN NINDA2
12253 ; restricted ; historic          # (𒉓)  CUNEIFORM SIGN NINDA2 TIMES AN
12254 ; restricted ; historic          # (𒉔)  CUNEIFORM SIGN NINDA2 TIMES ASH
12255 ; restricted ; historic          # (𒉕)  CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH
12256 ; restricted ; historic          # (𒉖)  CUNEIFORM SIGN NINDA2 TIMES GUD
12257 ; restricted ; historic          # (𒉗)  CUNEIFORM SIGN NINDA2 TIMES ME PLUS GAN2 TENU
12258 ; restricted ; historic          # (𒉘)  CUNEIFORM SIGN NINDA2 TIMES NE
12259 ; restricted ; historic          # (𒉙)  CUNEIFORM SIGN NINDA2 TIMES NUN
1225A ; restricted ; historic          # (𒉚)  CUNEIFORM SIGN NINDA2 TIMES SHE
1225B ; restricted ; historic          # (𒉛)  CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN
1225C ; restricted ; historic          # (𒉜)  CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH
1225D ; restricted ; historic          # (𒉝)  CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH PLUS ASH
1225E ; restricted ; historic          # (𒉞)  CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH
1225F ; restricted ; historic          # (𒉟)  CUNEIFORM SIGN NINDA2 TIMES USH
12260 ; restricted ; historic          # (𒉠)  CUNEIFORM SIGN NISAG
12261 ; restricted ; historic          # (𒉡)  CUNEIFORM SIGN NU
12262 ; restricted ; historic          # (𒉢)  CUNEIFORM SIGN NU11
12263 ; restricted ; historic          # (𒉣)  CUNEIFORM SIGN NUN
12264 ; restricted ; historic          # (𒉤)  CUNEIFORM SIGN NUN LAGAR TIMES GAR
12265 ; restricted ; historic          # (𒉥)  CUNEIFORM SIGN NUN LAGAR TIMES MASH
12266 ; restricted ; historic          # (𒉦)  CUNEIFORM SIGN NUN LAGAR TIMES SAL
12267 ; restricted ; historic          # (𒉧)  CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL
12268 ; restricted ; historic          # (𒉨)  CUNEIFORM SIGN NUN LAGAR TIMES USH
12269 ; restricted ; historic          # (𒉩)  CUNEIFORM SIGN NUN TENU
1226A ; restricted ; historic          # (𒉪)  CUNEIFORM SIGN NUN OVER NUN
1226B ; restricted ; historic          # (𒉫)  CUNEIFORM SIGN NUN CROSSING NUN
1226C ; restricted ; historic          # (𒉬)  CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR
1226D ; restricted ; historic          # (𒉭)  CUNEIFORM SIGN NUNUZ
1226E ; restricted ; historic          # (𒉮)  CUNEIFORM SIGN NUNUZ AB2 TIMES ASHGAB
1226F ; restricted ; historic          # (𒉯)  CUNEIFORM SIGN NUNUZ AB2 TIMES BI
12270 ; restricted ; historic          # (𒉰)  CUNEIFORM SIGN NUNUZ AB2 TIMES DUG
12271 ; restricted ; historic          # (𒉱)  CUNEIFORM SIGN NUNUZ AB2 TIMES GUD
12272 ; restricted ; historic          # (𒉲)  CUNEIFORM SIGN NUNUZ AB2 TIMES IGI GUNU
12273 ; restricted ; historic          # (𒉳)  CUNEIFORM SIGN NUNUZ AB2 TIMES KAD3
12274 ; restricted ; historic          # (𒉴)  CUNEIFORM SIGN NUNUZ AB2 TIMES LA
12275 ; restricted ; historic          # (𒉵)  CUNEIFORM SIGN NUNUZ AB2 TIMES NE
12276 ; restricted ; historic          # (𒉶)  CUNEIFORM SIGN NUNUZ AB2 TIMES SILA3
12277 ; restricted ; historic          # (𒉷)  CUNEIFORM SIGN NUNUZ AB2 TIMES U2
12278 ; restricted ; historic          # (𒉸)  CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI
12279 ; restricted ; historic          # (𒉹)  CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI U
1227A ; restricted ; historic          # (𒉺)  CUNEIFORM SIGN PA
1227B ; restricted ; historic          # (𒉻)  CUNEIFORM SIGN PAD
1227C ; restricted ; historic          # (𒉼)  CUNEIFORM SIGN PAN
1227D ; restricted ; historic          # (𒉽)  CUNEIFORM SIGN PAP
1227E ; restricted ; historic          # (𒉾)  CUNEIFORM SIGN PESH2
1227F ; restricted ; historic          # (𒉿)  CUNEIFORM SIGN PI
12280 ; restricted ; historic          # (𒊀)  CUNEIFORM SIGN PI TIMES A
12281 ; restricted ; historic          # (𒊁)  CUNEIFORM SIGN PI TIMES AB
12282 ; restricted ; historic          # (𒊂)  CUNEIFORM SIGN PI TIMES BI
12283 ; restricted ; historic          # (𒊃)  CUNEIFORM SIGN PI TIMES BU
12284 ; restricted ; historic          # (𒊄)  CUNEIFORM SIGN PI TIMES E
12285 ; restricted ; historic          # (𒊅)  CUNEIFORM SIGN PI TIMES I
12286 ; restricted ; historic          # (𒊆)  CUNEIFORM SIGN PI TIMES IB
12287 ; restricted ; historic          # (𒊇)  CUNEIFORM SIGN PI TIMES U
12288 ; restricted ; historic          # (𒊈)  CUNEIFORM SIGN PI TIMES U2
12289 ; restricted ; historic          # (𒊉)  CUNEIFORM SIGN PI CROSSING PI
1228A ; restricted ; historic          # (𒊊)  CUNEIFORM SIGN PIRIG
1228B ; restricted ; historic          # (𒊋)  CUNEIFORM SIGN PIRIG TIMES KAL
1228C ; restricted ; historic          # (𒊌)  CUNEIFORM SIGN PIRIG TIMES UD
1228D ; restricted ; historic          # (𒊍)  CUNEIFORM SIGN PIRIG TIMES ZA
1228E ; restricted ; historic          # (𒊎)  CUNEIFORM SIGN PIRIG OPPOSING PIRIG
1228F ; restricted ; historic          # (𒊏)  CUNEIFORM SIGN RA
12290 ; restricted ; historic          # (𒊐)  CUNEIFORM SIGN RAB
12291 ; restricted ; historic          # (𒊑)  CUNEIFORM SIGN RI
12292 ; restricted ; historic          # (𒊒)  CUNEIFORM SIGN RU
12293 ; restricted ; historic          # (𒊓)  CUNEIFORM SIGN SA
12294 ; restricted ; historic          # (𒊔)  CUNEIFORM SIGN SAG NUTILLU
12295 ; restricted ; historic          # (𒊕)  CUNEIFORM SIGN SAG
12296 ; restricted ; historic          # (𒊖)  CUNEIFORM SIGN SAG TIMES A
12297 ; restricted ; historic          # (𒊗)  CUNEIFORM SIGN SAG TIMES DU
12298 ; restricted ; historic          # (𒊘)  CUNEIFORM SIGN SAG TIMES DUB
12299 ; restricted ; historic          # (𒊙)  CUNEIFORM SIGN SAG TIMES HA
1229A ; restricted ; historic          # (𒊚)  CUNEIFORM SIGN SAG TIMES KAK
1229B ; restricted ; historic          # (𒊛)  CUNEIFORM SIGN SAG TIMES KUR
1229C ; restricted ; historic          # (𒊜)  CUNEIFORM SIGN SAG TIMES LUM
1229D ; restricted ; historic          # (𒊝)  CUNEIFORM SIGN SAG TIMES MI
1229E ; restricted ; historic          # (𒊞)  CUNEIFORM SIGN SAG TIMES NUN
1229F ; restricted ; historic          # (𒊟)  CUNEIFORM SIGN SAG TIMES SAL
122A0 ; restricted ; historic          # (𒊠)  CUNEIFORM SIGN SAG TIMES SHID
122A1 ; restricted ; historic          # (𒊡)  CUNEIFORM SIGN SAG TIMES TAB
122A2 ; restricted ; historic          # (𒊢)  CUNEIFORM SIGN SAG TIMES U2
122A3 ; restricted ; historic          # (𒊣)  CUNEIFORM SIGN SAG TIMES UB
122A4 ; restricted ; historic          # (𒊤)  CUNEIFORM SIGN SAG TIMES UM
122A5 ; restricted ; historic          # (𒊥)  CUNEIFORM SIGN SAG TIMES UR
122A6 ; restricted ; historic          # (𒊦)  CUNEIFORM SIGN SAG TIMES USH
122A7 ; restricted ; historic          # (𒊧)  CUNEIFORM SIGN SAG OVER SAG
122A8 ; restricted ; historic          # (𒊨)  CUNEIFORM SIGN SAG GUNU
122A9 ; restricted ; historic          # (𒊩)  CUNEIFORM SIGN SAL
122AA ; restricted ; historic          # (𒊪)  CUNEIFORM SIGN SAL LAGAB TIMES ASH2
122AB ; restricted ; historic          # (𒊫)  CUNEIFORM SIGN SANGA2
122AC ; restricted ; historic          # (𒊬)  CUNEIFORM SIGN SAR
122AD ; restricted ; historic          # (𒊭)  CUNEIFORM SIGN SHA
122AE ; restricted ; historic          # (𒊮)  CUNEIFORM SIGN SHA3
122AF ; restricted ; historic          # (𒊯)  CUNEIFORM SIGN SHA3 TIMES A
122B0 ; restricted ; historic          # (𒊰)  CUNEIFORM SIGN SHA3 TIMES BAD
122B1 ; restricted ; historic          # (𒊱)  CUNEIFORM SIGN SHA3 TIMES GISH
122B2 ; restricted ; historic          # (𒊲)  CUNEIFORM SIGN SHA3 TIMES NE
122B3 ; restricted ; historic          # (𒊳)  CUNEIFORM SIGN SHA3 TIMES SHU2
122B4 ; restricted ; historic          # (𒊴)  CUNEIFORM SIGN SHA3 TIMES TUR
122B5 ; restricted ; historic          # (𒊵)  CUNEIFORM SIGN SHA3 TIMES U
122B6 ; restricted ; historic          # (𒊶)  CUNEIFORM SIGN SHA3 TIMES U PLUS A
122B7 ; restricted ; historic          # (𒊷)  CUNEIFORM SIGN SHA6
122B8 ; restricted ; historic          # (𒊸)  CUNEIFORM SIGN SHAB6
122B9 ; restricted ; historic          # (𒊹)  CUNEIFORM SIGN SHAR2
122BA ; restricted ; historic          # (𒊺)  CUNEIFORM SIGN SHE
122BB ; restricted ; historic          # (𒊻)  CUNEIFORM SIGN SHE HU
122BC ; restricted ; historic          # (𒊼)  CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR
122BD ; restricted ; historic          # (𒊽)  CUNEIFORM SIGN SHE OVER SHE TAB OVER TAB GAR OVER GAR
122BE ; restricted ; historic          # (𒊾)  CUNEIFORM SIGN SHEG9
122BF ; restricted ; historic          # (𒊿)  CUNEIFORM SIGN SHEN
122C0 ; restricted ; historic          # (𒋀)  CUNEIFORM SIGN SHESH
122C1 ; restricted ; historic          # (𒋁)  CUNEIFORM SIGN SHESH2
122C2 ; restricted ; historic          # (𒋂)  CUNEIFORM SIGN SHESHLAM
122C3 ; restricted ; historic          # (𒋃)  CUNEIFORM SIGN SHID
122C4 ; restricted ; historic          # (𒋄)  CUNEIFORM SIGN SHID TIMES A
122C5 ; restricted ; historic          # (𒋅)  CUNEIFORM SIGN SHID TIMES IM
122C6 ; restricted ; historic          # (𒋆)  CUNEIFORM SIGN SHIM
122C7 ; restricted ; historic          # (𒋇)  CUNEIFORM SIGN SHIM TIMES A
122C8 ; restricted ; historic          # (𒋈)  CUNEIFORM SIGN SHIM TIMES BAL
122C9 ; restricted ; historic          # (𒋉)  CUNEIFORM SIGN SHIM TIMES BULUG
122CA ; restricted ; historic          # (𒋊)  CUNEIFORM SIGN SHIM TIMES DIN
122CB ; restricted ; historic          # (𒋋)  CUNEIFORM SIGN SHIM TIMES GAR
122CC ; restricted ; historic          # (𒋌)  CUNEIFORM SIGN SHIM TIMES IGI
122CD ; restricted ; historic          # (𒋍)  CUNEIFORM SIGN SHIM TIMES IGI GUNU
122CE ; restricted ; historic          # (𒋎)  CUNEIFORM SIGN SHIM TIMES KUSHU2
122CF ; restricted ; historic          # (𒋏)  CUNEIFORM SIGN SHIM TIMES LUL
122D0 ; restricted ; historic          # (𒋐)  CUNEIFORM SIGN SHIM TIMES MUG
122D1 ; restricted ; historic          # (𒋑)  CUNEIFORM SIGN SHIM TIMES SAL
122D2 ; restricted ; historic          # (𒋒)  CUNEIFORM SIGN SHINIG
122D3 ; restricted ; historic          # (𒋓)  CUNEIFORM SIGN SHIR
