# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
#  All code points not explicitly listed 
#  have the values: Restricted; Not-Characters
# @missing: 0000..10FFFF; Restricted ; Not-Characters


#	Status/Type:	Recommended

06EE..06FC    ; Allowed ; Recommended          # [15] (ۮ..ۼ)  ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER GHAIN WITH DOT BELOW
06FF          ; Allowed ; Recommended          #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V
0750..07B1    ; Allowed ; Recommended          # [98] (ݐ..ޱ)  ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW..THAANA LETTER NAA
08A0..08AC    ; Allowed ; Recommended          # [13] (ࢠ..ࢬ)  ARABIC LETTER BEH WITH SMALL V BELOW..ARABIC LETTER ROHINGYA YEH
08B2          ; Allowed ; Recommended          #      (ࢲ)  ARABIC LETTER ZAIN WITH INVERTED V ABOVE
0901..094D    ; Allowed ; Recommended          # [77] (ँ..्)  DEVANAGARI SIGN CANDRABINDU..DEVANAGARI SIGN VIRAMA
094F..0950    ; Allowed ; Recommended          #  [2] (ॏ..ॐ)  DEVANAGARI VOWEL SIGN AW..DEVANAGARI OM
0956..0957    ; Allowed ; Recommended          #  [2] (ॖ..ॗ)  DEVANAGARI VOWEL SIGN UE..DEVANAGARI VOWEL SIGN UUE
0960..0963    ; Allowed ; Recommended          #  [4] (ॠ..ॣ)  DEVANAGARI LETTER VOCALIC RR..DEVANAGARI VOWEL SIGN VOCALIC LL
0966..096F    ; Allowed ; Recommended          # [10] (०..९)  DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0971..0977    ; Allowed ; Recommended          #  [7] (ॱ..ॷ)  DEVANAGARI SIGN HIGH SPACING DOT..DEVANAGARI LETTER UUE
0979..097F    ; Allowed ; Recommended          #  [7] (ॹ..ॿ)  DEVANAGARI LETTER ZHA..DEVANAGARI LETTER BBA
0981..0983    ; Allowed ; Recommended          #  [3] (ঁ..ঃ)  BENGALI SIGN CANDRABINDU..BENGALI SIGN VISARGA
0985..098C    ; Allowed ; Recommended          #  [8] (অ..ঌ)  BENGALI LETTER A..BENGALI LETTER VOCALIC L
098F..0990    ; Allowed ; Recommended          #  [2] (এ..ঐ)  BENGALI LETTER E..BENGALI LETTER AI
0993..09A8    ; Allowed ; Recommended          # [22] (ও..ন)  BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0    ; Allowed ; Recommended          #  [7] (প..র)  BENGALI LETTER PA..BENGALI LETTER RA
09B2          ; Allowed ; Recommended          #      (ল)  BENGALI LETTER LA
09B6..09B9    ; Allowed ; Recommended          #  [4] (শ..হ)  BENGALI LETTER SHA..BENGALI LETTER HA
09BC..09C4    ; Allowed ; Recommended          #  [9] (়..ৄ)  BENGALI SIGN NUKTA..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8    ; Allowed ; Recommended          #  [2] (ে..ৈ)  BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CE    ; Allowed ; Recommended          #  [4] (ো..ৎ)  BENGALI VOWEL SIGN O..BENGALI LETTER KHANDA TA
09D7          ; Allowed ; Recommended          #      (ৗ)  BENGALI AU LENGTH MARK
09E0..09E3    ; Allowed ; Recommended          #  [4] (ৠ..ৣ)  BENGALI LETTER VOCALIC RR..BENGALI VOWEL SIGN VOCALIC LL
09E6..09F1    ; Allowed ; Recommended          # [12] (০..ৱ)  BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
0A01..0A03    ; Allowed ; Recommended          #  [3] (ਁ..ਃ)  GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN VISARGA
0A05..0A0A    ; Allowed ; Recommended          #  [6] (ਅ..ਊ)  GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10    ; Allowed ; Recommended          #  [2] (ਏ..ਐ)  GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28    ; Allowed ; Recommended          # [22] (ਓ..ਨ)  GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30    ; Allowed ; Recommended          #  [7] (ਪ..ਰ)  GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32          ; Allowed ; Recommended          #      (ਲ)  GURMUKHI LETTER LA
0A35          ; Allowed ; Recommended          #      (ਵ)  GURMUKHI LETTER VA
0A38..0A39    ; Allowed ; Recommended          #  [2] (ਸ..ਹ)  GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C          ; Allowed ; Recommended          #      (਼)  GURMUKHI SIGN NUKTA
0A3E..0A42    ; Allowed ; Recommended          #  [5] (ਾ..ੂ)  GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48    ; Allowed ; Recommended          #  [2] (ੇ..ੈ)  GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D    ; Allowed ; Recommended          #  [3] (ੋ..੍)  GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A5C          ; Allowed ; Recommended          #      (ੜ)  GURMUKHI LETTER RRA
0A66..0A74    ; Allowed ; Recommended          # [15] (੦..ੴ)  GURMUKHI DIGIT ZERO..GURMUKHI EK ONKAR
0A81..0A83    ; Allowed ; Recommended          #  [3] (ઁ..ઃ)  GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0A85..0A8D    ; Allowed ; Recommended          #  [9] (અ..ઍ)  GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8F..0A91    ; Allowed ; Recommended          #  [3] (એ..ઑ)  GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8    ; Allowed ; Recommended          # [22] (ઓ..ન)  GUJARATI LETTER O..GUJARATI LETTER NA
