#Unicode code point	English annotation
U+01F3A1	ferris wheel, ferris, wheel, amusement park, entertainment
U+01F3A2	roller coaster, roller, coaster, amusement park, entertainment
U+01F3A3	fishing, fishing pole and fish, fish, pole, recreation, entertainment
U+01F3A4	mic, microphone, Karaoke, entertainment
U+01F3A5	movie camera, movie, cinema, entertainment
U+01F3A6	movie, cinema, movie sign, entertainment
U+01F3A7	headphone, entertainment
U+01F3A8	paint palette, artist palette, palette, artist, paint, art
U+01F3A9	top hat, hat, entertainment
U+01F3AA	circus, circus tent, tent, entertainment
U+01F3AB	ticket, entertainment
U+01F3AC	clapperboard, clapper board, clapper, movie, entertainment
U+01F3AD	face mask, performing art, art, entertainment, performing
U+01F3AE	video game, game controller, controller, game
U+01F3AF	bull's eye, direct hit, right on target, target, hit, game
U+01F3B0	slot machine, slot, game
U+01F3B1	billiard, eight ball, game
U+01F3B2	game die, die, dice, game
U+01F3B3	bowling, bowling ball, ball, game
U+01F3B4	playing card, flower card, flower, card game, card, game, Hanafuda
U+01F3B5	musical note, music, note
U+01F3B6	musical notes, music, note, notes
U+01F3B7	sax, saxophone, musical instrument, music, instrument
U+01F3B8	guitar, musical instrument, music, instrument
U+01F3B9	piano, musical keyboard, keyboard, musical instrument, music, instrument
U+01F3BA	trumpet, musical instrument, music, instrument
U+01F3BB	violin, musical instrument, music, instrument
U+01F3BC	music score, music, score
U+01F3BD	running shirt, running shirt with sash, running, shirt, sash, sport
U+01F3BE	tennis, tennis ball, tennis racquet and ball, ball, sport
U+01F3BF	ski, ski and boot, boot, sport
U+01F3C0	basketball, basketball hoop, ball, hoop, sport
U+01F3C1	checkered flag, flag, checkered, racing, sport
U+01F3C2	snowboarder, snowboarding, snowboard, sport
U+01F3C3	runner, running, marathon, sport
U+01F3C4	surfing, surfer, sport
U+01F3C6	trophy, prize
U+01F3C7	horse racing, racing horse, jockey, racing, horse, sport
U+01F3C8	American football, American, ball, sport
U+01F3C9	soccer, soccer ball, ball, sport
U+01F3CA	swimmer, swimming, swim, sport
U+01F3E0	house, building
U+01F3E1	home, house with a garden, house, garden, building
U+01F3E2	office building, office, building
U+01F3E3	post office, Japanese post office, Japanese, post, building
U+01F3E4	post office, European post office, European, post, building
U+01F3E5	hospital, building
U+01F3E6	bank, building
U+01F3E7	ATM, automated teller, automated, teller
U+01F3E8	hotel, building
U+01F3E9	love hotel, love, hotel, building
U+01F3EA	convenience store, convenience, store, building
U+01F3EB	school, school building, building
U+01F3EC	department store, department, store
U+01F3ED	factory, building
U+01F3EE	red lantern, red, lantern, izakaya, bar, restaurant
U+01F3EF	Japanese castle, castle, building
U+01F3F0	European castle, castle, building
U+01F400	Rat, animal
U+01F401	Mouse, animal
U+01F402	Ox, animal
U+01F403	water buffalo, water, buffalo, animal
U+01F404	cow, animal
U+01F405	tiger, animal
U+01F406	leopard, animal
U+01F407	rabbit, bunny, animal
U+01F408	cat, animal
U+01F409	dragon, animal
U+01F40A	crocodile, animal
U+01F40B	whale, animal
U+01F40C	snail, animal
U+01F40D	snake, animal
U+01F40E	horse, animal
U+01F40F	ram, animal
U+01F410	goat, animal
U+01F411	sheep, animal
U+01F412	monkey, animal
U+01F413	rooster, animal
U+01F414	chicken, animal
U+01F415	dog, puppy, animal
U+01F416	pig, animal
U+01F417	boar, animal
U+01F418	elephant, animal
U+01F419	octopus, animal
U+01F41A	shell, spiral shell, animal
U+01F41B	bug, centipede, caterpillar, animal
U+01F41C	ant, animal
U+01F41D	honeybee, bee, animal
U+01F41E	lady beetle, ladybug, lady, beetle, animal
U+01F41F	fish, animal
U+01F420	tropical fish, fish, animal
U+01F421	blowfish, fish, animal
U+01F422	turtle, animal
U+01F423	hatching chick, baby chick, hatching, baby, chick, chicken, animal
U+01F424	baby chick, baby, chick, chicken, animal
U+01F425	baby chick, front facing baby chick, baby, chick, chicken, animal
U+01F426	bird, animal
U+01F427	penguin, animal
U+01F428	koala, koala bear, animal
U+01F429	poodle, dog, animal
U+01F42A	one hump camel, hump, camel, dromedary, animal
U+01F42B	two hump camel, hump, camel, bactrian, animal
U+01F42C	dolphin, animal
U+01F42D	mouse face, mouse, face, animal
U+01F42E	cow face, cow, face, animal
U+01F42F	tiger face, tiger, animal
U+01F430	rabbit face, rabbit, face, animal
U+01F431	cat face, cat, face, animal
U+01F432	dragon face, dragon, face, animal
U+01F433	spouting whale, spouting, whale, animal
U+01F434	horse face, horse, face, animal
U+01F435	monkey face, monkey, face, animal
U+01F436	dog face, dog, face, animal
U+01F437	pig face, pig, face, animal
U+01F438	frog face, frog, face, animal
U+01F439	hamster face, hamster, face, animal
U+01F43A	wolf face, wolf, face, animal
U+01F43B	bear face, bear, face, animal
U+01F43C	panda face, panda, face, animal
U+01F43D	pig nose, nose, pig, face, animal
U+01F43E	paw, paw print, print, animal
U+01F440	eyes, face
U+01F442	ear, body
U+01F443	nose, face, body
U+01F444	mouth, lips, face, body
U+01F445	tongue, face, body
U+01F446	up finger, finger pointing up, index finger, backhand, finger
U+01F447	down finger, finger pointing down, index finger, backhand, finger
U+01F448	left finger, finger pointing left, index finger, backhand, finger
U+01F449	right finger, finger pointing right, index finger, backhand, finger
U+01F44A	clenched fist, fist, hand
U+01F44B	hand waving, hand, waving
U+01F44C	OK sign, OK hand sign, OK, hand, sign
U+01F44D	thumbs up, thumbs, up, hand, sign
U+01F44E	thumbs down, thumbs, down, hand, sign
U+01F44F	hands clapping, hands, clapping, sign
U+01F450	open hands, open hands sign, hand, open, sign
U+01F451	crown, clothing
U+01F452	woman's hat, hat, clothing
U+01F453	eyeglasses, glasses, clothing
U+01F454	necktie, tie, clothing
U+01F455	T-shirt, shirt, clothing
U+01F456	trousers, jeans, pants, clothing
U+01F457	dress, one-piece, clothing
U+01F458	kimono, dress, clothing
U+01F459	bikini, bathing suit, clothing
U+01F45A	woman's clothes, clothes, clothing
U+01F45B	purse, coin purse, coin, clothing
U+01F45C	handbag, bag, clothing
U+01F45D	pouch, bag, clothing
U+01F45E	man's shoe, shoe, clothing
U+01F45F	athletic shoe, sneaker, shoe, clothing
U+01F460	high-heel, shoe, clothing
U+01F461	woman's sandal, sandal, woman, clothing
U+01F462	woman's boot, boot, woman, clothing
U+01F463	footprint, foot, print, body
U+01F464	bust in silhouette, bust, silhouette, people
U+01F465	busts in silhouette, bust, silhouette, people
U+01F466	boy, people
U+01F467	girl, people
U+01F468	man, people
U+01F469	woman, people
U+01F46A	family, father, mother, child, people
U+01F46B	man and woman, couple, man and woman holding hands, man, woman, holding hands, people
U+01F46C	two men, couple, two men holding hands, man, holding hands, people
U+01F46D	two women, couple, two women holding hands, woman, holding hands, people
U+01F46E	police officer, police, officer, people
U+01F46F	bunny girl, bunny ears, girl, woman, people
U+01F470	bride, bride with a veil, veil, wedding, people
U+01F471	blond person, blond, people
U+01F472	man, man with gua pi mao, gua pi mao, people
U+01F473	man, man with a turban, turban, people
U+01F474	older man, man, older, people
U+01F475	older woman, woman, older, people
U+01F476	baby, people
U+01F477	construction worker, construction, worker, people
U+01F478	princess, fairy tale, people
U+01F479	ogre, monster, oni, fairy tale, Japanese ogre, face
U+01F47A	goblin, monster, tengu, fairy tale, Japanese goblin, face
U+01F47B	ghost, fairy tale, face
U+01F47C	baby angel, angel, fairy tale, face
U+01F47D	alien, extraterrestrial, UFO, fairy tale, face
U+01F47E	alien monster, monster, UFO, fairy tale, face
U+01F47F	imp, little devil, devil, face
U+01F480	skull, fairy tale, body, face
U+01F481	information desk, help, information, people
U+01F482	guardsman, guard, people
U+01F483	dancer, dance, people
U+01F484	lipstick, makeup, cosmetics
U+01F485	nail care, nail, manicure, nail polish, cosmetics
U+01F486	face massage, massage, salon
U+01F487	haircut, beauty parlor, beauty, parlor
U+01F488	barber shop, barber pole, barber, pole
U+01F489	shot, syringe, needle, medicine, doctor
U+01F48A	pill, medicine, doctor
U+01F48B	kiss mark, lips, kiss, romance
U+01F48C	love letter, mail with a heart, letter, heart, romance
U+01F48D	ring, romance
U+01F48E	gem, gem stone, diamond, romance
U+01F48F	kiss, kissing, people, romance
U+01F490	bouquet, flower, romance
U+01F491	couple, couple with a heart, heart, people, romance
U+01F492	wedding chapel, wedding, chapel, romance
U+01F493	pulsating heart, pulsating, beating, heart, love, emotion
U+01F494	heart break, broken heart, break, heart, broken, emotion
U+01F495	two hearts, lovers, love, emotion
U+01F496	sparkling heart, excited, sparkling, love, emotion
U+01F497	growing heart, nervous, excited, heart, love, emotion
U+01F498	heart and arrow, heart, arrow, love, emotion
U+01F499	blue heart, blue, heart, emotion
U+01F49A	green heart, green, heart, emotion
U+01F49B	yellow heart, yellow, heart, emotion
U+01F49C	purple heart, purple, heart, emotion
U+01F49D	heart with ribbon, heart, ribbon, Valentine, emotion
U+01F49E	revolving hearts, heart, revolving, cute, kawaii, love, adorable, emotion
U+01F49F	heart decoration, heart
U+01F4A0	flower petal, cute, flower, diamond shape. diamond, emotion
U+01F4A1	light bulb, got an idea, electric, light, bulb, comic
U+01F4A2	anger, anger sign, angry, comic, emotion
U+01F4A3	bomb, comic, emotion
U+01F4A4	sleepy, Zzz, sleeping, snoring, comic, emotion
U+01F4A5	collision, collision symbol, comic, emotion
U+01F4A6	splashing sweat, sweat, sweaty, comic, emotion
U+01F4A7	cold sweat, sweat, sweaty, comic
U+01F4A8	running dash, run away, run, comic, emotion
U+01F4A9	poop, pile of poo, poo, dung, pile
U+01F4AA	biceps, muscle flex, muscle, strong, flex, comic
U+01F4AB	dizzy, seeing stars, stars, comic, emotion
U+01F4AC	speech balloon, speech bubble, dialog bubble, balloon, bubble, dialog, comic
U+01F4AD	thought balloon, thought bubble, thought, bubble, comic
U+01F4AE	flower stamp, well done stamp, flower, stamp
U+01F4AF	full score, 100 points, 100, score
U+01F4B0	money bag, dollar bag, money, bag
U+01F4B1	currency exchange, currency, money, exchange
U+01F4B2	dollar sign, bold dollar sign, dollar, money
U+01F4B3	credit card, card, credit
U+01F4B4	yen note, banknote, yen, money, bill, note
U+01F4B5	dollar note, banknote, dollar, money, bill, note
U+01F4B6	Euro note, Euro, banknote, money, bill, note
U+01F4B7	Pound note, pound, banknote, money
U+01F4B8	flying money, money with wings, flying banknote, bank, note, money
U+01F4B9	rising market, upward chart, upward, chart, market
U+01F4BA	seat, chair
U+01F4BB	PC, personal computer, computer, personal
U+01F4BC	briefcase, 
U+01F4BD	MD, mini disc, disc
U+01F4BE	floppy disc, floppy, disc
U+01F4BF	blu-ray, DVD, CD, optical disc, disc
U+01F4C0	DVD, DVD disc, disc
U+01F4C1	file folder, file, folder
U+01F4C2	open folder, open file folder, open, file, folder
U+01F4C3	document, page with a curl, page
U+01F4C4	document, page with face up, face up, page
U+01F4C5	calendar
U+01F4C6	tear-off calendar, calendar
U+01F4C7	card index, rolodex, index
U+01F4C8	upward trend, upward trend chart, chart, graph, upward
U+01F4C9	downward trend, downward trend chart, chart, graph, downward
U+01F4CA	bar graph, bar chart, chart
U+01F4CB	clipboard
U+01F4CC	pushpin, pin
U+01F4CD	round pushpin, pushpin, pin
U+01F4CE	paperclip, clip
U+01F4CF	straight ruler, ruler
U+01F4D0	triangle ruler, triangle, set square, ruler
U+01F4D1	bookmark tabs, marker, tabs, bookmark
U+01F4D2	ledger, notebook
U+01F4D3	notebook
U+01F4D4	decorated notebook, notebook with decoration, notebook, cover
U+01F4D5	closed book, book
U+01F4D6	open book, book
U+01F4D7	green book, book
U+01F4D8	book, blue book
U+01F4D9	orange book, book
U+01F4DA	books, book
U+01F4DB	name badge, badge, name
U+01F4DC	scroll, paper scroll
U+01F4DD	memo, memo book, communication
U+01F4DE	phone, telephone, phone receiver, communication
U+01F4DF	pager, communication
U+01F4E0	fax, fax machine, communication
U+01F4E1	satellite dish, satellite antenna, antenna, dish, satellite, communication
U+01F4E2	loudspeaker, public address, hand speaker, communication
U+01F4E3	megaphone, cheering, communication
U+01F4E4	sent mail, sent box, mail, sent, box, outbox, tray, communication
U+01F4E5	Inbox, received mail, mail, received, box, tray, communication
U+01F4E6	package, parcel, box
U+01F4E7	email, mail, letter, communication
U+01F4E8	incoming mail, received mail, incoming, email, mail, letter, envelope, communication
U+01F4E9	outgoing mail, sent mail, outgoing, email, mail, letter, envelope, communication
U+01F4EA	mailbox, closed, mailbox with a lowered flag, mail, flag
U+01F4EB	mailbox, closed, mailbox with a raised flag, mail, flag
U+01F4EC	mailbox, open, open mailbox with a raised flag, mail, flag
U+01F4ED	mailbox, open, open mailbox with a lowered flag, mail, flag
U+01F4EE	postbox
U+01F4EF	postal horn, postal, horn
U+01F4F0	newspaper, news, paper
U+01F4F1	cell phone, mobile phone, phone
U+01F4F2	cell phone with arrow, make a call, mobile phone, phone
U+01F4F3	vibration mode, cell phone, mobile, phone, mode
U+01F4F4	phone off, cell phone off, cell phone, mobile, phone, off
U+01F4F5	no cell phone, no calls, mobile, phone
U+01F4F6	mobile signals, antenna with bars, signal strength, signal, antenna, mobile, phone
U+01F4F7	camera
U+01F4F9	video cam, camera, video
U+01F4FA	TV, television
U+01F4FB	radio
U+01F4FC	video tape, video, tape
U+01F500	crossed arrows, crossed right arrows, arrows
U+01F501	clockwise arrows, clockwise, arrows
U+01F502	clockwise arrows, clockwise arrows with number 1, clockwise, arrows, number 1
U+01F503	reload, reload sign, vertical clockwise arrows, arrows
U+01F504	anti-clockwise arrows, anti-clockwise, arrows
U+01F505	low brightness, low, dim, low brightness sign, brightness
U+01F506	high brightness, bright, high brightness sign, brightness
U+01F507	no speaking, quiet please, quiet, speaker with cancellation mark
U+01F508	speaker, loudspeaker
U+01F509	speaker, low volume, low, speaker with low volume
U+01F50A	speaker, high volume, high, speaker with loud volume
U+01F50B	battery
U+01F50C	electric plug, electric
U+01F50D	magnifying glass, search, left-pointing magnifying glass, left-pointing, glass
U+01F50E	magnifying glass, search, right-pointing magnifying glass, right-pointing, glass
U+01F50F	lock, privacy, lock with an ink pen, ink pen
U+01F510	closed lock, lock with a key, secure
U+01F511	key, password
U+01F512	lock, closed lock
U+01F513	lock, open lock
U+01F514	bell, chapel
U+01F515	no bell, no sound, bell with cancellation sign, bell
U+01F516	bookmark
U+01F517	link sign, links, two rings
U+01F518	radio button, button, radio
U+01F519	back, back arrow, back with left arrow, left arrow, arrow
U+01F51A	end, end arrow, end with left arrow, left arrow, arrow
