# File: MathClassEx.txt
# Revision: 16.0
# Date: 2025-07-01
#
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr25/
#
# ------------------------------------------------
# This file is a classification of characters based on their usage in
# mathematical notation and providing a mapping to standard entity
# sets commonly used for SGML and MathML documents.
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time.
#
# This file is *NOT* formally part of the Unicode Character Database
# at this time.
#
# The character encoding of this plain-text file is UTF-8.
#
# The data consists of 8 fields. The number and type of fields may change
# in future versions of this file.
#
# 1: code point or range
#
# 2: class, one of:
#
#	N - Normal - includes all digits and symbols requiring only one form
#	A - Alphabetic
#	B - Binary
#	C - Closing - usually paired with opening delimiter
#	D - Diacritic
#	F - Fence - unpaired delimiter (often used as opening or closing)
#	G - Glyph_Part - piece of large operator
#	L - Large - n-ary or large operator, often takes limits
#	O - Opening - usually paired with closing delimiter
#	P - Punctuation
#	R - Relation - includes arrows
#	S - Space
#	U - Unary - operators that are only unary
#	V - Vary - operators that can be unary or binary depending on context
#	X - Special - characters not covered by other classes
#
# The C, O, and F operators are stretchy. In addition, some binary operators such
# as U+002F are stretchy as noted in the descriptive comments. The classes are
# also useful in determining extra spacing around the operators as discussed
# in UTR #25.
#
# 3: entity name
#
# 4: entity set
#
# 5: descriptive comments (of various types)
# The descriptive comments provide more information about a character,
# or its specific appearance. Some descriptions contain common macro
# names (with slash) but in the majority of cases, the description is
# simply the description of the entity in the published entity set, if
# different from the formal Unicode character name. Minor differences
# in word order, punctuation and verb forms have been ignored, but not
# systematic differences in terminology, such as filled vs. black.
# In principle this allows location of entities by their description.
#
# 6: Comment with Unicode General Category, character (UTf-8)
#    and Unicode character name or names
#    Character names are provided for ease of reference only.
#
# Fields are delimited by ';'.
# Spaces adjacent to the delimiter or the '#' are not significant
# Future versions of this file may use different amounts of whitespace.
#
# Some character positions in the Mathematical Alphanumeric Symbols block are
# reserved and have been mapped to the Letterlike Symbols block in Unicode.
# This is indicated in 24 special purpose comments.
#
# The character repertoire of this revision is the repertoire of Unicode
# Version 17.0. For more information see Revision 16 or later of UTR #25.
# ------------------------------------------------

#code point;class;entity;set;note/description # comment/Unicode name
208B;N;;;subscript operators # Sm (₋) SUBSCRIPT MINUS
208C;N;;;subscript operators # Sm (₌) SUBSCRIPT EQUALS SIGN
208D;N;;;subscript operators # Ps (₍) SUBSCRIPT LEFT PARENTHESIS
208E;N;;;subscript operators # Pe (₎) SUBSCRIPT RIGHT PARENTHESIS
20D0;D;;; # Mn (⃐) COMBINING LEFT HARPOON ABOVE
20D1;D;;; # Mn (⃑) COMBINING RIGHT HARPOON ABOVE
20D2;D;;; # Mn (⃒) COMBINING LONG VERTICAL LINE OVERLAY
20D3;X;;; # Mn (⃓) COMBINING SHORT VERTICAL LINE OVERLAY
20D4;D;;; # Mn (⃔) COMBINING ANTICLOCKWISE ARROW ABOVE
20D5;D;;; # Mn (⃕) COMBINING CLOCKWISE ARROW ABOVE
20D6;D;;; # Mn (⃖) COMBINING LEFT ARROW ABOVE
20D7;D;;; # Mn (⃗) COMBINING RIGHT ARROW ABOVE
20D8;D;;; # Mn (⃘) COMBINING RING OVERLAY
20D9;D;;; # Mn (⃙) COMBINING CLOCKWISE RING OVERLAY
20DA;D;;; # Mn (⃚) COMBINING ANTICLOCKWISE RING OVERLAY
20DB;D;tdot TripleDot;HTML-MathML; # Mn (⃛) COMBINING THREE DOTS ABOVE
20DC;D;DotDot;HTML-MathML; # Mn (⃜) COMBINING FOUR DOTS ABOVE
20DD;D;;; # Me (⃝) COMBINING ENCLOSING CIRCLE
20DE;D;;; # Me (⃞) COMBINING ENCLOSING SQUARE
20DF;D;;; # Me (⃟) COMBINING ENCLOSING DIAMOND
20E1;D;;; # Mn (⃡) COMBINING LEFT RIGHT ARROW ABOVE
20E4;D;;; # Me (⃤) COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5;D;;; # Mn (⃥) COMBINING REVERSE SOLIDUS OVERLAY
20E6;D;;; # Mn (⃦) COMBINING DOUBLE VERTICAL STROKE OVERLAY
20E7;D;;;actuary # Mn (⃧) COMBINING ANNUITY SYMBOL
20E8;D;;; # Mn (⃨) COMBINING TRIPLE UNDERDOT
20E9;D;;; # Mn (⃩) COMBINING WIDE BRIDGE ABOVE
20EA;D;;; # Mn (⃪) COMBINING LEFTWARDS ARROW OVERLAY
20EB;D;;; # Mn (⃫) COMBINING LONG DOUBLE SOLIDUS OVERLAY
20EC;D;;; # Mn (⃬) COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
20ED;D;;; # Mn (⃭) COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
20EE;D;;; # Mn (⃮) COMBINING LEFT ARROW BELOW
20EF;D;;; # Mn (⃯) COMBINING RIGHT ARROW BELOW
2102;A;Copf complexes;HTML-MathML;/Bbb C, open face C # Lu (ℂ) DOUBLE-STRUCK CAPITAL C
2107;N;;; # Lu (ℇ) EULER CONSTANT
210A;A;gscr;HTML-MathML;/scr g # Ll (ℊ) SCRIPT SMALL G
210B;A;hamilt HilbertSpace Hscr;HTML-MathML;/scr H # Lu (ℋ) SCRIPT CAPITAL H
210C;A;Hfr Poincareplane;HTML-MathML;/frak H # Lu (ℌ) BLACK-LETTER CAPITAL H
210D;A;quaternions Hopf;HTML-MathML;/Bbb H # Lu (ℍ) DOUBLE-STRUCK CAPITAL H
210E;N;planckh;HTML-MathML; # Ll (ℎ) PLANCK CONSTANT
210F;N;planck hbar plankv hslash;HTML-MathML;/hslash - variant # Ll (ℏ) PLANCK CONSTANT OVER TWO PI
2110;A;Iscr imagline;HTML-MathML;/scr I # Lu (ℐ) SCRIPT CAPITAL I
2111;A;image Im imagpart Ifr;HTML-MathML;imaginary part # Lu (ℑ) BLACK-LETTER CAPITAL I
2112;A;Lscr lagran Laplacetrf;HTML-MathML;Lagrangian # Lu (ℒ) SCRIPT CAPITAL L
2113;A;ell;HTML-MathML;cursive small l # Ll (ℓ) SCRIPT SMALL L
2115;A;Nopf naturals;HTML-MathML;/Bbb N, open face N # Lu (ℕ) DOUBLE-STRUCK CAPITAL N
2118;A;weierp wp;HTML-MathML;Weierstrass p (Unicode name is a misnomer) # Sm (℘) SCRIPT CAPITAL P
2119;A;Popf primes;HTML-MathML;/Bbb P, open face P # Lu (ℙ) DOUBLE-STRUCK CAPITAL P
211A;A;rationals Qopf;HTML-MathML;/Bbb Q, open face Q # Lu (ℚ) DOUBLE-STRUCK CAPITAL Q
211B;A;Rscr realine;HTML-MathML;/scr R # Lu (ℛ) SCRIPT CAPITAL R
211C;A;real Re realpart Rfr;HTML-MathML; # Lu (ℜ) BLACK-LETTER CAPITAL R
211D;A;reals Ropf;HTML-MathML;/Bbb R, open face R # Lu (ℝ) DOUBLE-STRUCK CAPITAL R
2124;A;integers Zopf;HTML-MathML;/Bbb Z, open face Z # Lu (ℤ) DOUBLE-STRUCK CAPITAL Z
2126;N;;;(deprecated in math, use greek letter) # Lu (Ω) OHM SIGN
2127;N;mho;HTML-MathML;conductance # So (℧) INVERTED OHM SIGN
2128;A;Zfr zeetrf;HTML-MathML;/frak Z # Lu (ℨ) BLACK-LETTER CAPITAL Z
2129;N;iiota;HTML-MathML;inverted iota # So (℩) TURNED GREEK SMALL LETTER IOTA
212B;A;;;Angstrom capital A, ring (deprecated in math) # Lu (Å) ANGSTROM SIGN
212C;A;bernou Bernoullis Bscr;HTML-MathML;Bernoulli function # Lu (ℬ) SCRIPT CAPITAL B
212D;A;Cfr Cayleys;HTML-MathML; # Lu (ℭ) BLACK-LETTER CAPITAL C
212F;A;escr;HTML-MathML;/scr e # Ll (ℯ) SCRIPT SMALL E
2130;A;Escr expectation;HTML-MathML;/scr E # Lu (ℰ) SCRIPT CAPITAL E
2131;A;Fscr Fouriertrf;HTML-MathML;/scr F # Lu (ℱ) SCRIPT CAPITAL F
2132;N;;; # Lu (Ⅎ) TURNED CAPITAL F
2133;A;phmmat Mellintrf Mscr;HTML-MathML;physics M-matrix # Lu (ℳ) SCRIPT CAPITAL M
2134;A;order orderof oscr;HTML-MathML;order of # Ll (ℴ) SCRIPT SMALL O
2135;A;alefsym aleph;HTML-MathML;aleph, Hebrew # Lo (ℵ) ALEF SYMBOL
2136;A;beth;HTML-MathML;beth, Hebrew # Lo (ℶ) BET SYMBOL
2137;A;gimel;HTML-MathML;gimel, Hebrew # Lo (ℷ) GIMEL SYMBOL
2138;A;daleth;HTML-MathML;daleth, Hebrew # Lo (ℸ) DALET SYMBOL
213C;A;;; # Ll (ℼ) DOUBLE-STRUCK SMALL PI
213D;A;;; # Ll (ℽ) DOUBLE-STRUCK SMALL GAMMA
213E;N;;; # Lu (ℾ) DOUBLE-STRUCK CAPITAL GAMMA
213F;A;;; # Lu (ℿ) DOUBLE-STRUCK CAPITAL PI
2140;L;;; # Sm (⅀) DOUBLE-STRUCK N-ARY SUMMATION
2141;N;;; # Sm (⅁) TURNED SANS-SERIF CAPITAL G
2142;N;;; # Sm (⅂) TURNED SANS-SERIF CAPITAL L
2143;N;;; # Sm (⅃) REVERSED SANS-SERIF CAPITAL L
2144;N;;; # Sm (⅄) TURNED SANS-SERIF CAPITAL Y
2145;N;CapitalDifferentialD DD;HTML-MathML; # Lu (ⅅ) DOUBLE-STRUCK ITALIC CAPITAL D
2146;N;DifferentialD dd;HTML-MathML; # Ll (ⅆ) DOUBLE-STRUCK ITALIC SMALL D
2147;N;ExponentialE exponentiale ee;HTML-MathML; # Ll (ⅇ) DOUBLE-STRUCK ITALIC SMALL E
2148;N;ImaginaryI ii;HTML-MathML; # Ll (ⅈ) DOUBLE-STRUCK ITALIC SMALL I
2149;N;;; # Ll (ⅉ) DOUBLE-STRUCK ITALIC SMALL J
214B;N;;; # Sm (⅋) TURNED AMPERSAND
2190;R;larr leftarrow LeftArrow slarr ShortLeftArrow;HTML-MathML;/leftarrow /gets # Sm (←) LEFTWARDS ARROW
2191;R;uarr uparrow UpArrow ShortUpArrow;HTML-MathML; # Sm (↑) UPWARDS ARROW
2192;R;rarr rightarrow RightArrow srarr ShortRightArrow;HTML-MathML;/rightarrow /to # Sm (→) RIGHTWARDS ARROW
2193;R;darr downarrow DownArrow ShortDownArrow;HTML-MathML; # Sm (↓) DOWNWARDS ARROW
2194;R;harr leftrightarrow LeftRightArrow;HTML-MathML;left and right arrow # Sm (↔) LEFT RIGHT ARROW
2195;R;varr updownarrow UpDownArrow;HTML-MathML;up and down arrow # So (↕) UP DOWN ARROW
2196;R;nwarr UpperLeftArrow nwarrow;HTML-MathML;NW pointing arrow # So (↖) NORTH WEST ARROW
2197;R;nearr UpperRightArrow nearrow;HTML-MathML;NE pointing arrow # So (↗) NORTH EAST ARROW
2198;R;searr searrow LowerRightArrow;HTML-MathML;SE pointing arrow # So (↘) SOUTH EAST ARROW
2199;R;swarr swarrow LowerLeftArrow;HTML-MathML;SW pointing arrow # So (↙) SOUTH WEST ARROW
219A;R;nlarr nleftarrow;HTML-MathML;not left arrow # Sm (↚) LEFTWARDS ARROW WITH STROKE
219B;R;nrarr nrightarrow;HTML-MathML;not right arrow # Sm (↛) RIGHTWARDS ARROW WITH STROKE
219C;R;;;left arrow-wavy # So (↜) LEFTWARDS WAVE ARROW
219D;R;rarrw rightsquigarrow;HTML-MathML;right arrow-wavy # So (↝) RIGHTWARDS WAVE ARROW
219E;R;Larr twoheadleftarrow;HTML-MathML; # So (↞) LEFTWARDS TWO HEADED ARROW
219F;R;Uarr;HTML-MathML; # So (↟) UPWARDS TWO HEADED ARROW
21A0;R;Rarr twoheadrightarrow;HTML-MathML; # Sm (↠) RIGHTWARDS TWO HEADED ARROW
21A1;R;Darr;HTML-MathML; # So (↡) DOWNWARDS TWO HEADED ARROW
21A2;R;larrtl leftarrowtail;HTML-MathML;left arrow-tailed # So (↢) LEFTWARDS ARROW WITH TAIL
21A3;R;rarrtl rightarrowtail;HTML-MathML;right arrow-tailed # Sm (↣) RIGHTWARDS ARROW WITH TAIL
21A4;R;LeftTeeArrow mapstoleft;HTML-MathML;maps to, leftward # So (↤) LEFTWARDS ARROW FROM BAR
21A5;R;UpTeeArrow mapstoup;HTML-MathML;maps to, upward # So (↥) UPWARDS ARROW FROM BAR
21A6;R;map RightTeeArrow mapsto;HTML-MathML;maps to, rightward # Sm (↦) RIGHTWARDS ARROW FROM BAR
21A7;R;DownTeeArrow mapstodown;HTML-MathML;maps to, downward # So (↧) DOWNWARDS ARROW FROM BAR
21A8;R;;;up and down arrow, bar under # So (↨) UP DOWN ARROW WITH BASE
21A9;R;larrhk hookleftarrow;HTML-MathML; # So (↩) LEFTWARDS ARROW WITH HOOK
21AA;R;rarrhk hookrightarrow;HTML-MathML; # So (↪) RIGHTWARDS ARROW WITH HOOK
21AB;R;larrlp looparrowleft;HTML-MathML; # So (↫) LEFTWARDS ARROW WITH LOOP
21AC;R;rarrlp looparrowright;HTML-MathML; # So (↬) RIGHTWARDS ARROW WITH LOOP
21AD;R;harrw leftrightsquigarrow;HTML-MathML;left and right arrow-wavy # So (↭) LEFT RIGHT WAVE ARROW
21AE;R;nharr nleftrightarrow;HTML-MathML;not left and right arrow # Sm (↮) LEFT RIGHT ARROW WITH STROKE
21AF;R;;; # So (↯) DOWNWARDS ZIGZAG ARROW
21B0;R;lsh Lsh;HTML-MathML;/Lsh # So (↰) UPWARDS ARROW WITH TIP LEFTWARDS
21B1;R;rsh Rsh;HTML-MathML;/Rsh # So (↱) UPWARDS ARROW WITH TIP RIGHTWARDS
21B2;R;ldsh;HTML-MathML;left down angled arrow # So (↲) DOWNWARDS ARROW WITH TIP LEFTWARDS
21B3;R;rdsh;HTML-MathML;right down angled arrow # So (↳) DOWNWARDS ARROW WITH TIP RIGHTWARDS
21B6;R;cularr curvearrowleft;HTML-MathML;left curved arrow # So (↶) ANTICLOCKWISE TOP SEMICIRCLE ARROW
21B7;R;curarr curvearrowright;HTML-MathML;right curved arrow # So (↷) CLOCKWISE TOP SEMICIRCLE ARROW
21BA;R;olarr circlearrowleft;HTML-MathML; # So (↺) ANTICLOCKWISE OPEN CIRCLE ARROW
21BB;R;orarr circlearrowright;HTML-MathML; # So (↻) CLOCKWISE OPEN CIRCLE ARROW
21BC;R;lharu LeftVector leftharpoonup;HTML-MathML;left harpoon-up # So (↼) LEFTWARDS HARPOON WITH BARB UPWARDS
21BD;R;lhard leftharpoondown DownLeftVector;HTML-MathML;left harpoon-down # So (↽) LEFTWARDS HARPOON WITH BARB DOWNWARDS
21BE;R;uharr upharpoonright RightUpVector;HTML-MathML;/upharpoonright /restriction up harpoon-right # So (↾) UPWARDS HARPOON WITH BARB RIGHTWARDS
21BF;R;uharl upharpoonleft LeftUpVector;HTML-MathML;up harpoon-left # So (↿) UPWARDS HARPOON WITH BARB LEFTWARDS
21C0;R;rharu RightVector rightharpoonup;HTML-MathML;right harpoon-up # So (⇀) RIGHTWARDS HARPOON WITH BARB UPWARDS
21C1;R;rhard rightharpoondown DownRightVector;HTML-MathML;right harpoon-down # So (⇁) RIGHTWARDS HARPOON WITH BARB DOWNWARDS
21C2;R;dharr RightDownVector downharpoonright;HTML-MathML;down harpoon-right # So (⇂) DOWNWARDS HARPOON WITH BARB RIGHTWARDS
21C3;R;dharl LeftDownVector downharpoonleft;HTML-MathML;down harpoon-left # So (⇃) DOWNWARDS HARPOON WITH BARB LEFTWARDS
21C4;R;rlarr rightleftarrows RightArrowLeftArrow;HTML-MathML;right arrow over left arrow # So (⇄) RIGHTWARDS ARROW OVER LEFTWARDS ARROW
21C5;R;udarr UpArrowDownArrow;HTML-MathML;up arrow, down arrow # So (⇅) UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
21C6;R;lrarr leftrightarrows LeftArrowRightArrow;HTML-MathML;left arrow over right arrow # So (⇆) LEFTWARDS ARROW OVER RIGHTWARDS ARROW
21C7;R;llarr leftleftarrows;HTML-MathML;two left arrows # So (⇇) LEFTWARDS PAIRED ARROWS
21C8;R;uuarr upuparrows;HTML-MathML;two up arrows # So (⇈) UPWARDS PAIRED ARROWS
21C9;R;rrarr rightrightarrows;HTML-MathML;two right arrows # So (⇉) RIGHTWARDS PAIRED ARROWS
21CA;R;ddarr downdownarrows;HTML-MathML;two down arrows # So (⇊) DOWNWARDS PAIRED ARROWS
21CB;R;lrhar ReverseEquilibrium leftrightharpoons;HTML-MathML;left harpoon over right # So (⇋) LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
21CC;R;rlhar rightleftharpoons Equilibrium;HTML-MathML;right harpoon over left # So (⇌) RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
21CD;R;nlArr nLeftarrow;HTML-MathML;not implied by # So (⇍) LEFTWARDS DOUBLE ARROW WITH STROKE
21CE;R;nhArr nLeftrightarrow;HTML-MathML;not left and right double arrows # Sm (⇎) LEFT RIGHT DOUBLE ARROW WITH STROKE
21CF;R;nrArr nRightarrow;HTML-MathML;not implies # Sm (⇏) RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0;R;lArr Leftarrow DoubleLeftArrow;HTML-MathML;is implied by # So (⇐) LEFTWARDS DOUBLE ARROW
21D1;R;uArr Uparrow DoubleUpArrow;HTML-MathML;up double arrow # So (⇑) UPWARDS DOUBLE ARROW
21D2;R;rArr Rightarrow Implies DoubleRightArrow;HTML-MathML;implies # Sm (⇒) RIGHTWARDS DOUBLE ARROW
21D3;R;dArr Downarrow DoubleDownArrow;HTML-MathML;down double arrow # So (⇓) DOWNWARDS DOUBLE ARROW
21D4;R;hArr Leftrightarrow DoubleLeftRightArrow iff;HTML-MathML;left and right double arrow # Sm (⇔) LEFT RIGHT DOUBLE ARROW
21D5;R;vArr Updownarrow DoubleUpDownArrow;HTML-MathML;up and down double arrow # So (⇕) UP DOWN DOUBLE ARROW
21D6;R;nwArr;HTML-MathML;NW pointing double arrow # So (⇖) NORTH WEST DOUBLE ARROW
21D7;R;neArr;HTML-MathML;NE pointing double arrow # So (⇗) NORTH EAST DOUBLE ARROW
21D8;R;seArr;HTML-MathML;SE pointing double arrow # So (⇘) SOUTH EAST DOUBLE ARROW
21D9;R;swArr;HTML-MathML;SW pointing double arrow # So (⇙) SOUTH WEST DOUBLE ARROW
21DA;R;lAarr Lleftarrow;HTML-MathML;left triple arrow # So (⇚) LEFTWARDS TRIPLE ARROW
21DB;R;rAarr Rrightarrow;HTML-MathML;right triple arrow # So (⇛) RIGHTWARDS TRIPLE ARROW
21DC;R;;;left zig-zag arrow # So (⇜) LEFTWARDS SQUIGGLE ARROW
21DD;R;zigrarr;HTML-MathML;right zig-zag arrow # So (⇝) RIGHTWARDS SQUIGGLE ARROW
21DE;R;;; # So (⇞) UPWARDS ARROW WITH DOUBLE STROKE
21DF;R;;; # So (⇟) DOWNWARDS ARROW WITH DOUBLE STROKE
21E0;R;;; # So (⇠) LEFTWARDS DASHED ARROW
21E1;R;;; # So (⇡) UPWARDS DASHED ARROW
21E2;R;;; # So (⇢) RIGHTWARDS DASHED ARROW
21E3;R;;; # So (⇣) DOWNWARDS DASHED ARROW
21E4;R;larrb LeftArrowBar;HTML-MathML; # So (⇤) LEFTWARDS ARROW TO BAR
21E5;R;rarrb RightArrowBar;HTML-MathML; # So (⇥) RIGHTWARDS ARROW TO BAR
21E6;R;;; # So (⇦) LEFTWARDS WHITE ARROW
21E7;R;;; # So (⇧) UPWARDS WHITE ARROW
21E8;R;;; # So (⇨) RIGHTWARDS WHITE ARROW
21E9;R;;; # So (⇩) DOWNWARDS WHITE ARROW
21EA;R;;; # So (⇪) UPWARDS WHITE ARROW FROM BAR
21EB;R;;; # So (⇫) UPWARDS WHITE ARROW ON PEDESTAL
21EC;R;;; # So (⇬) UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED;R;;; # So (⇭) UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
21EE;R;;; # So (⇮) UPWARDS WHITE DOUBLE ARROW
21EF;R;;; # So (⇯) UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
21F0;R;;; # So (⇰) RIGHTWARDS WHITE ARROW FROM WALL
21F1;R;;; # So (⇱) NORTH WEST ARROW TO CORNER
21F2;R;;; # So (⇲) SOUTH EAST ARROW TO CORNER
21F3;R;;; # So (⇳) UP DOWN WHITE ARROW
21F4;R;;; # Sm (⇴) RIGHT ARROW WITH SMALL CIRCLE
21F5;R;duarr DownArrowUpArrow;HTML-MathML; # Sm (⇵) DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
21F6;R;;; # Sm (⇶) THREE RIGHTWARDS ARROWS
21F7;R;;; # Sm (⇷) LEFTWARDS ARROW WITH VERTICAL STROKE
21F8;R;;; # Sm (⇸) RIGHTWARDS ARROW WITH VERTICAL STROKE
21F9;R;;; # Sm (⇹) LEFT RIGHT ARROW WITH VERTICAL STROKE
21FA;R;;; # Sm (⇺) LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FB;R;;; # Sm (⇻) RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FC;R;;; # Sm (⇼) LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
21FD;R;loarr;HTML-MathML; # Sm (⇽) LEFTWARDS OPEN-HEADED ARROW
21FE;R;roarr;HTML-MathML; # Sm (⇾) RIGHTWARDS OPEN-HEADED ARROW
21FF;R;hoarr;HTML-MathML; # Sm (⇿) LEFT RIGHT OPEN-HEADED ARROW
2200;U;forall ForAll;HTML-MathML; # Sm (∀) FOR ALL
2201;U;comp complement;HTML-MathML; # Sm (∁) COMPLEMENT
2202;N;part PartialD;HTML-MathML; # Sm (∂) PARTIAL DIFFERENTIAL
2203;U;exist Exists;HTML-MathML;at least one exists # Sm (∃) THERE EXISTS
2204;U;nexist NotExists nexists;HTML-MathML;negated exists # Sm (∄) THERE DOES NOT EXIST
2205;N;empty emptyset emptyv varnothing;HTML-MathML;circle, slash # Sm (∅) EMPTY SET
2206;U;;;Laplacian (Delta, nabla^2) # Sm (∆) INCREMENT
2207;U;nabla Del;HTML-MathML;nabla, del, Hamilton operator # Sm (∇) NABLA
2208;R;isin isinv Element in;HTML-MathML;set membership, variant # Sm (∈) ELEMENT OF
2209;R;notin NotElement notinva;HTML-MathML;negated set membership # Sm (∉) NOT AN ELEMENT OF
220A;R;;;set membership # Sm (∊) SMALL ELEMENT OF
220B;R;niv ReverseElement ni SuchThat;HTML-MathML;contains, variant # Sm (∋) CONTAINS AS MEMBER
220C;R;notni notniva NotReverseElement;HTML-MathML;negated contains, variant # Sm (∌) DOES NOT CONTAIN AS MEMBER
220D;R;;;/ni /owns contains # Sm (∍) SMALL CONTAINS AS MEMBER
220E;N;;; # Sm (∎) END OF PROOF
220F;L;prod Product;HTML-MathML;product operator # Sm (∏) N-ARY PRODUCT
2210;L;coprod Coproduct;HTML-MathML;coproduct operator # Sm (∐) N-ARY COPRODUCT
2211;L;sum Sum;HTML-MathML;summation operator # Sm (∑) N-ARY SUMMATION
2212;V;minus;HTML-MathML; # Sm (−) MINUS SIGN
2213;V;mnplus mp MinusPlus;HTML-MathML; # Sm (∓) MINUS-OR-PLUS SIGN
2214;B;plusdo dotplus;HTML-MathML;plus sign, dot above # Sm (∔) DOT PLUS
2215;B;;; # Sm (∕) DIVISION SLASH
2216;B;setmn setminus Backslash ssetmn smallsetminus;HTML-MathML;small set minus (cf. reverse solidus) # Sm (∖) SET MINUS
2217;B;lowast;HTML-MathML;centered asterisk # Sm (∗) ASTERISK OPERATOR
2218;B;compfn SmallCircle;HTML-MathML;composite function (small circle) # Sm (∘) RING OPERATOR
2219;B;;; # Sm (∙) BULLET OPERATOR
221A;L;radic Sqrt;HTML-MathML;radical # Sm (√) SQUARE ROOT
221B;L;;; # Sm (∛) CUBE ROOT
221C;L;;; # Sm (∜) FOURTH ROOT
221D;R;prop propto Proportional vprop varpropto;HTML-MathML; # Sm (∝) PROPORTIONAL TO
221E;N;infin;HTML-MathML; # Sm (∞) INFINITY
221F;N;angrt;HTML-MathML;(90 degree) # Sm (∟) RIGHT ANGLE
2220;N;ang angle;HTML-MathML; # Sm (∠) ANGLE
2221;N;angmsd measuredangle;HTML-MathML; # Sm (∡) MEASURED ANGLE
2222;N;angsph;HTML-MathML; # Sm (∢) SPHERICAL ANGLE
2223;R;mid VerticalBar smid shortmid;HTML-MathML;/mid # Sm (∣) DIVIDES
2224;R;nmid NotVerticalBar nsmid nshortmid;HTML-MathML;negated mid # Sm (∤) DOES NOT DIVIDE
2225;R;par parallel DoubleVerticalBar spar shortparallel;HTML-MathML; # Sm (∥) PARALLEL TO
2226;R;npar nparallel NotDoubleVerticalBar nspar nshortparallel;HTML-MathML; # Sm (∦) NOT PARALLEL TO
2227;B;and wedge;HTML-MathML;/wedge /land # Sm (∧) LOGICAL AND
2228;B;or vee;HTML-MathML;/vee /lor # Sm (∨) LOGICAL OR
2229;B;cap;HTML-MathML; # Sm (∩) INTERSECTION
222A;B;cup;HTML-MathML;logical sum # Sm (∪) UNION
222B;L;int Integral;HTML-MathML; # Sm (∫) INTEGRAL
222C;L;Int;HTML-MathML; # Sm (∬) DOUBLE INTEGRAL
222D;L;tint iiint;HTML-MathML; # Sm (∭) TRIPLE INTEGRAL
222E;L;conint oint ContourIntegral;HTML-MathML; # Sm (∮) CONTOUR INTEGRAL
222F;L;Conint DoubleContourIntegral;HTML-MathML;double contour integral operator # Sm (∯) SURFACE INTEGRAL
2230;L;Cconint;HTML-MathML;triple contour integral operator # Sm (∰) VOLUME INTEGRAL
2231;L;cwint;HTML-MathML; # Sm (∱) CLOCKWISE INTEGRAL
2232;L;cwconint ClockwiseContourIntegral;HTML-MathML; # Sm (∲) CLOCKWISE CONTOUR INTEGRAL
2233;L;awconint CounterClockwiseContourIntegral;HTML-MathML; # Sm (∳) ANTICLOCKWISE CONTOUR INTEGRAL
2234;R;there4 therefore Therefore;HTML-MathML; # Sm (∴) THEREFORE
2235;R;becaus because Because;HTML-MathML; # Sm (∵) BECAUSE
2236;R;ratio;HTML-MathML; # Sm (∶) RATIO
2237;R;Colon Proportion;HTML-MathML;two colons # Sm (∷) PROPORTION
2238;B;minusd dotminus;HTML-MathML;minus sign, dot above # Sm (∸) DOT MINUS
2239;R;;;excess (-:) # Sm (∹) EXCESS
223A;R;mDDot;HTML-MathML;minus with four dots, geometric properties # Sm (∺) GEOMETRIC PROPORTION
223B;R;homtht;HTML-MathML; # Sm (∻) HOMOTHETIC
223C;R;sim Tilde thksim thicksim;HTML-MathML;similar # Sm (∼) TILDE OPERATOR
223D;R;bsim backsim;HTML-MathML;reverse similar # Sm (∽) REVERSED TILDE
223E;B;ac mstpos;HTML-MathML;most positive # Sm (∾) INVERTED LAZY S
223F;N;acd;HTML-MathML; # Sm (∿) SINE WAVE
2240;B;wreath VerticalTilde wr;HTML-MathML; # Sm (≀) WREATH PRODUCT
2241;R;nsim NotTilde;HTML-MathML;not similar # Sm (≁) NOT TILDE
2242;R;esim EqualTilde eqsim;HTML-MathML;equals, similar # Sm (≂) MINUS TILDE
2243;R;sime TildeEqual simeq;HTML-MathML;similar, equals # Sm (≃) ASYMPTOTICALLY EQUAL TO
2244;R;nsime nsimeq NotTildeEqual;HTML-MathML;not similar, equals # Sm (≄) NOT ASYMPTOTICALLY EQUAL TO
2245;R;cong TildeFullEqual;HTML-MathML;congruent with # Sm (≅) APPROXIMATELY EQUAL TO
