# MathClass-9.txt 
# Last revised 2007-05-07
#
# This is a classification of characters based on their usage in 
# mathematical notation.
#
# Copyright (c) 1991-2007 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time. 
#
# This file is *NOT* formally part of the Unicode Character
# Database at this time.
#
# The file consists of 2 fields. The number and type of fields in
# this file may change in future versions.
#
# The character encoding of the file is UTF-8
#
# 0: code point or range
#       The code point field is not unique - where ISO entity sets overlap
#       the same code point may occur several times with different mappings
# 1: class
#    In this version of the file the class can be one of:
#        N - Normal      - Includes all digits and symbols requiring only one form
#        A - Alphabetic  - Alphabetic characters
#        B - Binary      - Binary operators
#        C - Closing     - Paired with opening delimiter
#        D - Diacritic
#        F - Fence       - Unpaired delimiter
#        G - Glyph_Part  - Piece of large operator
#        I - Invisible   - Invisible Operator
#        L - Large       - N-Ary or Large operator, often takes limits
#        O - Opening     - Paired with closing delimiter
#        P - Punctuation
#        R - Relation    - Includes arrows
#        S - Spane       - Spaces
#        U - Unary       - Unary operator
#        V - UnBin       - Unary or binary orperatos
#        X - Special     - any characters not covered by other classes
#                          including characters deprecated for math usage
#
# These fields are followed by # and the Unicode 'name' (or name range), in all
# caps. Unicode 'names' and name ranges are provided for ease of reference only.
# They are not normative and may not always match the official character names.
#
# Fields are delimited by ";". Spaces adjacent to the delimiter, or the "#" are
# not significant. Future versions of this file may use different amounts of
# whitespace.
#
# For more information see revision 9 or later of UTR#25
# --------------------------------------
# code point;class # [UTF-8] CHARACTER NAME
298D;	O 	# ⦍	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E;	C 	# ⦎	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F;	O 	# ⦏	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990;	C 	# ⦐	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991;	O 	# ⦑	LEFT ANGLE BRACKET WITH DOT
2992;	C 	# ⦒	RIGHT ANGLE BRACKET WITH DOT
2993;	O 	# ⦓	LEFT ARC LESS-THAN BRACKET
2994;	C 	# ⦔	RIGHT ARC GREATER-THAN BRACKET
2995;	O 	# ⦕	DOUBLE LEFT ARC GREATER-THAN BRACKET
2996;	C 	# ⦖	DOUBLE RIGHT ARC LESS-THAN BRACKET
2997;	O 	# ⦗	LEFT BLACK TORTOISE SHELL BRACKET
2998;	C 	# ⦘	RIGHT BLACK TORTOISE SHELL BRACKET
2999..299A;	F 	# ⦙..⦚	DOTTED FENCE..VERTICAL ZIGZAG LINE
299B..29B5;	N 	# ⦛..⦵	MEASURED ANGLE OPENING LEFT..CIRCLE WITH HORIZONTAL BAR
29B6..29B9;	B 	# ⦶..⦹	CIRCLED VERTICAL BAR..PERPENDICULAR
29BA..29BF;	N 	# ⦺..⦿	CIRCLE DIVIDED BY HORIZONTAL BAR AND TOP HALF DIVIDED BY VERTICAL BAR..CIRCLED BULLET
29C0..29C1;	B 	# ⧀..⧁	CIRCLED LESS-THAN..GREATER-THAN
29C2..29C3;	N 	# ⧂..⧃	CIRCLE WITH SMALL CIRCLE TO THE RIGHT..TWO HORIZONTAL STROKES TO THE RIGHT
29C4..29C8;	B 	# ⧄..⧈	SQUARED RISING DIAGONAL SLASH..SQUARE
29C9..29CD;	N 	# ⧉..⧍	TWO JOINED SQUARES..TRIANGLE WITH SERIFS AT BOTTOM
29CE..29D5;	R 	# ⧎..⧕	RIGHT TRIANGLE ABOVE LEFT TRIANGLE..TIMES WITH RIGHT HALF BLACK
29D6..29D7;	B 	# ⧖..⧗	WHITE HOURGLASS..BLACK HOURGLASS
29D8;	O 	# ⧘	LEFT WIGGLY FENCE
29D9;	C 	# ⧙	RIGHT WIGGLY FENCE
29DA;	O 	# ⧚	LEFT DOUBLE WIGGLY FENCE
29DB;	C 	# ⧛	RIGHT DOUBLE WIGGLY FENCE
29DC..29DE;	N 	# ⧜..⧞	INCOMPLETE INFINITY..INFINITY NEGATED WITH VERTICAL BAR
29DF;	R 	# ⧟	DOUBLE-ENDED MULTIMAP
