# Source File for IDN Confusables
# File: formatted-arabic.txt
# Version: 3.0-draft
# Generated: 2012-05-07, 05:21:19 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
002A ;	066D	#* ( * ~ ‎٭‎ ) ASTERISK ~ ARABIC FIVE POINTED STAR
0302 ;	065B	# ( ̂ ~ ٛ ) COMBINING CIRCUMFLEX ACCENT ~ ARABIC VOWEL SIGN INVERTED SMALL V ABOVE

0303 ;	0653	# ( ̃ ~ ٓ ) COMBINING TILDE ~ ARABIC MADDAH ABOVE
0303 ;	08E4	# ( ̃ ~ ࣤ ) COMBINING TILDE ~ ARABIC CURLY FATHA

0304 ;	0659	# ( ̄ ~ ٙ ) COMBINING MACRON ~ ARABIC ZWARAKAY

0306 ;	0658	# ( ̆ ~ ٘ ) COMBINING BREVE ~ ARABIC MARK NOON GHUNNA

0307 ;	06EC	# ( ̇ ~ ۬ ) COMBINING DOT ABOVE ~ ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
0307 ;	08EA	# ( ̇ ~ ࣪ ) COMBINING DOT ABOVE ~ ARABIC TONE ONE DOT ABOVE

0308 ;	08EB	# ( ̈ ~ ࣫ ) COMBINING DIAERESIS ~ ARABIC TONE TWO DOTS ABOVE

030A ;	0652	# ( ̊ ~ ْ ) COMBINING RING ABOVE ~ ARABIC SUKUN

030B ;	064B	# ( ̋ ~ ً ) COMBINING DOUBLE ACUTE ACCENT ~ ARABIC FATHATAN

030C ;	065A	# ( ̌ ~ ٚ ) COMBINING CARON ~ ARABIC VOWEL SIGN SMALL V ABOVE

0310 ;	06E8	# ( ̐ ~ ۨ ) COMBINING CANDRABINDU ~ ARABIC SMALL HIGH NOON

0312 ;	0657	# ( ̒ ~ ٗ ) COMBINING TURNED COMMA ABOVE ~ ARABIC INVERTED DAMMA

0313 ;	064F	# ( ̓ ~ ُ ) COMBINING COMMA ABOVE ~ ARABIC DAMMA

0314 ;	065D	# ( ̔ ~ ٝ ) COMBINING REVERSED COMMA ABOVE ~ ARABIC REVERSED DAMMA

0323 ;	065C	# ( ̣ ~ ٜ ) COMBINING DOT BELOW ~ ARABIC VOWEL SIGN DOT BELOW
0323 ;	08ED	# ( ̣ ~ ࣭ ) COMBINING DOT BELOW ~ ARABIC TONE ONE DOT BELOW

0324 ;	08EE	# ( ̤ ~ ࣮ ) COMBINING DIAERESIS BELOW ~ ARABIC TONE TWO DOTS BELOW

0325 ;	06EA	# ( ̥ ~ ۪ ) COMBINING RING BELOW ~ ARABIC EMPTY CENTRE LOW STOP

0329 ;	0656	# ( ̩ ~ ٖ ) COMBINING VERTICAL LINE BELOW ~ ARABIC SUBSCRIPT ALEF

0330 ;	08E6	# ( ̰ ~ ࣦ ) COMBINING TILDE BELOW ~ ARABIC CURLY KASRA

034C ;	08E7	# ( ͌ ~ ࣧ ) COMBINING ALMOST EQUAL TO ABOVE ~ ARABIC CURLY FATHATAN

0350 ;	08F8	# ( ͐ ~ ࣸ ) COMBINING RIGHT ARROWHEAD ABOVE ~ ARABIC RIGHT ARROWHEAD ABOVE

0354 ;	08F9	# ( ͔ ~ ࣹ ) COMBINING LEFT ARROWHEAD BELOW ~ ARABIC LEFT ARROWHEAD BELOW

0355 ;	08FA	# ( ͕ ~ ࣺ ) COMBINING RIGHT ARROWHEAD BELOW ~ ARABIC RIGHT ARROWHEAD BELOW

0366 ;	06E0	# ( ͦ ~ ۠ ) COMBINING LATIN SMALL LETTER O ~ ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO

060C ;	2E32	#* ( ، ~ ⸲ ) ARABIC COMMA ~ TURNED COMMA

060D ;	066B	#* ( ‎؍‎ ~ ‎٫‎ ) ARABIC DATE SEPARATOR ~ ARABIC DECIMAL SEPARATOR

061B ;	2E35	#* ( ‎؛‎ ~ ⸵ ) ARABIC SEMICOLON ~ TURNED SEMICOLON

061E ;	2E2B	#* ( ‎؞‎ ~ ⸫ ) ARABIC TRIPLE DOT PUNCTUATION MARK ~ ONE DOT OVER TWO DOTS PUNCTUATION

061F ;	2E2E	#* ( ‎؟‎ ~ ⸮ ) ARABIC QUESTION MARK ~ REVERSED QUESTION MARK

0621 0348 ;	06FD	# ( ‎ء͈‎ ~ ‎۽‎ ) ARABIC LETTER HAMZA, COMBINING DOUBLE VERTICAL LINE BELOW ~ ARABIC SIGN SINDHI AMPERSAND

0623 ;	0671	# ( ‎أ‎ ~ ‎ٱ‎ ) ARABIC LETTER ALEF WITH HAMZA ABOVE ~ ARABIC LETTER ALEF WASLA
0623 ;	0672	# ( ‎أ‎ ~ ‎ٲ‎ ) ARABIC LETTER ALEF WITH HAMZA ABOVE ~ ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
0623 ;	0675	# ( ‎أ‎ ~ ‎ٵ‎ ) ARABIC LETTER ALEF WITH HAMZA ABOVE ~ ARABIC LETTER HIGH HAMZA ALEF

0624 ;	0676	# ( ‎ؤ‎ ~ ‎ٶ‎ ) ARABIC LETTER WAW WITH HAMZA ABOVE ~ ARABIC LETTER HIGH HAMZA WAW

0625 ;	0673	# ( ‎إ‎ ~ ‎ٳ‎ ) ARABIC LETTER ALEF WITH HAMZA BELOW ~ ARABIC LETTER ALEF WITH WAVY HAMZA BELOW

0626 ;	0678	# ( ‎ئ‎ ~ ‎ٸ‎ ) ARABIC LETTER YEH WITH HAMZA ABOVE ~ ARABIC LETTER HIGH HAMZA YEH

0626 08EE ;	08A8	# ( ‎ئ࣮‎ ~ ‎ࢨ‎ ) ARABIC LETTER YEH WITH HAMZA ABOVE, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE

0627 ;	0661	# ( ‎ا‎ ~ ‎١‎ ) ARABIC LETTER ALEF ~ ARABIC-INDIC DIGIT ONE
0627 ;	0846	# ( ‎ا‎ ~ ‎ࡆ‎ ) ARABIC LETTER ALEF ~ MANDAIC LETTER AZ

0627 0610 ;	0671	# ( ‎اؐ‎ ~ ‎ٱ‎ ) ARABIC LETTER ALEF, ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM ~ ARABIC LETTER ALEF WASLA

0627 0641 ;	060B	# ( ‎اف‎ ~ ‎؋‎ ) ARABIC LETTER ALEF, ARABIC LETTER FEH ~ AFGHANI SIGN

0627 0644 0644 0651 0647 ;	FDF2	# ( ‎اللّه‎ ~ ‎ﷲ‎ ) ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC SHADDA, ARABIC LETTER HEH ~ ARABIC LIGATURE ALLAH ISOLATED FORM

0627 0644 0644 0651 0670 0647 ;	FDF2	# ( ‎اللّٰه‎ ~ ‎ﷲ‎ ) ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC SHADDA, ARABIC LETTER SUPERSCRIPT ALEF, ARABIC LETTER HEH ~ ARABIC LIGATURE ALLAH ISOLATED FORM

0627 0644 0644 0651 0670 06C1 ;	FDF2	# ( ‎اللّٰہ‎ ~ ‎ﷲ‎ ) ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC SHADDA, ARABIC LETTER SUPERSCRIPT ALEF, ARABIC LETTER HEH GOAL ~ ARABIC LIGATURE ALLAH ISOLATED FORM

0627 0644 0644 0651 06C1 ;	FDF2	# ( ‎اللّہ‎ ~ ‎ﷲ‎ ) ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC SHADDA, ARABIC LETTER HEH GOAL ~ ARABIC LIGATURE ALLAH ISOLATED FORM

0627 0644 0644 06C1 ;	FDF2	# ( ‎اللہ‎ ~ ‎ﷲ‎ ) ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC LETTER HEH GOAL ~ ARABIC LIGATURE ALLAH ISOLATED FORM

0627 065F ;	0673	# ( ‎اٟ‎ ~ ‎ٳ‎ ) ARABIC LETTER ALEF, ARABIC WAVY HAMZA BELOW ~ ARABIC LETTER ALEF WITH WAVY HAMZA BELOW

0628 ;	079E	# ( ‎ب‎ ~ ‎ޞ‎ ) ARABIC LETTER BEH ~ THAANA LETTER SAADHU

0628 0633 0645 0020 0627 0644 0644 0647 0020 0627 0644 0631 062D 0645 0646 0020 0627 0644 0631 062D 0649 0645 ;	FDFD	#* ( ‎بسم الله الرحمن الرحىم‎ ~ ﷽ ) ARABIC LETTER BEH, ARABIC LETTER SEEN, ARABIC LETTER MEEM, SPACE, ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER LAM, ARABIC LETTER HEH, SPACE, ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER REH, ARABIC LETTER HAH, ARABIC LETTER MEEM, ARABIC LETTER NOON, SPACE, ARABIC LETTER ALEF, ARABIC LETTER LAM, ARABIC LETTER REH, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA, ARABIC LETTER MEEM ~ ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM

0628 06DB ;	0751	# ( ‎بۛ‎ ~ ‎ݑ‎ ) ARABIC LETTER BEH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE

0628 08EE ;	0752	# ( ‎ب࣮‎ ~ ‎ݒ‎ ) ARABIC LETTER BEH, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW

0629 ;	06C3	# ( ‎ة‎ ~ ‎ۃ‎ ) ARABIC LETTER TEH MARBUTA ~ ARABIC LETTER TEH MARBUTA GOAL

062A 06EA ;	067C	# ( ‎ت۪‎ ~ ‎ټ‎ ) ARABIC LETTER TEH, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER TEH WITH RING

062B ;	079D	# ( ‎ث‎ ~ ‎ޝ‎ ) ARABIC LETTER THEH ~ THAANA LETTER SHEENU

062B 065C ;	0751	# ( ‎ثٜ‎ ~ ‎ݑ‎ ) ARABIC LETTER THEH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE

062C 08EB ;	08A2	# ( ‎ج࣫‎ ~ ‎ࢢ‎ ) ARABIC LETTER JEEM, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER JEEM WITH TWO DOTS ABOVE

062C 08EE ;	0758	# ( ‎ج࣮‎ ~ ‎ݘ‎ ) ARABIC LETTER JEEM, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER HAH WITH THREE DOTS POINTING UPWARDS BELOW

062D 0615 ;	0772	# ( ‎حؕ‎ ~ ‎ݲ‎ ) ARABIC LETTER HAH, ARABIC SMALL HIGH TAH ~ ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH ABOVE

062D 062F ;	1EEF1	# ( ‎حد‎ ~ 𞻱 ) ARABIC LETTER HAH, ARABIC LETTER DAL ~ ARABIC MATHEMATICAL OPERATOR HAH WITH DAL

062D 0640 062F ;	1EEF1	# ( ‎حـد‎ ~ 𞻱 ) ARABIC LETTER HAH, ARABIC TATWEEL, ARABIC LETTER DAL ~ ARABIC MATHEMATICAL OPERATOR HAH WITH DAL

062D 0654 ;	0681	# ( ‎حٔ‎ ~ ‎ځ‎ ) ARABIC LETTER HAH, ARABIC HAMZA ABOVE ~ ARABIC LETTER HAH WITH HAMZA ABOVE
062D 0654 ;	076C	# ( ‎حٔ‎ ~ ‎ݬ‎ ) ARABIC LETTER HAH, ARABIC HAMZA ABOVE ~ ARABIC LETTER REH WITH HAMZA ABOVE

062D 065C ;	062C	# ( ‎حٜ‎ ~ ‎ج‎ ) ARABIC LETTER HAH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER JEEM

062D 065C 065C ;	0684	# ( ‎حٜٜ‎ ~ ‎ڄ‎ ) ARABIC LETTER HAH, ARABIC VOWEL SIGN DOT BELOW, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER DYEH

062D 06DB ;	0685	# ( ‎حۛ‎ ~ ‎څ‎ ) ARABIC LETTER HAH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER HAH WITH THREE DOTS ABOVE

062D 06EC ;	062E	# ( ‎ح۬‎ ~ ‎خ‎ ) ARABIC LETTER HAH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER KHAH

062D 06EC 06EC ;	0682	# ( ‎ح۬۬‎ ~ ‎ڂ‎ ) ARABIC LETTER HAH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE

062D 08EB ;	0757	# ( ‎ح࣫‎ ~ ‎ݗ‎ ) ARABIC LETTER HAH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER HAH WITH TWO DOTS ABOVE

062D 08EE ;	0683	# ( ‎ح࣮‎ ~ ‎ڃ‎ ) ARABIC LETTER HAH, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER NYEH

062D 08EE 08ED ;	0686	# ( ‎ح࣮࣭‎ ~ ‎چ‎ ) ARABIC LETTER HAH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER TCHEH

062D 08EE 08EE ;	0687	# ( ‎ح࣮࣮‎ ~ ‎ڇ‎ ) ARABIC LETTER HAH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER TCHEHEH

062F 032D ;	075A	# ( ‎د̭‎ ~ ‎ݚ‎ ) ARABIC LETTER DAL, COMBINING CIRCUMFLEX ACCENT BELOW ~ ARABIC LETTER DAL WITH INVERTED SMALL V BELOW

062F 0615 ;	0688	# ( ‎دؕ‎ ~ ‎ڈ‎ ) ARABIC LETTER DAL, ARABIC SMALL HIGH TAH ~ ARABIC LETTER DDAL

062F 065B ;	06EE	# ( ‎دٛ‎ ~ ‎ۮ‎ ) ARABIC LETTER DAL, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER DAL WITH INVERTED V

062F 065C ;	068A	# ( ‎دٜ‎ ~ ‎ڊ‎ ) ARABIC LETTER DAL, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER DAL WITH DOT BELOW

062F 06DB ;	068E	# ( ‎دۛ‎ ~ ‎ڎ‎ ) ARABIC LETTER DAL, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER DUL

062F 06EA ;	0689	# ( ‎د۪‎ ~ ‎ډ‎ ) ARABIC LETTER DAL, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER DAL WITH RING

062F 06EC ;	0630	# ( ‎د۬‎ ~ ‎ذ‎ ) ARABIC LETTER DAL, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER THAL

062F 08EA 08EB ;	068F	# ( ‎د࣪࣫‎ ~ ‎ڏ‎ ) ARABIC LETTER DAL, ARABIC TONE ONE DOT ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS

062F 08EB ;	068C	# ( ‎د࣫‎ ~ ‎ڌ‎ ) ARABIC LETTER DAL, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER DAHAL

062F 08EB 08EB ;	0690	# ( ‎د࣫࣫‎ ~ ‎ڐ‎ ) ARABIC LETTER DAL, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER DAL WITH FOUR DOTS ABOVE

062F 08EE ;	068D	# ( ‎د࣮‎ ~ ‎ڍ‎ ) ARABIC LETTER DAL, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER DDAHAL

0630 06EC ;	0632	# ( ‎ذ۬‎ ~ ‎ز‎ ) ARABIC LETTER THAL, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER ZAIN

0630 08EB ;	068F	# ( ‎ذ࣫‎ ~ ‎ڏ‎ ) ARABIC LETTER THAL, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS

0631 032C ;	0695	# ( ‎ر̬‎ ~ ‎ڕ‎ ) ARABIC LETTER REH, COMBINING CARON BELOW ~ ARABIC LETTER REH WITH SMALL V BELOW

0631 0615 ;	0691	# ( ‎رؕ‎ ~ ‎ڑ‎ ) ARABIC LETTER REH, ARABIC SMALL HIGH TAH ~ ARABIC LETTER RREH

0631 065A ;	0692	# ( ‎رٚ‎ ~ ‎ڒ‎ ) ARABIC LETTER REH, ARABIC VOWEL SIGN SMALL V ABOVE ~ ARABIC LETTER REH WITH SMALL V

0631 065B ;	06EF	# ( ‎رٛ‎ ~ ‎ۯ‎ ) ARABIC LETTER REH, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER REH WITH INVERTED V

0631 065C ;	0694	# ( ‎رٜ‎ ~ ‎ڔ‎ ) ARABIC LETTER REH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER REH WITH DOT BELOW

0631 06DB ;	0698	# ( ‎رۛ‎ ~ ‎ژ‎ ) ARABIC LETTER REH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER JEH

0631 06EA ;	0693	# ( ‎ر۪‎ ~ ‎ړ‎ ) ARABIC LETTER REH, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER REH WITH RING

0631 08EB ;	0697	# ( ‎ر࣫‎ ~ ‎ڗ‎ ) ARABIC LETTER REH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER REH WITH TWO DOTS ABOVE

0631 08EB 08EB ;	0699	# ( ‎ر࣫࣫‎ ~ ‎ڙ‎ ) ARABIC LETTER REH, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER REH WITH FOUR DOTS ABOVE

0632 ;	079A	# ( ‎ز‎ ~ ‎ޚ‎ ) ARABIC LETTER ZAIN ~ THAANA LETTER KHAA

0632 06EC ;	076B	# ( ‎ز۬‎ ~ ‎ݫ‎ ) ARABIC LETTER ZAIN, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER REH WITH TWO DOTS VERTICALLY ABOVE

0633 ;	0844	# ( ‎س‎ ~ ‎ࡄ‎ ) ARABIC LETTER SEEN ~ MANDAIC LETTER AH
0633 ;	0851	# ( ‎س‎ ~ ‎ࡑ‎ ) ARABIC LETTER SEEN ~ MANDAIC LETTER ASZ

0633 065B ;	077E	# ( ‎سٛ‎ ~ ‎ݾ‎ ) ARABIC LETTER SEEN, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER SEEN WITH INVERTED V

0633 06DB ;	0634	# ( ‎سۛ‎ ~ ‎ش‎ ) ARABIC LETTER SEEN, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER SHEEN

0633 06EC 065C ;	069A	# ( ‎سٜ۬‎ ~ ‎ښ‎ ) ARABIC LETTER SEEN, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE

0633 06EC 06EC ;	076D	# ( ‎س۬۬‎ ~ ‎ݭ‎ ) ARABIC LETTER SEEN, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE

0633 08EB 0615 ;	0770	# ( ‎س࣫ؕ‎ ~ ‎ݰ‎ ) ARABIC LETTER SEEN, ARABIC TONE TWO DOTS ABOVE, ARABIC SMALL HIGH TAH ~ ARABIC LETTER SEEN WITH SMALL ARABIC LETTER TAH AND TWO DOTS

0633 08EB 08EB ;	075C	# ( ‎س࣫࣫‎ ~ ‎ݜ‎ ) ARABIC LETTER SEEN, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER SEEN WITH FOUR DOTS ABOVE

0633 08EE 08ED ;	069B	# ( ‎س࣮࣭‎ ~ ‎ڛ‎ ) ARABIC LETTER SEEN, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER SEEN WITH THREE DOTS BELOW

0634 065C ;	06FA	# ( ‎شٜ‎ ~ ‎ۺ‎ ) ARABIC LETTER SHEEN, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER SHEEN WITH DOT BELOW

0634 08EE 08ED ;	069C	# ( ‎ش࣮࣭‎ ~ ‎ڜ‎ ) ARABIC LETTER SHEEN, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE

0635 ;	084E	# ( ‎ص‎ ~ ‎ࡎ‎ ) ARABIC LETTER SAD ~ MANDAIC LETTER AS

0635 06DB ;	069E	# ( ‎صۛ‎ ~ ‎ڞ‎ ) ARABIC LETTER SAD, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER SAD WITH THREE DOTS ABOVE

0635 06EC ;	0636	# ( ‎ص۬‎ ~ ‎ض‎ ) ARABIC LETTER SAD, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER DAD

0635 08EE ;	069D	# ( ‎ص࣮‎ ~ ‎ڝ‎ ) ARABIC LETTER SAD, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER SAD WITH TWO DOTS BELOW

0636 065C ;	06FB	# ( ‎ضٜ‎ ~ ‎ۻ‎ ) ARABIC LETTER DAD, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER DAD WITH DOT BELOW

0637 06DB ;	069F	# ( ‎طۛ‎ ~ ‎ڟ‎ ) ARABIC LETTER TAH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER TAH WITH THREE DOTS ABOVE

0637 06EC ;	0638	# ( ‎ط۬‎ ~ ‎ظ‎ ) ARABIC LETTER TAH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER ZAH

