U+13073	;	𓁳	;	god with head of falcon and moon disk
U+13074	;	𓁴	;	goddess with head of feline and {sun with uraeus}
U+13075	;	𓁵	;	god wearing {red crown} with {sceptre}
U+13076	;	𓁶	;	head in profile
U+13077	;	𓁷	;	face
U+13078	;	𓁸	;	hair
U+13079	;	𓁹	;	eye
U+1307A	;	𓁺	;	eye touched up with paint
U+1307B	;	𓁻	;	eye with painted upper lid
U+1307C	;	𓁼	;	eye with painted lower lid
U+1307D	;	𓁽	;	eye enclosed in {sandy tract}
U+1307E	;	𓁾	;	eye with painted lower lid enclosed in {sandy tract}
U+1307F	;	𓁿	;	eye with flowing tears
U+13080	;	𓂀	;	transliteration-eye
U+13081	;	𓂁	;	left part of white of {transliteration-eye}
U+13082	;	𓂂	;	pupil of eye
U+13083	;	𓂃	;	eye-brow
U+13084	;	𓂄	;	right part of white of {transliteration-eye}
U+13085	;	𓂅	;	diagonal marking of {transliteration-eye}
U+13086	;	𓂆	;	vertical marking of {transliteration-eye}
U+13087	;	𓂇	;	combination of {vertical marking of {transliteration-eye}} and {diagonal marking of {transliteration-eye}}
U+13088	;	𓂈	;	ear
U+13089	;	𓂉	;	nose, eye and cheek
U+1308A	;	𓂊	;	nose, eye and cheek in semi-cursive form
U+1308B	;	𓂋	;	mouth
U+1308C	;	𓂌	;	mouth with two strokes
U+1308D	;	𓂍	;	mouth with three strokes
U+1308E	;	𓂎	;	upper lip with teeth
U+1308F	;	𓂏	;	lips with teeth
U+13090	;	𓂐	;	liquid issuing from lips
U+13091	;	𓂑	;	small breast
U+13092	;	𓂒	;	large breast
U+13093	;	𓂓	;	arms in  transliteration-posture
U+13094	;	𓂔	;	combination of {arms in  transliteration-posture} and {standard}
U+13095	;	𓂕	;	{arms in  transliteration-posture} with tail
U+13096	;	𓂖	;	combination of {arms embracing} and {club}
U+13097	;	𓂗	;	combination of {arms in  transliteration-posture} and {club}
U+13098	;	𓂘	;	arms embracing
U+13099	;	𓂙	;	arms rowing
U+1309A	;	𓂚	;	arms holding shield and battle-axe
U+1309B	;	𓂛	;	arms holding shield and mace
U+1309C	;	𓂜	;	arms in gesture of negation
U+1309D	;	𓂝	;	forearm
U+1309E	;	𓂞	;	forearm with {conical loaf}
U+1309F	;	𓂟	;	forearm with rounded loaf
U+130A0	;	𓂠	;	forearm with {bowl}
U+130A1	;	𓂡	;	forearm with stick
U+130A2	;	𓂢	;	forearm with palm down and bent upper arm
U+130A3	;	𓂣	;	forearm with palm down and straight upper arm
U+130A4	;	𓂤	;	forearm with {flagellum}
U+130A5	;	𓂥	;	forearm with {sceptre of authority}
U+130A6	;	𓂦	;	arm with  transliteration-wand
U+130A7	;	𓂧	;	hand
U+130A8	;	𓂨	;	liquid falling from hand
U+130A9	;	𓂩	;	hand with palm up
U+130AA	;	𓂪	;	hand without thumb
U+130AB	;	𓂫	;	hand holding an egg
U+130AC	;	𓂬	;	fist
U+130AD	;	𓂭	;	finger vertically
U+130AE	;	𓂮	;	2 fingers vertically
U+130AF	;	𓂯	;	3 fingers vertically
U+130B0	;	𓂰	;	4 fingers vertically
U+130B1	;	𓂱	;	5 fingers stacked vertically
U+130B2	;	𓂲	;	6 fingers stacked vertically
U+130B3	;	𓂳	;	7 fingers stacked vertically
U+130B4	;	𓂴	;	8 fingers stacked vertically
U+130B5	;	𓂵	;	9 fingers stacked vertically
U+130B6	;	𓂶	;	5 fingers vertically
U+130B7	;	𓂷	;	finger horizontally
U+130B8	;	𓂸	;	phallus
U+130B9	;	𓂹	;	combination of {phallus} and {folded cloth}
U+130BA	;	𓂺	;	liquid issuing from phallus
U+130BB	;	𓂻	;	legs walking
U+130BC	;	𓂼	;	hieratic legs walking
U+130BD	;	𓂽	;	legs walking backwards
U+130BE	;	𓂾	;	leg
U+130BF	;	𓂿	;	combination of {leg} and {knife}
U+130C0	;	𓃀	;	foot
U+130C1	;	𓃁	;	combination of {foot} and {forearm}
U+130C2	;	𓃂	;	{foot} under vase from which water flows
U+130C3	;	𓃃	;	three toes oriented leftward
U+130C4	;	𓃄	;	three toes oriented rightward
U+130C5	;	𓃅	;	two toes oriented leftward
U+130C6	;	𓃆	;	hand with palm down
U+130C7	;	𓃇	;	lock of hair
U+130C8	;	𓃈	;	arm with reed pen
U+130C9	;	𓃉	;	dot
U+130CA	;	𓃊	;	2 dots
U+130CB	;	𓃋	;	3 dots
U+130CC	;	𓃌	;	4 dots
U+130CD	;	𓃍	;	5 dots
U+130CE	;	𓃎	;	6 dots
U+130CF	;	𓃏	;	7 dots
U+130D0	;	𓃐	;	8 dots
U+130D1	;	𓃑	;	9 dots
U+130D2	;	𓃒	;	bull
U+130D3	;	𓃓	;	bull charging
U+130D4	;	𓃔	;	calf
U+130D5	;	𓃕	;	sacred  transliteration-cow
U+130D6	;	𓃖	;	cow suckling calf
U+130D7	;	𓃗	;	horse
U+130D8	;	𓃘	;	donkey
U+130D9	;	𓃙	;	kid
U+130DA	;	𓃚	;	kid jumping
U+130DB	;	𓃛	;	newborn bubalis or hartebeest
U+130DC	;	𓃜	;	mature bovine lying down
U+130DD	;	𓃝	;	ram
U+130DE	;	𓃞	;	ram 2
U+130DF	;	𓃟	;	pig
U+130E0	;	𓃠	;	cat
U+130E1	;	𓃡	;	dog (saluki)
U+130E2	;	𓃢	;	lying canine
U+130E3	;	𓃣	;	lying canine on shrine
U+130E4	;	𓃤	;	lying canine on shrine with {flagellum}
U+130E5	;	𓃥	;	jackal
U+130E6	;	𓃦	;	jackal looking back
U+130E7	;	𓃧	;	wolf on {standard} with  transliteration
U+130E8	;	𓃨	;	combination of {combination of RES E19 and RES T3} and {mace with round head vertically}
U+130E9	;	𓃩	;	Seth-animal
U+130EA	;	𓃪	;	combination of {Seth-animal} and {basket}
U+130EB	;	𓃫	;	lying Seth-animal
U+130EC	;	𓃬	;	lion
U+130ED	;	𓃭	;	lying lion
U+130EE	;	𓃮	;	panther
U+130EF	;	𓃯	;	hippopotamus
U+130F0	;	𓃰	;	elephant
U+130F1	;	𓃱	;	giraffe
U+130F2	;	𓃲	;	oryx
U+130F3	;	𓃳	;	combination of {oryx}, {irrigation canal system} and some type of jar
U+130F4	;	𓃴	;	gazelle
U+130F5	;	𓃵	;	ibex
U+130F6	;	𓃶	;	goat with collar
U+130F7	;	𓃷	;	baboon
U+130F8	;	𓃸	;	monkey
U+130F9	;	𓃹	;	hare
U+130FA	;	𓃺	;	hare (low)
U+130FB	;	𓃻	;	baboon 2
U+130FC	;	𓃼	;	combination of {baboon}, {receptacle} and {basket}
U+130FD	;	𓃽	;	long-horned bull
